ID,location,landscape,replicate,bbspecies,bborgan,site,Shannon,NrSpecies,Flowering_duration_cwm,Flowering_start_cwm,growth_form_cwm,structural_blossom_cwm,sugar_concentration_cwm,plant_height_cwm
01_1_BERD_lB,BE,R,D,B.pascuorum,B,BE_R,0,1,6.000000000000001,5,1,1,45.81712329,1
01_1_BERD_pB,BE,R,D,B.lapidarius,B,BE_R,0.20620412465595955,2,5.842092731000728,5,1,1,44.787608501978966,0.9684185462001456
01_2_BERD_lB,BE,R,D,B.pascuorum,B,BE_R,1.0489809878345286,3,4.201924756626275,5.436309930283156,1,1.218154965141578,42.910180393995944,0.6403849513252551
01_2_BERD_pB,BE,R,D,B.lapidarius,B,BE_R,0.2060652077876791,2,5.842236896952678,5,1,1,44.78854842691341,0.9684473793905356
01_BEUA_lB,BE,U,A,B.pascuorum,B,BE_U,1.7198968903366327,9,4.238346674277708,5.606011857656231,1,2.1126676564264595,212.0094894785613,0.6891821590275167
01_BEUA_pB,BE,U,A,B.lapidarius,B,BE_U,0.5346090485276254,3,5.829876509089082,5,1,4.377143503222321,40.78446131964235,0.8815467142372583
01_BEUB_lB,BE,U,B,B.pascuorum,B,BE_U,0.5105777907293522,5,2.3755633735856234,6.8011410097936675,1.022154606827042,3.0495008082152704,45.21764487542006,0.6339450413616051
01_BEUB_pB,BE,U,B,B.lapidarius,B,BE_U,0.19065092335678777,3,4.923568750108003,5.0290656482745515,1.029065648274551,1.0581312965491023,44.60113403117571,0.21292228999982712
01_BEUC_lB,BE,U,C,B.pascuorum,B,BE_U,1.8752669892103473,9,4.21153488083416,5.285703202581928,1,2.2465863952333684,33.672222242803834,0.6693916025322739
01_BEUC_pB,BE,U,C,B.lapidarius,B,BE_U,0.7161895169966123,5,5.699174230532996,5.12347300894015,1,1.176073159080052,104.57841862391868,0.8985617279737937
01_BSRD_lB,BS,R,D,B.pascuorum,B,BS_R,0.1321818787315385,3,5.9541849463708605,5.013965433794945,1,1.027930867589889,45.763783625348545,0.9908369892741721
01_BSRD_lL,BS,R,D,B.pascuorum,L,BS_R,0,1,6,5,1,1,45.81712329,1
01_BSRD_pB,BS,R,D,B.lapidarius,B,BS_R,0.31864984426660514,3,5.716520630174034,5.10587187633989,1,1.0529359381699446,46.10814978833881,0.943304126034807
01_BSRD_pL,BS,R,D,B.lapidarius,L,BS_R,0.06163321890154317,2,5.9662743720358336,5,1,1,45.59724086821886,0.9932548744071668
01_BSRE_lB,BS,R,E,B.pascuorum,B,BS_R,1.774905011754967,8,4.081688436339357,5.97663063890164,1,2.199369861870385,40.096765966375855,1.0754131369194178
