plant.species,Family,Genus,Sp2,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil,flowering.start,flowering.end,flowering.peak,flowering.lenght,flower.longevity,sugar.concentration,pollen.flower
Achillea filipendulina,Asteraceae,Achillea,filipendulina,E,biotic,3,7,herb,1.9,1,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Achillea millefolium,Asteraceae,Achillea,millefolium,N,biotic,5,6,herb,1.2,1,dish_bowl,actinomorph,1,1,0,152,243,197,95.3,4.6,NA,NA
Aconitum kusnezoffii,Ranunculaceae,Aconitum,kusnezoffii,E,biotic,NA,NA,herb,1,1,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Aesculus parviflora,Hippocastanaceae,Aesculus,parviflora,E,biotic,2,7,tree,4,1,flag,sigomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Agastache pallida,Lamiaceae,Agastache,pallida,E,biotic,NA,NA,herb,NA,NA,tube,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Agastache rugosa,Lamiaceae,Agastache,rugosa,E,biotic,NA,NA,herb,NA,NA,tube,actinomorph,1,1,0,186.33333333333334,227.66666666666666,NA,42.333333333333336,NA,49.166666666666664,NA
Ailanthus altissima,Simaroubaceae,Ailanthus,altissima,E,biotic,2,6,tree,30,1,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Allium ampeloprasum,Amaryllidaceae,Allium,ampeloprasum,N,biotic,2,5,herb,0.5,1,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Allium carinatum,Amaryllidaceae,Allium,carinatum,N,biotic,2,7,herb,0.6,1,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Allium cepa,Amaryllidaceae,Allium,cepa,E,biotic,2,6,herb,0.6,1,dish_bowl,actinomorph,1,1,0,152,212,182,61,NA,57.32705882352941,NA
Allium cernuum,Amaryllidaceae,Allium,cernuum,E,biotic,2,7,herb,0.4,1,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Allium flavum,Amaryllidaceae,Allium,flavum,E,biotic,NA,NA,herb,NA,1,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Allium garganicum,Amaryllidaceae,Allium,garganicum,E,biotic,NA,NA,herb,NA,1,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Allium schoenoprasum,Amaryllidaceae,Allium,schoenoprasum,N,biotic,4,5,herb,0.5,1,dish_bowl,actinomorph,1,1,0,152,212,182,61,NA,NA,NA
Allium sp.,Amaryllidaceae,Allium,sp.,NA,biotic,NA,NA,herb,NA,NA,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Allium sphaerocephalon,Amaryllidaceae,Allium,sphaerocephalon,N,biotic,2,6,herb,0.75,1,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Amorpha fruticosa,Fabaceae,Amorpha,fruticosa,E,biotic,2,5,shrub,4,1,tube,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA
Amorpha nana,Fabaceae,Amorpha,nana,E,biotic,2,6,shrub,0.6,1,tube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone hupehensis,Ranunculaceae,Anemone,hupehensis,E,biotic,4,7,herb,0.6,0,dish_bowl,actinomorph,0,1,0,NA,NA,NA,NA,NA,NA,NA
Anemone tomentosa,Ranunculaceae,Anemone,tomentosa,E,biotic,NA,NA,herb,1,0,dish_bowl,actinomorph,0,1,0,NA,NA,NA,NA,NA,NA,NA
Anthyllis vulneraria,Fabaceae,Anthyllis,vulneraria,N,biotic,5,5,herb,0.5,1,flag,sigomorph,1,1,0,NA,NA,NA,NA,NA,NA,3654
Antirrhinum majus,Plantaginaceae,Antirrhinum,majus,N,biotic,3,6,herb,1.5,1,gullet,sigomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Asparagus officinalis,Asparagaceae,Asparagus,officinalis,N,biotic,2,5,herb,0.5,1,bell_trumpet,actinomorph,1,1,0,NA,NA,NA,NA,NA,47.5,NA
Asteraceae sp.,Asteraceae,Asteraceae,sp.,NA,NA,NA,NA,herb,NA,NA,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Astragalus glycyphyllos,Fabaceae,Astragalus,glycyphyllos,N,biotic,2,6,herb,0.2,1,flag,sigomorph,1,1,0,NA,NA,NA,NA,NA,NA,19853
Begonia sp.,Begoniaceae,Begonia,sp.,NA,biotic,NA,NA,herb,NA,NA,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,4.35,NA,NA
Bellis perennis,Asteraceae,Bellis,perennis,N,biotic,10,2,herb,0.05,1,dish_bowl,actinomorph,1,1,0,1,365,105,365,4.5,NA,NA
Borago officinalis,Boraginaceae,Borago,officinalis,N,biotic,6,5,herb,0.6,1,dish_bowl,actinomorph,1,1,0,167.25,216.25,170,50,9.914285714285715,36.97222222222222,NA
Boraginaceae sp.,Boraginaceae,Boraginaceae,sp.,NA,NA,NA,NA,herb,NA,NA,dish_bowl,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Brassica rapa,Brassicaceae,Brassica,rapa,N,biotic,2,4,herb,2.5,1,dish_bowl,actinomorph,1,1,0,148.33333333333334,208.66666666666666,182,61.333333333333336,NA,40.66896551724138,NA
Buddleja davidii,Scrophulariaceae,Buddleja,davidii,E,biotic,2,7,shrub,5,1,stalk_disk,actinomorph,1,1,0,152,304,228,153,NA,NA,NA
Calibrachoa elegans,Solanaceae,Calibrachoa,elegans,E,biotic,NA,NA,herb,NA,NA,stalk_disk,actinomorph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calystegia sepium,Convolvulaceae,Calystegia,sepium,N,biotic,4,6,herb,3,0,bell_trumpet,actinomorph,1,1,0,182,273,227,92,NA,NA,NA
Campanula glomerata,Campanulaceae,Campanula,glomerata,N,biotic,4,6,herb,0.4,1,bell_trumpet,actinomorph,1,1,0,156.66666666666666,242.66666666666666,197,87,3.5,40.05,NA
Campanula medium,Campanulaceae,Campanula,medium,N,biotic,3,5,herb,0.9,1,bell_trumpet,actinomorph,1,1,0,160.33333333333334,185,NA,25.666666666666668,NA,55.8,NA
Campanula persicifolia,Campanulaceae,Campanula,persicifolia,N,biotic,2,6,herb,0.9,1,bell_trumpet,actinomorph,1,1,0,151.5,204.5,NA,54,5.5,47.85,NA
Campanula portenschlagiana,Campanulaceae,Campanula,portenschlagiana,N,biotic,3,6,herb,0.25,1,bell_trumpet,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Campanula rapunculoides,Campanulaceae,Campanula,rapunculoides,N,biotic,4,6,herb,1,1,bell_trumpet,actinomorph,1,1,0,NA,NA,NA,NA,NA,NA,NA
Campanula rotundifolia,Campanulaceae,Campanula,rotundifolia,N,biotic,5,5,herb,0.7,1,bell_trumpet,actinomorph,1,1,0,182,273,227,92,NA,NA,NA
Carduus acanthoides,Asteraceae,Carduus,acanthoides,N,biotic,1,7,herb,1,,brush,no_symmetry,1,1,0,NA,NA,NA,NA,NA,NA,NA
Castanea sativa,Fagaceae,Castanea,sativa,E,biotic,1,6,tree,40,1,brush,no_symmetry,1,1,0,182,212,197,31,NA,21.9,NA
Catalpa bignonioides,Bignoniaceae,Catalpa,bignonioides,E,biotic,2,6,tree,18,1,gullet,sigomorph,1,1,0,NA,NA,NA,NA,NA,56,NA
Centaurea cyanus,Asteraceae,Centaurea,cyanus,N,biotic,5,6,herb,0.8,1,dish_bowl,actinomorph,1,1,0,159.3148148148148,225.5,195.33333333333334,61.48571428571429,6.5,56.86666666666667,NA
Centaurea jacea,Asteraceae,Centaurea,jacea,N,biotic,4,6,herb,1.2,1,dish_bowl,actinomorph,1,1,0,209.25,247.25,226,39,4.666666666666667,52.5125,NA
Centaurea montana,Asteraceae,Centaurea,montana,N,biotic,4,5,herb,0.8,1,dish_bowl,actinomorph,1,1,0,127.33333333333333,162.33333333333334,NA,36,NA,61.36666666666667,NA
Centaurea scabiosa,Asteraceae,Centaurea,scabiosa,N,biotic,3,6,herb,2,1,dish_bowl,actinomorph,1,1,0,171,239.28571428571428,211.25,67.85,NA,55.53333333333333,NA
Centaurea stoebe,Asteraceae,Centaurea,stoebe,N,biotic,5,6,herb,1,1,dish_bowl,actinomorph,1,1,0,172,235,198.5,64,NA,NA,NA
Chelidonium majus,Papaveraceae,Chelidonium,majus,N,biotic,6,4,herb,0.8,1,dish_bowl,actinomorph,0,1,0,NA,NA,NA,46.4,NA,NA,NA
Cephalanthus occidentalis,Rubiaceae,Cephalanthus,occidentalis,E,NA,NA,NA,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cichorium intybus,Asteraceae,Cichorium,intybus,N,biotic,3,7,herb,1.2,1,dish_bowl,actinomorph,1,1,0,NA,NA,NA,103.8,NA,NA,NA
Cirsium vulgare,Asteraceae,Cirsium,vulgare,N,biotic,3,7,herb,3,1,brush,no_symmetry,1,1,0,182,304,243,87.2,NA,NA,NA
Clematis patens,Ranunculaceae,Clematis,patens,E,biotic,NA,NA,climber,NA,NA,dish_bowl,actinomorph,0,1,0,NA,NA,NA,NA,NA,NA,NA
