"","ID","Shannon","NrSpecies","location","landscape","replicate","bbspecies","bborgan","site"
"1","01_1_BERD_lB",0,1,"BE","R","D","B.pascuorum","B","BE_R"
"2","01_1_BERD_pB",0.20620412465596,2,"BE","R","D","B.lapidarius","B","BE_R"
"3","01_2_BERD_lB",1.04898098783453,3,"BE","R","D","B.pascuorum","B","BE_R"
"4","01_2_BERD_pB",0.206065207787679,2,"BE","R","D","B.lapidarius","B","BE_R"
"5","01_BEUA_lB",1.71989689033663,9,"BE","U","A","B.pascuorum","B","BE_U"
"6","01_BEUA_pB",0.534609048527625,3,"BE","U","A","B.lapidarius","B","BE_U"
"7","01_BEUB_lB",0.510577790729352,5,"BE","U","B","B.pascuorum","B","BE_U"
"8","01_BEUB_pB",0.190650923356788,3,"BE","U","B","B.lapidarius","B","BE_U"
"9","01_BEUC_lB",1.87526698921035,9,"BE","U","C","B.pascuorum","B","BE_U"
"10","01_BEUC_pB",0.716189516996612,5,"BE","U","C","B.lapidarius","B","BE_U"
"11","01_BSRD_lB",0.132181878731538,3,"BS","R","D","B.pascuorum","B","BS_R"
"12","01_BSRD_lL",0,1,"BS","R","D","B.pascuorum","L","BS_R"
"13","01_BSRD_pB",0.318649844266605,3,"BS","R","D","B.lapidarius","B","BS_R"
"14","01_BSRD_pL",0.0616332189015432,2,"BS","R","D","B.lapidarius","L","BS_R"
"15","01_BSRE_lB",1.77490501175497,8,"BS","R","E","B.pascuorum","B","BS_R"
"16","01_BSRE_pB",0.93058265688024,4,"BS","R","E","B.lapidarius","B","BS_R"
"17","01_BSRF_lB",0.0928148162040403,2,"BS","R","F","B.pascuorum","B","BS_R"
"18","01_BSRF_pB",0,1,"BS","R","F","B.lapidarius","B","BS_R"
"19","01_BSUA_lB",0.317326489693478,3,"BS","U","A","B.pascuorum","B","BS_U"
"20","01_BSUA_pB",0.172987984872374,3,"BS","U","A","B.lapidarius","B","BS_U"
"21","01_BSUA_pL",0,1,"BS","U","A","B.lapidarius","L","BS_U"
"22","01_BSUB_lB",0.579776599449512,5,"BS","U","B","B.pascuorum","B","BS_U"
"23","01_BSUB_pB",0.507101655704567,4,"BS","U","B","B.lapidarius","B","BS_U"
"24","01_BSUB_pL",0.0633239214247291,2,"BS","U","B","B.lapidarius","L","BS_U"
"25","01_BSUC_lB",1.65215947979763,8,"BS","U","C","B.pascuorum","B","BS_U"
"26","01_BSUC_pB",1.51289795336028,8,"BS","U","C","B.lapidarius","B","BS_U"
"27","01_ZHRD_lB",0.214880418362093,2,"ZH","R","D","B.pascuorum","B","ZH_R"
"28","01_ZHRD_pB",1.01718461716722,5,"ZH","R","D","B.lapidarius","B","ZH_R"
"29","01_ZHRE_lB",0.937472508244316,4,"ZH","R","E","B.pascuorum","B","ZH_R"
"30","01_ZHRE_pB",1.68591969836133,10,"ZH","R","E","B.lapidarius","B","ZH_R"
"31","01_ZHRF_lB",0.600932587971339,3,"ZH","R","F","B.pascuorum","B","ZH_R"
"32","01_ZHRF_pB",0.0665198497338825,2,"ZH","R","F","B.lapidarius","B","ZH_R"
"33","01_ZHUA_lB",1.88602220070034,9,"ZH","U","A","B.pascuorum","B","ZH_U"
"34","01_ZHUA_pB",0.235384367065127,3,"ZH","U","A","B.lapidarius","B","ZH_U"
"35","01_ZHUB_lB",2.37278646524668,15,"ZH","U","B","B.pascuorum","B","ZH_U"
"36","01_ZHUB_pB",0.455453315770832,4,"ZH","U","B","B.lapidarius","B","ZH_U"
"37","01_ZHUB_pL",0.606748176129765,5,"ZH","U","B","B.lapidarius","L","ZH_U"
"38","01_ZHUC_lB",0.326002650739624,4,"ZH","U","C","B.pascuorum","B","ZH_U"
"39","01_ZHUC_pB",0,1,"ZH","U","C","B.lapidarius","B","ZH_U"
"40","01_ZHUC_pL",0.0710725936716126,2,"ZH","U","C","B.lapidarius","L","ZH_U"
"41","02_1_BERD_lB",0.0598706610406411,2,"BE","R","D","B.pascuorum","B","BE_R"
"42","02_1_BERD_pB",0,1,"BE","R","D","B.lapidarius","B","BE_R"
"43","02_2_BERD_lB",0.685522182623887,2,"BE","R","D","B.pascuorum","B","BE_R"
"44","02_2_BERD_lL",0.0624855332753193,2,"BE","R","D","B.pascuorum","L","BE_R"
"45","02_2_BERD_pB",0,1,"BE","R","D","B.lapidarius","B","BE_R"
"46","02_2_BERD_pL",0,1,"BE","R","D","B.lapidarius","L","BE_R"
"47","02_BEUA_lB",0.726598757961595,4,"BE","U","A","B.pascuorum","B","BE_U"
"48","02_BEUA_lL",0.327482603165386,2,"BE","U","A","B.pascuorum","L","BE_U"
"49","02_BEUA_pB",0.434111263951618,3,"BE","U","A","B.lapidarius","B","BE_U"
"50","02_BEUA_pL",0.0940426113199644,2,"BE","U","A","B.lapidarius","L","BE_U"
"51","02_BEUB_lB",1.8478862405948,11,"BE","U","B","B.pascuorum","B","BE_U"
"52","02_BEUB_pB",1.4132222161523,7,"BE","U","B","B.lapidarius","B","BE_U"
"53","02_BEUC_lB",1.51231600402117,9,"BE","U","C","B.pascuorum","B","BE_U"
"54","02_BEUC_pB",0.111575394480231,2,"BE","U","C","B.lapidarius","B","BE_U"
"55","02_BEUC_pL",0,1,"BE","U","C","B.lapidarius","L","BE_U"
"56","02_BSRD_lB",0.0820643013407305,2,"BS","R","D","B.pascuorum","B","BS_R"
"57","02_BSRD_lL",0,1,"BS","R","D","B.pascuorum","L","BS_R"
"58","02_BSRD_pB",0.370583225818229,2,"BS","R","D","B.lapidarius","B","BS_R"
"59","02_BSRD_pL",0.0660639764583852,2,"BS","R","D","B.lapidarius","L","BS_R"
"60","02_BSRE_lB",0.645784843518197,5,"BS","R","E","B.pascuorum","B","BS_R"
"61","02_BSRE_pB",0,1,"BS","R","E","B.lapidarius","B","BS_R"
"62","02_BSRF_lB",0.146089643063327,3,"BS","R","F","B.pascuorum","B","BS_R"
"63","02_BSUA_lB",0.994680855948768,5,"BS","U","A","B.pascuorum","B","BS_U"
"64","02_BSUA_lL",1.02290827597089,4,"BS","U","A","B.pascuorum","L","BS_U"
"65","02_BSUA_pB",0,1,"BS","U","A","B.lapidarius","B","BS_U"
"66","02_BSUB_lB",0.459665357202293,4,"BS","U","B","B.pascuorum","B","BS_U"
"67","02_BSUB_pB",1.15436210676505,8,"BS","U","B","B.lapidarius","B","BS_U"
"68","02_BSUB_pL",0.196063791483481,3,"BS","U","B","B.lapidarius","L","BS_U"
"69","02_BSUC_lB",1.9863249100946,11,"BS","U","C","B.pascuorum","B","BS_U"
"70","02_BSUC_pB",1.85975263923331,11,"BS","U","C","B.lapidarius","B","BS_U"
"71","02_ZHRD_lB",1.14988299283663,6,"ZH","R","D","B.pascuorum","B","ZH_R"
"72","02_ZHRD_pB",1.46199259666644,7,"ZH","R","D","B.lapidarius","B","ZH_R"
"73","02_ZHRE_lB",0.159010572291159,3,"ZH","R","E","B.pascuorum","B","ZH_R"
"74","02_ZHRE_pB",0.299654144557699,2,"ZH","R","E","B.lapidarius","B","ZH_R"
"75","02_ZHRE_pL",0.301541788941199,4,"ZH","R","E","B.lapidarius","L","ZH_R"
"76","02_ZHRF_lB",1.00174013957606,6,"ZH","R","F","B.pascuorum","B","ZH_R"
"77","02_ZHRF_pB",0.511599986209878,3,"ZH","R","F","B.lapidarius","B","ZH_R"
"78","02_ZHRF_pL",0.140042609412187,2,"ZH","R","F","B.lapidarius","L","ZH_R"
"79","02_ZHUA_lB",0.180339804131775,2,"ZH","U","A","B.pascuorum","B","ZH_U"
"80","02_ZHUA_lL",0,1,"ZH","U","A","B.pascuorum","L","ZH_U"
"81","02_ZHUA_pB",0.234257454103482,4,"ZH","U","A","B.lapidarius","B","ZH_U"
"82","02_ZHUA_pL",0.0752790248374992,2,"ZH","U","A","B.lapidarius","L","ZH_U"
"83","02_ZHUB_lB",0.334506404387265,4,"ZH","U","B","B.pascuorum","B","ZH_U"
"84","02_ZHUB_lL",0,1,"ZH","U","B","B.pascuorum","L","ZH_U"
"85","02_ZHUB_pB",0,1,"ZH","U","B","B.lapidarius","B","ZH_U"
"86","02_ZHUC_lB",0.0739131031104599,2,"ZH","U","C","B.pascuorum","B","ZH_U"
"87","02_ZHUC_pB",0.451135633548232,2,"ZH","U","C","B.lapidarius","B","ZH_U"
"88","02_ZHUC_pL",0.672392771719815,2,"ZH","U","C","B.lapidarius","L","ZH_U"
"89","03_1_BERD_lB",0.0674618584704991,2,"BE","R","D","B.pascuorum","B","BE_R"
"90","03_1_BERD_lL",0.225396662346891,2,"BE","R","D","B.pascuorum","L","BE_R"
