ID,Shannon,NrSpecies,location,landscape,replicate,bbspecies,intertegular_distance,glossa,prementum,proboscis_length,proboscis_ratio,fore_wing_length,fore_wing_ratio,corbicula_length,corbicula_ratio
01_2_BERD_l,1.0489809878345286,3,BE,rural,D,B.pascuorum,3.56,5.5,2.43,7.93,2.23,10.47,2.94,3.65,1.03
01_2_BERD_p,0.2060652077876791,2,BE,rural,D,B.lapidarius,3.63,6.81,2.84,9.65,2.66,10.76,2.96,3.76,1.04
01_BEUA_l,1.7198968903366327,9,BE,urban,A,B.pascuorum,2.88,5.06,2.23,7.29,2.53,8.9,3.09,2.99,1.04
01_BEUA_p,0.5346090485276254,3,BE,urban,A,B.lapidarius,3.12,4.4,2.5,6.9,2.21,9.88,3.17,3.43,1.1
01_BEUB_l,0.5105777907293522,5,BE,urban,B,B.pascuorum,3.26,5.09,2.09,7.18,2.2,9.58,2.94,3.1,0.95
01_BEUB_p,0.19065092335678777,3,BE,urban,B,B.lapidarius,2.51,4.89,2.11,7,2.79,7.51,2.99,2.34,0.93
01_BEUC_l,1.8752669892103473,9,BE,urban,C,B.pascuorum,3.79,5.94,2.53,8.47,2.23,11.28,2.98,3.72,0.98
01_BEUC_p,0.7161895169966123,5,BE,urban,C,B.lapidarius,2.85,5.47,2.31,7.78,2.73,8.76,3.07,2.9,1.02
01_BSRD_l,0.1321818787315385,3,BS,rural,D,B.pascuorum,3.74,5.89,2.51,8.4,2.25,11.11,2.97,4.2,1.12
01_BSRD_p,0.31864984426660514,3,BS,rural,D,B.lapidarius,3.46,4.91,2.84,7.75,2.24,10.6,3.06,3.87,1.12
01_BSRE_l,1.774905011754967,8,BS,rural,E,B.pascuorum,3.02,4.63,2.13,6.76,2.24,8.52,2.82,2.9,0.96
01_BSRE_p,0.9305826568802398,4,BS,rural,E,B.lapidarius,3.12,6.16,2.52,8.68,2.78,9.53,3.05,3.07,0.98
01_BSRF_l,0.09281481620404028,2,BS,rural,F,B.pascuorum,3.12,5.48,2.39,7.87,2.52,10.27,3.29,3.61,1.16
01_BSRF_p,0,1,BS,rural,F,B.lapidarius,2.55,4.73,2.17,6.9,2.71,7.91,3.1,2.63,1.03
01_BSUA_l,0.31732648969347765,3,BS,urban,A,B.pascuorum,3.13,3.5,2.26,5.76,1.84,9.8,3.13,3.27,1.04
01_BSUA_p,0.17298798487237446,3,BS,urban,A,B.lapidarius,2.89,4.17,2.29,6.46,2.24,8.89,3.08,3.04,1.05
01_BSUB_l,0.5797765994495119,5,BS,urban,B,B.pascuorum,2.99,4.61,2.09,6.7,2.24,9.15,3.06,3.16,1.06
01_BSUB_p,0.5071016557045674,4,BS,urban,B,B.lapidarius,3.09,4.69,2.49,7.18,2.32,9.65,3.12,3.24,1.05
01_BSUC_l,1.6521594797976333,8,BS,urban,C,B.pascuorum,3.6,5.81,2.58,8.39,2.33,11.13,3.09,3.74,1.04
01_BSUC_p,1.5128979533602775,8,BS,urban,C,B.lapidarius,2.91,5.27,2.33,7.6,2.61,8.73,3,3.03,1.04
01_ZHRD_l,0.21488041836209254,2,ZH,rural,D,B.pascuorum,4.18,6.69,2.78,9.47,2.27,13,3.11,4.59,1.1
01_ZHRD_p,1.0171846171672203,5,ZH,rural,D,B.lapidarius,2.65,5.14,2.16,7.3,2.75,8.27,3.12,3.25,1.23
01_ZHRE_l,0.9374725082443164,4,ZH,rural,E,B.pascuorum,3.84,5.57,2.75,8.32,2.17,11.42,2.97,4.1,1.07
01_ZHRE_p,1.685919698361334,10,ZH,rural,E,B.lapidarius,3.19,6.69,2.55,9.24,2.9,9.92,3.11,3.5,1.1
01_ZHRF_l,0.6009325879713387,3,ZH,rural,F,B.pascuorum,3.49,5.67,2.4,8.07,2.31,10.52,3.01,3.62,1.04
01_ZHRF_p,0.0665198497338825,2,ZH,rural,F,B.lapidarius,3.09,5.82,2.39,8.21,2.66,9.19,2.97,3.09,1
01_ZHUA_l,1.8860222007003389,9,ZH,urban,A,B.pascuorum,3.22,5.11,2.04,7.15,2.22,9.91,3.08,3.09,0.96
01_ZHUA_p,0.2353843670651275,3,ZH,urban,A,B.lapidarius,3.14,6.57,2.62,9.19,2.93,9.86,3.14,3.34,1.06
01_ZHUB_l,2.372786465246679,15,ZH,urban,B,B.pascuorum,3.95,6.07,2.64,8.71,2.21,12,3.04,3.85,0.97
01_ZHUB_p,0.45545331577083226,4,ZH,urban,B,B.lapidarius,2.82,5.8,2.37,8.17,2.9,9.19,3.26,2.93,1.04
