Taxon,Koordx,Koordy,Jahr,Ordnung,Familie
Acer opalus Mill.,2600407,1200216,2018,,Sapindaceae
Acer opalus Mill.,2600407,1200204,2019,,Sapindaceae
Acer opalus Mill.,2600413,1200214,2020,,Sapindaceae
Aconitum napellus L.,2600482,1200232,2019,,Ranunculaceae
Adiantum capillus-veneris L.,2600480,1200210,2015,,Pteridaceae
Agrimonia procera Wallr.,2600521,1200299,2019,,Rosaceae
Agrimonia procera Wallr.,2600522,1200311,2021,,Rosaceae
Agrimonia procera Wallr.,2600522,1200311,2021,,Rosaceae
Agrimonia procera Wallr.,2600520,1200316,2021,,Rosaceae
Agrostemma githago L.,2600500,1200500,2012,,Caryophyllaceae
Agrostemma githago L.,2600546,1200677,2012,,Caryophyllaceae
Agrostemma githago L.,2601184,1200809,2016,,Caryophyllaceae
Agrostemma githago L.,2601500,1200500,2016,,Caryophyllaceae
Ajuga chamaepitys (L.) Schreb.,2600475,1200256,2022,,Lamiaceae
Alisma lanceolatum With.,2600499,1200172,2022,,Alismataceae
Alisma lanceolatum With.,2600509,1200273,2022,,Alismataceae
Alisma lanceolatum With.,2600521,1200239,2022,,Alismataceae
Allium carinatum L. subsp. carinatum,2600497,1200078,2012,,Amaryllidaceae
Allium scorodoprasum L.,2600557,1200222,2014,,Amaryllidaceae
Allium scorodoprasum L.,2600500,1200500,2015,,Amaryllidaceae
Allium scorodoprasum L.,2601500,1200500,2016,,Amaryllidaceae
Allium scorodoprasum L.,2600506,1200322,2021,,Amaryllidaceae
Allium scorodoprasum L.,2600520,1200316,2021,,Amaryllidaceae
Alnus viridis (Chaix) DC.,2600469,1200224,2019,,Betulaceae
Alnus viridis (Chaix) DC.,2600486,1200220,2019,,Betulaceae
Alnus viridis (Chaix) DC.,2600484,1200222,2019,,Betulaceae
Alnus viridis (Chaix) DC.,2600495,1200230,2019,,Betulaceae
Alyssum montanum L.,2601344,1200977,2013,,Brassicaceae
Alyssum montanum L.,2601500,1200500,2014,,Brassicaceae
Amelanchier ovalis Medik.,2600497,1200223,2019,,Rosaceae
Anacamptis pyramidalis (L.) Rich.,2601500,1200500,2016,,Orchidaceae
Antennaria dioica (L.) Gaertn.,2600479,1200247,2019,,Asteraceae
Antennaria dioica (L.) Gaertn.,2600481,1200251,2019,,Asteraceae
Anthericum liliago L.,2600453,1200239,2019,,Asparagaceae
Anthericum liliago L.,2600481,1200242,2019,,Asparagaceae
Apium repens (Jacq.) Lag.,2600497,1200183,2022,,Apiaceae
Aquilegia atrata W. D. J. Koch,2601122,1200253,2016,,Ranunculaceae
Aquilegia atrata W. D. J. Koch,2601500,1200500,2016,,Ranunculaceae
Aquilegia vulgaris L.,2600500,1200500,2014,,Ranunculaceae
Aquilegia vulgaris L.,2601477,1200728,2014,,Ranunculaceae
Aquilegia vulgaris L.,2600436,1200909,2014,,Ranunculaceae
Aquilegia vulgaris L.,2601477,1200728,2014,,Ranunculaceae
Aquilegia vulgaris L.,2601500,1200500,2014,,Ranunculaceae
Aquilegia vulgaris L.,2601582,1200164,2015,,Ranunculaceae
Aquilegia vulgaris L.,2601464,1200775,2015,,Ranunculaceae
Aquilegia vulgaris L.,2601568,1200100,2015,,Ranunculaceae
Aquilegia vulgaris L.,2600891,1200744,2015,,Ranunculaceae
Aquilegia vulgaris L.,2600730,1200463,2015,,Ranunculaceae
Aquilegia vulgaris L.,2601563,1200112,2016,,Ranunculaceae
Aquilegia vulgaris L.,2600458,1200242,2019,,Ranunculaceae
Aquilegia vulgaris L.,2600496,1200249,2019,,Ranunculaceae
Aquilegia vulgaris L.,2600476,1200179,2019,,Ranunculaceae
Aquilegia vulgaris L.,2600450,1200264,2019,,Ranunculaceae
Aquilegia vulgaris L.,2600447,1200271,2019,,Ranunculaceae
Aquilegia vulgaris L.,2601429,1200281,2020,,Ranunculaceae
Arabis collina Ten.,2600497,1200116,2022,,Brassicaceae
Arabis collina Ten.,2600499,1200117,2022,,Brassicaceae
Arabis hirsuta (L.) Scop.,2600664,1201011,2016,,Brassicaceae
Arabis hirsuta (L.) Scop.,2601577,1200039,2017,,Brassicaceae
Arabis hirsuta (L.) Scop.,2600442,1200234,2019,,Brassicaceae
Arctostaphylos uva-ursi (L.) Spreng.,2600470,1200255,2019,,Ericaceae
Arctostaphylos uva-ursi (L.) Spreng.,2600469,1200255,2019,,Ericaceae
Arctostaphylos uva-ursi (L.) Spreng.,2600472,1200249,2019,,Ericaceae
