"","nbsp.w","FRic.w","FEve.w","FDiv.w"
"BERD",8,0.127922531381522,0.378953371074753,0.919374828347454
"BEUA",11,2.02636391880142,0.484922860222131,0.713106465839789
"BEUB",41,17.3841186613615,0.400714322669017,0.887785168925943
"BEUC",28,12.1471740322563,0.382908822715287,0.817163878794463
"BSRD",14,10.4857847205873,0.623259603745341,0.98180775329381
"BSRE",13,7.29171880724559,0.237261221662019,0.929653444512364
"BSRF",15,3.01488791013423,0.419094252900653,0.883504236157514
"BSUA",39,52.2362221777919,0.295136565727352,0.839763153994922
"BSUB",36,8.70348854915929,0.361680193542796,0.882862043555768
"BSUC",46,73.6999190790264,0.273858301930631,0.872866831724803
"ZHRD",40,5.2026554419287,0.33244156807074,0.898915286506443
"ZHRE",25,4.34371404260513,0.314171919123201,0.828899512922773
"ZHRF",17,5.32033033791145,0.396721848567435,0.806461279106742
"ZHUA",62,73.6821356141853,0.260257138967455,0.854465595022412
"ZHUB",48,6.04040553723836,0.306277173862873,0.810530501964907
"ZHUC",48,15.7426146806562,0.307420374376049,0.760677923335027
