"Achillea filipendulina","Achillea millefolium","Agastache pallida","Agastache rugosa","Ailanthus altissima","Allium ampeloprasum","Allium carinatum","Allium cepa","Allium cernuum","Allium flavum","Allium garganicum","Allium schoenoprasum","Allium sp.","Allium sphaerocephalon","Asparagus officinalis","Asteraceae sp.","Bellis perennis","Borago officinalis","Calystegia sepium","Campanula glomerata","Campanula medium","Campanula portenschlagiana","Campanula rapunculoides","Campanula rotundifolia","Carduus acanthoides","Catalpa bignonioides","Centaurea cyanus","Centaurea jacea","Centaurea scabiosa","Centaurea stoebe","Chelidonium majus","Cichorium intybus","Cirsium vulgare","Clematis sp.","Clinopodium vulgare","Crepis capillaris","Crepis sp.","Daboecia cantabrica","Daucus carota","Delosperma cooperi","Digitalis grandiflora","Diplotaxis tenuifolia","Echinacea purpurea","Echium vulgare","Filipendula ulmaria","Foeniculum vulgare","Galega officinalis","Galium mollugo","Genista tinctoria","Geum urbanum","Helianthus pauciflorus","Heracleum sphondylium","Hydrangea longipes","Hydrangea macrophylla","Hypericum androsaemum","Hypericum calycinum","Hypericum perforatum","Hypericum scabrum","Hypochaeris radicata","Hypochaeris sp.","Hyssopus officinalis","Impatiens glandulifera","Jacobaea vulgaris","Koelreuteria paniculata","Lamiaceae sp.","Lathyrus pratensis","Lathyrus sativus","Lavandula angustifolia","Leontodon hispidus","Ligustrum ovalifolium","Linaria vulgaris","Lolium multiflorum","Lolium temulentum","Lotus corniculatus","Lotus pedunculatus","Lotus sp.","Lupinus breweri","Lysimachia clethroides","Lysimachia thyrsiflora","Lysimachia vulgaris","Lythrum salicaria","Mauranthemum decipiens","Medicago lupulina","Medicago sativa","Melilotus albus","Melissa officinalis","Onobrychis viciifolia","Ononis spinosa","Onopordum acanthium","Onopordum tauricum","Origanum vulgare","Oxalis corniculata","Papaver rhoeas","Parietaria judaica","Petrorhagia saxifraga","Phacelia tanacetifolia","Philadelphus coronarius","Picris hieracioides","Plantago lanceolata","Plantago major","Plantago media","Potentilla recta","Prunella vulgaris","Raphanus sativus","Reseda lutea","Rhinanthus alectorolophus","Robinia pseudoacacia","Rubus plicatus","Rudbeckia fulgida","Salvia farinacea","Salvia nemorosa","Sambucus ebulus","Scorzoneroides autumnalis","Securigera varia","Sedum acre","Sedum aizoon","Sedum album","Sedum pallidum","Sedum rupestre","Sedum spurium","Silene vulgaris","Sinapis arvensis","Solanum dulcamara","Solanum lycopersicum","Spiraea japonica","Stachys spinosa","Symphytum officinale","Tagetes erecta","Tagetes tenuifolia","Taraxacum officinale","Tetradium glabrifolium","Teucrium chamaedrys","Teucrium scorodonia","Tilia americana","Tilia dasystyla","Tilia hyrcana","Tilia oliveri","Tilia platyphyllos","Tilia tomentosa","Tilia x euchlora","Trifolium alpestre","Trifolium cernuum","Trifolium hybridum","Trifolium pratense","Trifolium repens","Trifolium rubens","Trifolium sp.","Urtica dioica","Verbascum nigrum","Vicia cracca","Vicia sativa","Vicia sepium","xChitalpa tashkentensis","Zinnia elegans"
"BERD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317883528038378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188904107194382,0,0,0,0,0,0.010466731375877,0,0,0,0,0.00847561804386125,0,0,0,0,0,0,0,0,0,0,0,0.557213165487109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000403162520735885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41646065574575,0.00191279047433889,0,0,0,0,0,0,0,0,0
"BEUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00534437542920574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785555067433081,0,0,0,0,0,0,0.0076976345984968,0,0,0,0,0,0.299668159133419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00329658140664523,0,0,0.323998226381381,0,0,0,0.0145437609449475,0,0,0,0,0,0,0,0,0.0144942186466466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924583142039882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215820742208049,0.0148224363728899,0,0,0,0,0,0,0,0,0
"BEUB",0,0,0,0,0,0,0.09445371239858,0,0.000592883665853987,0.00125735129704546,0.00165762866510158,0,0,0,0,0.000600421874494874,0,0.000971155090181837,0,0,0,0,0,0,0.000783770655519762,0,0.000428853028703654,0,0,0,0,0,0,0,0,0.00876765374614735,0,0,0,0,0,0,0,0.0312830028834268,0,0.000524045752592731,0.00114688656231684,0,0,0,0.00880330278450282,0,0,0,0,0,0,0,0.000479727232265391,0,0.000370477066245475,0.000985753310912063,0,0,0,0,0,0,0.000401866853733235,0,0.0148120472387241,0,0,0.19040467878382,0,0,0,0,0,0,0.00186260530262757,0,0,0.00131498627749293,0,0,0.00150988820154693,0.00967625351206218,0.014396509979385,0.00196555339262078,0,0,0.000348158376868672,0,0,0,0,0,0.00119217117077492,0.0012051916942714,0.00266673753545648,0,0.131009251664797,0,0,0,0,0,0,0,0,0,0.00308784730787081,0.00124295794358722,0,0.00062151725198898,0,0,0,0,0,0,0.000377522544604621,0,0.00034529285817021,0,0.00505993157200716,0,0,0,0,0.000703323161705216,0,0,0,0,0,0,0,0,0,0,0,0.302354976887968,0.146471074823672,0,0.00218122467796003,0,0,0,0,0,0,0.0116818049723949
"BEUC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000813324746160553,0,0.00147101729509743,0.000571865363552179,0,0,0,0,0,0,0,0,0,0.00244612587353069,0,0,0.00105508954400072,0,0,0,0.0324556795662172,0,0,0,0,0,0.000907916955015104,0,0.00890469089523899,0,0.000621072418478277,0,0,0,0,0.0091989341522058,0,0,0,0,0,0,0,0.10137001028096,0,0,0,0,0,0,0,0,0,0.000905608144614551,0,0.0118505984178955,0,0,0.272374684516114,0,0,0,0,0,0,0,0,0,0.0121083687375547,0,0,0.0164589874110942,0,0,0,0,0.0169064501037271,0,0,0,0,0,0,0.00170810094860561,0,0.00776282887320059,0,0.123105316772109,0,0,0,0,0,0,0,0,0,0.0168692228922754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00975147418605285,0,0,0.00299161778033959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159866974856404,0.184675876574923,0,0.000574436365593545,0,0,0,0.00121442605761365,0,0,0.00105930027142606
"BSRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045455965189646,0,0.0014126676944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136740077135082,0,0,0,0,0,0.00312476694245651,0,0,0,0,0.000313845479068183,0,0,0,0,0.00172363190222093,0,0,0,0,0,0,0.0953093099659831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543517528235547,0,0,0.00137293267673065,0,0.00254303633406149,0,0.0244816707890882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082823870626201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857505107898805,0.00412765590532161,0,0,0,0,0,0,0,0,0
"BSRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239809100643361,0,0,0,0,0,0,0.0538280307673555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749974853483484,0,0,0,0,0,0,0,0,0,0,0.000812060984119647,0,0,0,0,0,0,0,0,0,0,0.0140162718741249,0,0,0.00503321344924928,0,0,0,0.0549887614939488,0,0,0,0,0,0,0,0,0,0,0.00103018977009246,0,0,0,0,0,0,0,0,0,0,0,0,0.000355549374694938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000255474425844156,0,0,0.107742000338619,0.00927896258934529,0,0.000286540442687658,0,0,0,0,0,0,0
"BSRF",0,0,0,0,0,0,0.000331006655365552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183064488036518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177418885209219,0,0,0,0,0,0,0,0,0,0.000432909947069255,0,0,0,0,0,0,0.836572251212107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304403353944639,0,0,0,0,0,0,0,0.00195674701067299,0,0.000203675721698371,0.00139144576641469,0,0,0,0.021264962700326,0,0,0,0,0,0,0,0,0,0,0.0140839005494012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744042620633134,0.0447660503092111,0.000375308677035795,0.000308242300982248,0,0,0,0,0,0,0
"BSUA",0.0245335320470912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000448795261581346,0.000401042474505964,0.0120963532658258,0,0,0,0,0.000786690801764016,0.00725085643189617,0.187158392849491,0,0,0,0.000486112389479551,0,0,0.00420357855513802,0,0.000611659596913965,0,0.0140278746196687,0,0,0.00111060028340915,0.000998204063905591,0,0,0,0,0,0,0.00193526431345921,0,0,0,0,0,0.0179938931403361,0,0.000775511551139599,0,0.000595525147234966,0,0,0.00114192705825348,0,0,0,0.000520584902197009,0,0,0,0,0,0.0227570068865992,0,0,0,0,0,0,0.000899074281015406,0,0,0.00379803431962293,0,0.0178311837332274,0.000409334264169769,0,0,0,0,0,0,0,0,0.0217274908569519,0,0,0.00379815611473346,0,0.00351216098102117,0,0.108994131039947,0,0,0,0,0,0,0.000463541788113128,0,0,0,0.00797744624624792,0,0,0,0,0,0,0,0,0,0.000314655849546992,0,0,0,0,0,0.00401743629883502,0,0,0,0,0.000745581561582843,0.00117141767086632,0,0,0.000409136654017461,0,0,0,0,0.298722516483231,0.223919283607949,0,0.000668382336177895,0.000787630272852721,0,0,0,0,0,0
"BSUB",0,0,0,0,0.000664764564839689,0.000277558215469996,0,0,0,0,0,0,0,0,0,0.000914254753857733,0,0,0,0,0,0,0,0,0,0,0.000590518060463253,0,0.00904820810553546,0.000319621161525759,0,0.000722811462965476,0,0,0,0.0553394482930423,0.000259563867202313,0,0,0,0,0,0,0.0326210391345403,0,0,0.000851870265478778,0,0,0,0.00258828168157292,0,0,0,0,0,0,0,0.00290114385053985,0.000232736517226719,0,0.000223057947182682,0,0.000731971628703287,0,0,0,0,0,0,0.00249119889541629,0,0,0.0590310993781293,0,0,0,0,0,0,0.00687153116383608,0,0,0.00055843899640807,0,0,0.145903150520934,0.000234119686722082,0,0,0,0,0,0,0,0,0,0,0.00459828683700873,0,0,0,0.0852054914057635,0.00294836720905841,0.00029943104866371,0,0.000746545756867236,0,0,0,0.00161136402032419,0,0,0.0223267674275733,0,0,0,0,0,0,0,0,0,0,0,0,0.0007170585639052,0,0.00509975988791186,0.000299946264030843,0.00325459488534948,0,0,0,0,0,0,0,0,0,0,0,0,0.130905205716375,0.417899336623405,0,0.000711456202170762,0,0,0,0,0,0,0
"BSUC",0,0,0,0,0,0,0,0,0,0,0,0.000594669331157662,0,0,0,0,0.000294296097820078,0,0,0,0,0,0,0,0,0,0.00035567959400446,0,0.0075597268083301,0,0,0,0.00302070081100697,0.00128156589723893,0,0.0111095499793731,0,0,0,0,0,0,0,0.00181455043385761,0,0,0,0,0,0,0.00707194827138777,0,0,0.00183684684944788,0,0.000346786429078624,0.00856976071817614,0.00107395506074742,0.00479731314817892,0,0,0,0.000386885589446432,0.00222569198837687,0.000301993181989302,0,0,0.0228812452218787,0,0.000427763569385828,0.000355364308934221,0,0,0.147285884003746,0.00170685257941642,0,0,0,0,0,0,0,0,0,0,0,0.0179536028147056,0.0130057592128311,0,0,0.00128184896859355,0,0,0,0,0.000873212454301823,0,0,0.00699854841566734,0.000296083646774502,0.00221795844576719,0,0.110888421767942,0.00835115944821376,0,0,0.00105336377832632,0,0,0,0,0,0,0.120388829545626,0,0.0157173140429299,0,0.00266900193367741,0.000316904659243567,0.000421211472806053,0,0,0,0,0,0,0,0,0,0,0,0,0.000414414015903239,0.000305924912462988,0.00181421665344951,0.00355893867373758,0,0,0.00035263602812938,0,0,0,0,0.0868948529635076,0.377323157165191,0.000813326024213355,0.00079028308301906,0,0,0,0,0,0,0
