"Achillea millefolium","Aconitum kusnezoffii","Aesculus parviflora","Agastache pallida","Agastache rugosa","Allium carinatum","Allium schoenoprasum","Amorpha fruticosa","Amorpha nana","Anemone hupehensis","Anemone tomentosa","Anthyllis vulneraria","Antirrhinum majus","Astragalus glycyphyllos","Begonia sp.","Bellis perennis","Boraginaceae sp.","Borago officinalis","Brassica rapa","Buddleja davidii","Calibrachoa elegans","Calystegia sepium","Campanula persicifolia","Campanula rapunculoides","Castanea sativa","Catalpa bignonioides","Centaurea cyanus","Centaurea montana","Centaurea scabiosa","Cephalanthus occidentalis","Chelidonium majus","Cichorium intybus","Clematis patens","Clematis sp.","Clinopodium vulgare","Coriandrum sativum","Crepis capillaris","Dasiphora fruticosa","Daucus carota","Dianthus armeria","Digitalis grandiflora","Digitalis lutea","Digitalis purpurea","Diplotaxis tenuifolia","Dipsacus fullonum","Echium vulgare","Eruca vesicaria","Foeniculum vulgare","Galega officinalis","Genista tinctoria","Gentiana macrophylla","Geum urbanum","Helianthus pauciflorus","Hibiscus syriacus","Hydrangea longipes","Hydrangea macrophylla","Hydrangea paniculata","Hydrangea quercifolia","Hypericum androsaemum","Hypericum calycinum","Hypericum myrtifolium","Hypericum perforatum","Hypericum scabrum","Hypochaeris radicata","Hyssopus officinalis","Impatiens balfourii","Impatiens glandulifera","Impatiens parviflora","Koelreuteria paniculata","Lamiaceae sp.","Lamium maculatum","Lathyrus pratensis","Lathyrus sativus","Lavandula angustifolia","Leontodon tingitanus","Leonurus cardiaca","Lespedeza thunbergii","Ligustrum ibota","Ligustrum ovalifolium","Linaria maroccana","Linaria purpurea","Linaria sp.","Linaria vulgaris","Lolium multiflorum","Lolium temulentum","Lonicera macranthoides","Lotus corniculatus","Lotus pedunculatus","Lotus sp.","Lysimachia vulgaris","Lythrum salicaria","Malva moschata","Malva sylvestris","Medicago lupulina","Medicago sativa","Melampyrum arvense","Melissa officinalis","Myosotis arvensis","Nepeta cataria","Nepeta racemosa","Nepeta saccharata","Nepeta sp.","Oenothera parviflora","Onobrychis viciifolia","Ononis natrix","Ononis spinosa","Origanum vulgare","Orobanche hederae","Oxalis corniculata","Petunia integrifolia","Phacelia tanacetifolia","Plantago lanceolata","Plantago major","Plantago media","Potentilla recta","Prunella vulgaris","Raphanus sativus","Rhinanthus alectorolophus","Robinia pseudoacacia","Rubus idaeus","Rubus plicatus","Salvia farinacea","Salvia nemorosa","Salvia pratensis","Scutellaria galericulata","Securigera varia","Sedum acre","Sedum aizoon","Sedum album","Sedum rupestre","Sedum spurium","Sedum telephium","Sempervivum montanum","Sideritis glacialis","Solanum dulcamara","Solanum lycopersicum","Solanum nigrum","Sonchus oleraceus","Spiraea japonica","Stachys officinalis","Stachys spinosa","Symphytum bulbosum","Symphytum officinale","Tagetes erecta","Tagetes tenuifolia","Tetradium glabrifolium","Teucrium botrys","Teucrium chamaedrys","Teucrium hircanicum","Teucrium scorodonia","Tilia dasystyla","Tilia hyrcana","Tilia oliveri","Trifolium alpestre","Trifolium hybridum","Trifolium ochroleucon","Trifolium pratense","Trifolium repens","Trifolium rubens","Trifolium sp.","Urtica dioica","Verbascum nigrum","Verbascum thapsus","Veronica spicata","Vicia cracca","Vicia sativa","Vicia sepium","Vitex negundo","xChitalpa tashkentensis","Zinnia elegans"
"BERD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102191796158511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005654798154322,0,0,0,0,0.061760352343783,0.000167329658787837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068536088895059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000349056683467593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858567998538263,0.00372402152383858,0,0.000218436240894029,0,0,0,0,0,0,0,0,0,0
"BEUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084113586062102,0,0,0,0,0,0,0,0,0.000373209772370644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605311444370484,0,0,0,0,0,0,0.000226997848457285,0,0,0,0,0,0,0,0,0.00682913348259295,0,0,0,0,0,0,0,0,0.00215386438145602,0.000461621325041127,0,0,0,0,0,0,0,0,0.000337939332337499,0,0.0273777178382447,0,0,0,0.109265128396407,0,0,0,0.00626171949940937,0,0,0,0.00224544744846157,0,0,0,0,0,0,0,0,0.000442195535161661,0,0.00102590985517044,0,0,0,0,0,0,0,0.000539709457782907,0,0.00030083756552655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00715089802226316,0,0.00449586560111593,0,0,0,0,0,0.100809031710263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636879387569719,0.0293708542709768,0,0.000940293058127516,0,0,0,0,0,0.000483185570724399,0,0,0,0.000656772160721149
"BEUB",0,0.00107245143011488,0,0.00100499098600081,0.000949487836721846,0.00125451309131807,0,0.00303047475474661,0.00192675625989196,0.00161501369769438,0.00140422614126015,0,0,0,0,0.000320881812246961,0,0.00774547871779039,0.000432557331266177,0,0,0,0,0,0,0,0,0,0.00193907683270327,0.000376295108367009,0,0,0,0,0,0,0,0.00037773878836225,0.000588218401220668,0,0,0,0,0,0.00139814435328472,0.0258210036732159,0,0.000453726628894178,0.030817426626706,0,0,0,0.0049891389479022,0,0.000260508854405438,0,0.000447151138935449,0.000509277013450101,0,0,0,0.0175359993646115,0,0,0.00146563233380813,0.00140277318023208,0.0222097593013279,0.00192730953523325,0,0.000532096414520614,0,0.00424092076547232,0.018081571987723,0,0,0,0.00748329814927984,0,0,0,0.000804237369935066,0,0.104500261501625,0,0,0,0.0604605776918739,0,0,0,0.0743976316404843,0,0,0,0.00734610090795499,0,0.0216848301525238,0,0,0,0.000346908383694247,0,0,0.00154249342440181,0.00713426641117966,0.00813080383421705,0.000424053016593108,0,0,0,0,0.00137749129646984,0.000593682181208873,0.00226792790236917,0,0.0465121400004525,0,0,0,0.000518385460530203,0.00674940351432397,0,0,0,0.000365683236618813,0,0,0,0.000345710391796539,0,0,0.000287829316789033,0,0.000274156055027858,0.0314235259570314,0.00304884353362389,0,0,0.0036397292083549,0,0,0,0.0171676924224349,0,0,0,0,0.00608771940428147,0,0.0105840651896127,0,0,0,0,0,0,0.221517772340193,0.191961617430767,0.000666150113210026,0,0,0,0,0.000304128923200733,0,0.00344780817217042,0.000472474156341682,0,0,0
"BEUC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00479381523318614,0.0243182345045643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000926952209182243,0,0,0,0,0,0,0.00110000335213023,0,0,0,0,0,0,0,0,0,0,0.0034434023038374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000647908336747829,0,0.00883498280085087,0,0,0,0.00606968673629463,0,0,0,0,0,0,0,0.00483800584532899,0,0.00425597972922667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000969106274419752,0,0.00288980132954052,0,0,0,0.000705497518283936,0,0.000550247534478829,0.00478649068970977,0.00524748596064714,0,0,0,0,0,0,0,0,0,0,0,0.00186184539075314,0,0,0,0,0,0,0.00103469464218565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888450121670202,0.0330004926424376,0,0.00127524529599277,0,0,0,0,0,0,0,0,0,0
"BSRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000471775934319835,0,0,0,0,0.0158346878560743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116893279163767,0,0,0,0,0,0,0,0.00186788293835025,0,0,0,0,0,0,0,0,0.00160415068953333,0,0.0385842856207858,0,0,0,0,0,0,0,0,0,0.000184459905501733,0,0,0,0,0.0082802540026468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114369787756301,0,0,0,0,0.000668596099815037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914775992171431,0.00209410779369348,0,0.00198093554999137,0,0,0,0,0,0,0.00081984564391693,0,0,0
"BSRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018015313686128,0,0,0,0.00359869622562734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220191975701789,0.000302153575171272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349533076376493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615367433144211,0,0,0,0,0,0,0,0,0,0.00232612210460164,0,0,0,0,0,0,0,0,0,0.0154613969520802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936193566097144,0.00216166039823376,0.000384278450717946,0,0,0,0,0,0,0,0,0,0,0
"BSRF",0,0,0,0,0,0.00688040746384922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015682887504954,0,0,0,0,0.00111674088958733,0,0,0,0,0.000303649155107942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308223787312667,0,0,0,0,0,0,0,0,0.000534067340121427,0,0,0,0,0,0,0,0,0,0.0258092589689748,0.0725233640500408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194207609312971,0,0,0,0.000335446816030119,0,0,0,0.00372688552196931,0,0,0,0,0,0,0,0,0,0,0.0331919053026818,0,0,0,0,0,0.0012562639240573,0,0.000473801717232681,0,0.0910378262107131,0.000930538048914754,0,0,0,0.00319641452928238,0,0,0,0,0.0524721758911767,0,0,0,0,0,0,0,0,0.00225335301039222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462677889098747,0.0345228687768774,0.0012350490017955,0.00115294365959164,0,0,0,0,0.000302126846839687,0.00490340971858553,0.00307949220665161,0,0,0
"BSUA",0,0,0,0,0,0,0,0,0,0.000404408912667833,0.0125005080721085,0,0.001094163834479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000286088975186247,0,0.0137709030357072,0,0,0,0,0,0,0,0.000194235073170809,0,0,0,0,0,0,0,0,0.00486769855232598,0,0,0,0,0,0,0.00322107528808259,0.000442917772953271,0,0,0,0,0.000306599820672413,0,0.0006836172578522,0.00570446666190276,0,0,0,0,0.000233034916407577,0,0,0.000204187341624596,0,0,0,0,0,0,0,0,0,0,0,0,0.00339640126965971,0.000267449240510945,0,0,0.0050512574926175,0,0,0,0.0162618180191638,0,0,0,0,0.000899962209008534,0,0,0,0,0,0,0,0.00209079590276719,0,0,0,0,0,0,0,0.00139422058489991,0,0,0,0.0672814139285006,0,0,0,0,0,0.0495542123124745,0.000195939565851496,0,0,0.001276644424847,0,0,0,0,0,0,0,0,0.0140680430531457,0.00568283447446686,0,0.000391059837924193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635411970074017,0.150617094489453,0,0.00224497760555146,0,0,0,0,0,0,0,0,0,0
"BSUB",0,0,0,0,0,0,0,0,0,0.00225666680285451,0,0,0.00597639106412334,0,0,0,0,0,0,0,0,0.00030763735872813,0,0,0,0,0,0,0.000371532210019012,0,0,0,0,0,0,0,0.00126318532913521,0,0,0,0,0,0,0.000417633890433982,0,0.0210462287997837,0.000166171231052957,0,0,0,0,0,0.0010685450807029,0,0,0,0,0,0.00539549333515926,0,0,0.0178805034879761,0.000709509218920642,0,0,0,0,0,0,0.000202972368555309,0,0,0.00181600937709636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102895784324213,0,0,0,0.000160289063582057,0,0,0,0,0,0.00220365229732072,0,0,0,0,0,0,0.000517226637458843,0,0,0.000164608258262731,0,0,0,0,0.00127545621091027,0,0,0,0.0137066556771309,0,0,0,0.00290639746550594,0,0,0,0,0,0.00261167057383228,0,0,0,0,0.00118439129792642,0.00222769203701549,0,0,0.0242524140173013,0,0.0039828914474018,0,0,0,0,0.002246779655884,0.113014533431709,0,0.000153693114471061,0.000223180521939042,0,0,0,0,0,0,0,0,0,0,0.496801807945638,0.256822124727721,0,0.00110396403454317,0,0,0,0,0,0,0,0.00527251359748297,0,0
"BSUC",0.000325243745906586,0,0.00417243355228779,0,0,0,0.000674862181869243,0,0,0,0,0,0,0,0.000887158400511374,0.00158716063246417,0,0.000458565989426009,0,0.00022875349813376,0,0,0.000252224051103944,0,0.00115793290729085,0,0,0.00377878798612276,0,0,0,0,0,0,0,0.000596316662399754,0.000402256100111787,0,0,0,0,0,0,0,0,0.0137509406820231,0,0,0,0,0,0,0,0,0.000442753068331189,0.00443035173351951,0,0,0,0.00155351114752417,0,0.0211101174911053,0.0344406418207844,0,0,0,0,0,0,0.000651483460049313,0.00595795351835161,0.00161215984391219,0.000348945281350182,0.0203579529390099,0,0,0,0,0,0,0,0,0.000241981450043885,0.000228679651845359,0,0.000326453077228087,0.0708679487012104,0.00900706036438387,0.000255119603556772,0,0.000373733572099464,0,0,0.000450276621461916,0,0,0,0.000560488275870174,0.000539657574670522,0.00028405109530608,0.000849387837146137,0,0,0,0,0,0,0.000297942263585961,0.00584798075189094,0,0,0.00536672329367444,0.000402027933106388,0,0,0.0451877012798496,0.000955636091834189,0,0,0,0.00405256658501913,0,0,0,0,0.00108523847085698,0,0.00953342457849635,0,0.00040308011700618,0.000607260345175838,0,0,0,0.00123583041083635,0.000357968136055566,0,0,0,0,0,0,0,0.000538047602905782,0.000701514381445279,0,0,0,0,0,0,0,0.000348446545285068,0,0,0,0.400354180029259,0.314792200218409,0,0.00170244177725103,0.000308088325065247,0,0,0.000918220592861455,0,0.000870893063547825,0.000969242688170635,0,0,0
