"","sp_richn","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"BERD",9,0.257355081230119,0.235711329679085,0.14219799305749,0.68915,0.00119018655635359,0.736650317571357,0.027126132207264,0.231545488357246,0.0853865232385894,-0.0079130895034698,0.016862044804796,-0.00440048731067024
"BEUA",25,0.363016470281185,0.313794219825511,0.131378799695805,0.720274,0.0277914525996573,0.762603652669478,0.0593740146367356,0.245861717214988,0.0297156383504974,-0.0283963702832421,0.00342407329922261,-0.0026147662074813
"BEUB",65,0.378793389307001,0.327688137050799,0.0969967988340944,0.663995,0.188520110274485,0.773422114390718,0.0743141527557874,0.242639380954422,0.00213853918680278,-0.0158672679742797,-0.00598253770542023,-0.0120016760810548
"BEUC",21,0.363901588455653,0.310692867183348,0.147186874053259,0.665503,0.0364026516001342,0.790268419178235,0.058839281101517,0.251701102382962,0.0253858516666034,-0.0323536406653723,0.0206608943868426,-0.0143374837613152
"BSRD",14,0.262628083647438,0.232782485416709,0.110828267159229,0.653942,0.00338899858064207,0.771192930532619,0.0267090383862575,0.235066763517099,0.0814077363300666,-0.00759494284713517,0.0135850719058587,-0.0112454463694808
"BSRE",11,0.196713914726836,0.192192133913038,0.12505882451625,0.609386,0.000575790097470605,0.610766816126877,0.0366210071353549,0.252143879265591,0.103662173483731,0.00489111167297879,-0.00264977574579027,-0.0142155844909077
"BSRF",26,0.365647734997709,0.314074611179572,0.119767236401725,0.640316,0.0450198055969845,0.765950956575829,0.0535723348779027,0.243082494875442,0.0335820622694553,-0.0169858460574932,0.00710995526114733,-0.0121174726995818
"BSUA",31,0.337739779977605,0.296246923384244,0.131334845780219,0.72107,0.0520152755861775,0.747102514751098,0.058026849636522,0.22078175322849,0.0163613313760124,-0.0186638427971007,-0.000889157596564613,0.00159624043324952
"BSUB",35,0.353087526148276,0.315342505361248,0.143010918498469,0.690562,0.115172916612546,0.71541040430767,0.064615321588849,0.229341632371243,-0.00341139394317181,-0.0198551229267703,0.00352070859856622,-0.00359092154635083
"BSUC",58,0.381441170487204,0.341981681906326,0.121399022183459,0.612844,0.426195825234992,0.711323471044602,0.0815044261090314,0.245395892396799,0.00383139602945785,-0.0105661016653558,0.00980755941500202,0.00106357291024402
"ZHRD",36,0.354628677178583,0.309236260931177,0.102539972708203,0.744324,0.0558713572308669,0.774384997169025,0.0618161452982166,0.233335785035428,-0.00838712030544146,-0.0379164855111612,0.00872409080214473,-0.00959474542150941
"ZHRE",26,0.356788555683063,0.303817721921625,0.111688828503724,0.632849,0.0298347312215255,0.805001746342172,0.0510110169811748,0.256285091047078,0.0447899320643337,-0.0269938061397983,0.00677635283340574,-0.0193875509610399
"ZHRF",17,0.345237611286335,0.291716729021557,0.127311255675498,0.705901,0.0120893597983986,0.812294055346963,0.0407401771971973,0.23090118910768,0.0376231351408321,-0.0144064339126462,0.00927003852925438,0.000877210728554692
"ZHUA",35,0.345502988121112,0.304950459119743,0.110495175801846,0.613489,0.0833821400141627,0.717793189691883,0.0495956782187836,0.230812895535102,0.0399754652408413,-0.0049047220778589,0.010721797197383,-0.00418720112536318
"ZHUB",51,0.382665702560573,0.332969786818442,0.105383937586105,0.654566,0.172796875320544,0.750955609169329,0.0711820950560412,0.250549197580908,0.0272360411482656,0.00874444995211496,0.0247307027439009,0.00729274252274601
"ZHUC",51,0.428750462392273,0.375936308782141,0.130924329100145,0.644665,0.380778266302563,0.748647930312305,0.0894206670406058,0.27353028351855,-0.00407410983813097,0.00929119324299955,0.0189465583364191,0.00427331613614969
