"","sp_richn","fdis","fmpd","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"01_1_BERD_p",2,0.153630107267541,0.196542836276684,0.000899122131946477,0.345138454862058,-0.144584277985764,0.0763659690273711,-0.0222236883957334,-0.00329465343254617
"01_2_BERD_p",2,0.153630107267541,0.196542836276684,0.000899122131946477,0.345138454862058,-0.144584277985764,0.0763659690273711,-0.0222236883957334,-0.00329465343254617
"01_BEUA_p",3,0.386136590876215,0.416165172085227,0.00237843288537989,0.343693013077738,-0.0590864335370817,0.0923812372125576,-0.0133128412023528,0.00160947326620504
"01_BEUB_p",3,0.339403876436032,0.342265310473224,0.0083307300741633,0.29812484582237,-0.0860795255776284,0.0617592514768869,-0.00591774302498943,-0.00893525435480786
"01_BEUC_p",5,0.255168345343335,0.254155687533202,0.0123286841575229,0.287878270322975,-0.0971500231241962,0.061504915991688,0.00128880711476271,-0.000493306560283138
"01_BSRD_p",3,0.240321422672188,0.279541247147084,0.00140199255987636,0.321326935039341,-0.131194796985512,0.0269113596433409,-0.0185988285652698,0.0124975155981371
"01_BSRE_p",4,0.349826713876773,0.375487606409078,0.0340071335605967,0.310467671782308,-0.0789519915630456,0.0147494957597664,0.0134905110108177,0.00604579040785246
"01_BSRF_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"01_BSUA_p",3,0.119398148779516,0.131428926553985,0.0017141000310119,0.350403539643082,-0.145436336100662,0.0838562558155333,-0.0190024993980118,-0.00231866325270028
"01_BSUB_p",4,0.266322659600182,0.267673925482225,0.00250875527340692,0.289586489705537,-0.0987697403345539,0.0681934390329033,-0.00820255604598663,-0.00345423832414757
"01_BSUC_p",8,0.353519388955132,0.329942909758607,0.0306584989789974,0.273386018879679,-0.0610010817754474,0.045841108506912,0.00359240609809021,0.00176992194412832
"01_ZHRD_p",5,0.406508788025218,0.374323753676473,0.0492675389131048,0.298726559478799,-0.0492594287870122,0.0450333889003623,-0.00812469923089947,0.00723906722535496
"01_ZHRE_p",9,0.326086810764244,0.296022371377212,0.0202427231005732,0.297994050711129,-0.0913604548079689,0.0357505725629331,0.00133204621036839,0.00149501598445807
"01_ZHRF_p",2,0.44258943272726,0.566215723997499,0.0666065748514876,0.315669308148159,-0.0295982686281042,-0.0415794664986634,0.0311219320094046,0.00905874697906625
"01_ZHUA_p",3,0.170105824535579,0.191657179754773,0.00551609921153744,0.315605204789275,-0.137327578132732,0.0459072047380981,-0.0230988391912028,-0.000493742226074143
"01_ZHUB_p",9,0.354155623537719,0.300862265734319,0.0288497718032041,0.281853942323698,-0.0298516741881248,0.0855061724852583,0.00731300320910661,-0.00896630952408623
"01_ZHUC_p",2,0.0401693831062911,0.0513896958585489,0.00176055143845978,0.382887198916292,-0.152487719819002,0.11020268648834,-0.00908057494977447,-0.00125590166004332
