"","nbsp.w","FRic.w","FEve.w","FDiv.w"
"01_BSRD_p",2,NA,NA,NA
"01_BSUA_p",1,NA,NA,NA
"01_BSUB_p",2,NA,NA,NA
"01_ZHUB_p",5,1.39527233275111,0.173383693674674,0.438968934301372
"01_ZHUC_p",2,NA,NA,NA
"02_2_BERD_p",1,NA,NA,NA
"02_BEUA_p",2,NA,NA,NA
"02_BEUC_p",1,NA,NA,NA
"02_BSRD_p",2,NA,NA,NA
"02_BSUB_p",3,0.0139080267436738,0.657828922822867,0.19503974785506
"02_ZHRE_p",4,0.0658302393383789,0.030055091943658,0.99363098252366
"02_ZHRF_p",2,NA,NA,NA
"02_ZHUA_p",2,NA,NA,NA
"02_ZHUC_p",2,NA,NA,NA
"03_1_BERD_p",1,NA,NA,NA
"03_BSRD_p",2,NA,NA,NA
"03_BSUA_p",1,NA,NA,NA
"03_BSUB_p",3,0.0139080267436738,0.103828366775717,0.904278169406771
"03_ZHRF_p",1,NA,NA,NA
"03_ZHUB_p",5,0.566038721075902,0.387247494646963,0.681484006291094
"04_1_BERD_p",1,NA,NA,NA
"04_BSRE_p",2,NA,NA,NA
"04_BSUB_p",3,0.524732338669247,0.744349050220122,0.534177662367313
"04_ZHRE_p",1,NA,NA,NA
"04_ZHUB_p",4,1.43696776237366,0.563029008805048,0.976619896855825
"04_ZHUC_p",5,3.31901034496614,0.352125361019029,0.964534328098922
"05_2_BERD_p",1,NA,NA,NA
"05_BSRD_p",1,NA,NA,NA
"05_BSRE_p",1,NA,NA,NA
"05_BSRF_p",2,NA,NA,NA
"05_BSUB_p",2,NA,NA,NA
"05_BSUC_p",4,1.37294524545567,0.899108191837352,0.815059555441504
"05_ZHUC_p",1,NA,NA,NA
"06_1_BERD_p",1,NA,NA,NA
"06_BEUA_p",5,1.98879663494785,0.489405325452026,0.899202029628938
"06_BEUC_p",2,NA,NA,NA
"06_BSUA_p",2,NA,NA,NA
"06_BSUB_p",4,1.42042060898778,0.544442129136269,0.982812518270238
"06_BSUC_p",2,NA,NA,NA
"06_ZHRD_p",2,NA,NA,NA
"06_ZHUA_p",4,0.484054380002609,0.174593141842499,0.933993365090948
"06_ZHUB_p",8,1.27397393959766,0.662476011348898,0.860262084194384
"06_ZHUC_p",2,NA,NA,NA
"07_BSRD_p",4,1.02974474394572,0.297794890549188,0.971987785940836
"07_BSUB_p",5,2.51862027335293,0.500667525043169,0.858194918310354
"07_ZHRE_p",2,NA,NA,NA
"07_ZHUB_p",2,NA,NA,NA
"08_2_BERD_p",1,NA,NA,NA
"08_BSRD_p",1,NA,NA,NA
"08_BSUA_p",2,NA,NA,NA
"08_BSUB_p",2,NA,NA,NA
"08_ZHRD_p",2,NA,NA,NA
"08_ZHRF_p",1,NA,NA,NA
"08_ZHUB_p",3,0.526390183848647,0.347631837684597,0.736282589962579
"09_2_BERD_p",3,0.905963860937044,0.329884415371364,0.953250132971405
"09_BEUC_p",2,NA,NA,NA
"09_BSRD_p",2,NA,NA,NA
"09_BSUB_p",4,0.988138999804934,0.266856280646758,0.696844244527469
"09_ZHRD_p",2,NA,NA,NA
"09_ZHRE_p",1,NA,NA,NA
"09_ZHUA_p",2,NA,NA,NA
"09_ZHUB_p",3,0.10007699684443,0.835125155878524,0.970942077599844
"09_ZHUC_p",3,0.228577303873948,0.270780186042556,0.925267389904874
"10_BEUA_p",1,NA,NA,NA
"10_BEUC_p",2,NA,NA,NA
"10_BSUB_p",1,NA,NA,NA
"10_BSUC_p",3,0.0139080267436738,0.0766290967726095,0.926598424405086
"10_ZHRD_p",1,NA,NA,NA
"10_ZHUA_p",5,1.47162412878958,0.440450670377779,0.839949724856135
"10_ZHUB_p",2,NA,NA,NA
"10_ZHUC_p",1,NA,NA,NA
"11_1_BERD_p",1,NA,NA,NA
"11_2_BERD_p",1,NA,NA,NA
"11_BEUA_p",3,0.190223973476403,0.160879871281262,0.989889742129304
"11_BEUB_p",3,0.0848263650523535,0.172093680006023,0.978892134826246
"11_BSRD_p",1,NA,NA,NA
"11_ZHRE_p",1,NA,NA,NA
"11_ZHUB_p",3,0.10007699684443,0.0911235437585174,0.949844641690125
"12_1_BERD_p",2,NA,NA,NA
"12_2_BERD_p",2,NA,NA,NA
"12_BEUC_p",2,NA,NA,NA
"12_BSUA_p",1,NA,NA,NA
"12_BSUB_p",4,2.07728974413737,0.168421772867212,0.793077707100082
"12_ZHRD_p",5,2.33497156615028,0.380018630281368,0.895718333087504
"12_ZHUA_p",5,0.695792793886832,0.372251800074636,0.967676914304265
