"","sp_richn","fdis","fmpd","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"01_1_BERD_l",1,0,NA,0.000277316525893153,0.463282455335456,-0.167045085081096,0.140663185670043,-0.0230162850976986,0.00874903793146375
"01_2_BERD_l",3,0.239997505627935,0.324895973375619,0.134758587485546,0.381506564722978,-0.146232186571799,0.0361901072109871,-0.0387618346501519,0.00192369487913786
"01_BEUA_l",9,0.348967916736546,0.365699595156858,0.0581497636485891,0.282155659578785,-0.0416448710792195,0.0459421480864466,-0.00985891810464475,-0.0034478508704767
"01_BEUB_l",5,0.33474699393504,0.396324007258935,0.0111013951725582,0.294100923751984,-0.0500291420944546,0.0400866109584045,-0.0186995108568343,-0.00158896553908242
"01_BEUC_l",9,0.398216225897363,0.430943128013385,0.124080164515153,0.341542987065893,-0.0414223581673738,0.0513721533795004,-0.027630524502618,0.0209087987472881
"01_BSRD_l",3,0.281923416844642,0.365930099968925,0.0724458749185657,0.309318755621092,-0.0949587680761607,0.0720795301123928,-0.0123809010519406,0.00667911597299738
"01_BSRE_l",8,0.441504950582292,0.486646010597895,0.161843000218394,0.393018340803774,-0.0416354774172458,0.0706764650498068,-0.0308334047464333,0.0149172784018718
"01_BSRF_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"01_BSUA_l",3,0.146645543049213,0.183714420072683,0.00299754972328237,0.377561326782746,-0.145117614830675,0.0933875080808116,-0.027698891506735,0.000986707401589453
"01_BSUB_l",5,0.293331737073009,0.344420864071322,0.0569989956092743,0.357982296423407,-0.113488282364888,0.0391372846179268,-0.0239147878371204,-0.00163027704981827
"01_BSUC_l",7,0.252869295151481,0.288261230853467,0.0721497734580222,0.344303013771624,-0.121774522105158,0.0318468858951687,-0.030556431331646,0.00936585962180051
"01_ZHRD_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"01_ZHRE_l",4,0.3173149377812,0.372716766621469,0.0712487445115921,0.368589745779969,-0.10664503320032,0.0532337162252647,-0.0180256146752228,-0.00112982878265835
"01_ZHRF_l",3,0.362933490980697,0.46812192940199,0.0922651169835921,0.351952132121762,-0.0896226837602404,0.0320342267213821,-0.0150033438618678,-0.00564813971582089
"01_ZHUA_l",9,0.344202561407824,0.368066116766191,0.072866655165608,0.268797855847024,-0.0109400273447607,0.0367751823504705,-0.0160622165642242,0.00991149325886146
"01_ZHUB_l",15,0.412010122929929,0.432208070954097,0.0956218965576004,0.330211363304006,-0.0312895109589216,0.00285605787092494,0.0311240565006993,0.0220864923701357
"01_ZHUC_l",4,0.309851793028757,0.342630703248867,0.00935705344724518,0.27162966064228,-0.0679619204267475,0.0720919874150525,-0.00341257612114498,0.00769663926271276
"02_1_BERD_l",2,0.435160266700763,0.6586121035125,0.0335160947652678,0.35562064585859,-0.0593692592043423,0.0273610946092339,-0.00622999038166375,-0.0272652816653835
"02_2_BERD_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"02_BEUA_l",4,0.239863533073588,0.302202535220438,0.0615188963255466,0.282990632824042,-0.099900704520092,0.0533939908235726,-0.0188325818481181,0.00405188025237002
"02_BEUB_l",11,0.333481393477606,0.347148318253517,0.0809361753789998,0.281471495258169,-0.0552277080973879,0.0289343650938534,-0.0198810010840901,-0.00269298381984218
"02_BEUC_l",9,0.276482633371542,0.288180073801545,0.0465038562099093,0.249737153985694,-0.0625223694211264,0.0542066199080062,-0.00745309229497197,-0.00569998290270197
"02_BSRD_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"02_BSRE_l",5,0.273575199136278,0.329207645525114,0.057102136718946,0.345051584275614,-0.10743516213833,0.0471204037473075,-0.0210180842016219,-0.00454666697483161
"02_BSRF_l",3,0.185929289464379,0.25812699795834,0.0713828552927742,0.382222970091033,-0.155895887593216,0.0463469527230551,-0.0302887545641396,0.018337756179053
"02_BSUA_l",5,0.237475979717261,0.274879392402203,0.0468697923677946,0.361595241197549,-0.108021447944367,0.0963518738861792,-0.00963652159392201,0.000420972862193649
"02_BSUB_l",4,0.3173149377812,0.372716766621469,0.0712487445115921,0.368589745779969,-0.10664503320032,0.0532337162252647,-0.0180256146752228,-0.00112982878265835
"02_BSUC_l",11,0.370145160141725,0.412618550591664,0.144696722264216,0.287166675441715,-0.0130651037743649,0.0458417174779256,-0.0134324339558345,0.00870895531024223
"02_ZHRD_l",6,0.282175773997084,0.320539357870803,0.126187459908737,0.226960528073481,-0.0444197171661681,0.033584625088133,-0.0114297153412363,0.00119508556349529
"02_ZHRE_l",3,0.362933490980697,0.46812192940199,0.0922651169835921,0.351952132121762,-0.0896226837602404,0.0320342267213821,-0.0150033438618678,-0.00564813971582089
"02_ZHRF_l",6,0.357607794736508,0.391517208480209,0.097899865785458,0.334879730799325,-0.0852998821401493,0.0180484030260665,-0.0207862046453302,0.000547919474141128
"02_ZHUA_l",2,0.108040914437798,0.163519189062873,0.108981394257916,0.381558845701347,-0.153920807196297,0.0791063378412955,-0.0298212389687818,0.0250056241000668
"02_ZHUB_l",4,0.299643823434992,0.353745227283634,0.117362065156307,0.365596170872742,-0.111193056825891,0.0585430315779365,0.000263935795054698,0.0198716296856556
"02_ZHUC_l",2,0.0353134154648163,0.0534466140896239,0.00423847181074263,0.440892521045022,-0.162378583300827,0.128747685203478,-0.0250543561064932,0.0105870709741465
"03_1_BERD_l",3,0.111469100408481,0.143918930450984,0.0727467016805753,0.408800048912717,-0.15829556649123,0.0996252871175448,-0.0275529210117541,0.0195867620438658
"03_2_BERD_l",1,0,NA,0.000277316525893153,0.463282455335456,-0.167045085081096,0.140663185670043,-0.0230162850976986,0.00874903793146375
"03_BEUA_l",1,0,NA,0.209763161420241,0.344615104648107,-0.150129532872037,0.0413804909456786,-0.0325500508222758,0.0375861441833043
"03_BEUB_l",6,0.342627973122167,0.391908576544849,0.102784255186077,0.384517909564638,-0.0851875146440161,0.0555044276863159,-0.0430883914893611,0.0281295250384945
"03_BEUC_l",6,0.30180091979093,0.338312757628843,0.0398125084021672,0.314092403844494,-0.0767700153515819,0.0749589176277904,-0.0177090645144891,0.0112371882099431
"03_BSRD_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"03_BSRE_l",3,0.362933490980697,0.46812192940199,0.0922651169835921,0.351952132121762,-0.0896226837602404,0.0320342267213821,-0.0150033438618678,-0.00564813971582089
"03_BSRF_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"03_BSUA_l",4,0.250446748300811,0.297423997095011,0.00496964271008527,0.301846572209889,-0.101760433732938,0.0726832510063958,-0.0179310126467371,-0.00290968496560059
"03_BSUB_l",3,0.111469100408481,0.143918930450984,0.0727467016805753,0.408800048912717,-0.15829556649123,0.0996252871175448,-0.0275529210117541,0.0195867620438658
"03_BSUC_l",11,0.399192437086429,0.430085543624585,0.0848485852862963,0.309987319323643,-0.0298583229972498,-0.0146152484701779,0.028692538172954,0.00352829215786028
"03_ZHRD_l",8,0.49365195418732,0.523507059197903,0.0528709303704681,0.39782565342304,-0.0278690016204746,-0.00397754884061148,0.0590418518018243,0.027061636535309
"03_ZHRE_l",4,0.360252698724258,0.43582849151132,0.0716350519697592,0.309799697468886,-0.0591293702333692,0.0421923963507039,-0.00246820258231461,-0.00385661014546433
"03_ZHRF_l",1,0,NA,0.0667548730046425,0.247958836381724,0.0483065666724113,-0.0859409964515757,0.0105563043343711,-0.0632796012622307
"03_ZHUA_l",6,0.251393902915453,0.277506579929121,0.0781048484390322,0.258348846295033,-0.0861616401108256,0.0391397418085953,-0.0146848016044125,0.00818331843117096
"03_ZHUB_l",4,0.464026727626627,0.546493527162857,0.00529779778575754,0.398482431318516,-0.0627754320312772,0.0336068476740851,0.0458531656365761,0.0182062070534624
"03_ZHUC_l",8,0.216003484728687,0.247217045666417,0.0329158048491177,0.31902015976338,-0.125837608144497,0.0324583150619583,-0.0255411593142953,0.0090775572952678
"04_1_BERD_l",3,0.270362251252894,0.351625055839083,0.0735117858515739,0.313153557207975,-0.0964560723085323,0.0767056667907309,-0.00950139369052929,0.018393915518925
"04_2_BERD_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"04_BEUB_l",1,0,NA,0.000277316525893153,0.463282455335456,-0.167045085081096,0.140663185670043,-0.0230162850976986,0.00874903793146375
"04_BEUC_l",6,0.353732858713128,0.391490490648397,0.0819053880383535,0.32527834699465,-0.0384080231157747,0.0774478468835974,0.00236751928556329,-0.0028931703319277
"04_BSRD_l",3,0.111469100408481,0.143918930450984,0.0727467016805753,0.408800048912717,-0.15829556649123,0.0996252871175448,-0.0275529210117541,0.0195867620438658
"04_BSRE_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"04_BSRF_l",4,0.292816732045013,0.346012547194381,0.0556784673449399,0.35181684220868,-0.108528911979093,0.0586890696975861,-0.020713255529151,0.00472928193587053
"04_BSUA_l",4,0.250446748300811,0.297423997095011,0.00496964271008527,0.301846572209889,-0.101760433732938,0.0726832510063958,-0.0179310126467371,-0.00290968496560059
"04_BSUB_l",8,0.381102705741817,0.41376031458689,0.163425066879711,0.294900515678134,-0.0127911230144053,0.0744725083021717,-0.0157757347840426,0.0110624075005125
"04_BSUC_l",8,0.469723166876071,0.516432120553676,0.192003094064756,0.396032878150335,-0.0388675480728811,0.029099514776776,-0.0574183669855651,0.00347782798312353
"04_ZHRD_l",7,0.339784485015921,0.363347688041803,0.0773989368236276,0.260672926898364,-0.0458836780506487,0.029219688213566,-0.00301851354011669,0.00687685558515434
"04_ZHRE_l",7,0.252931736787735,0.275748796646814,0.0606011674101146,0.303392275098438,-0.0938660648119639,0.0761926238276792,-0.0118294295763036,0.00431368051717662
"04_ZHRF_l",2,0.435160266700763,0.6586121035125,0.0335160947652678,0.35562064585859,-0.0593692592043423,0.0273610946092339,-0.00622999038166375,-0.0272652816653835
"04_ZHUA_l",8,0.285844043699373,0.319189014328831,0.0849613294776953,0.308223145257946,-0.0918430988764089,0.0407201324911902,-0.0273245931502847,0.00722417910273059
"04_ZHUB_l",8,0.40473529069949,0.439790614712644,0.0499655217953291,0.32004714379979,-0.0339477688733409,-0.0138539229916957,0.047711478081776,0.0137143918928718
"04_ZHUC_l",8,0.407801978617158,0.453599932903895,0.0601770815298713,0.337288325799092,-0.0482003639806053,0.027116339101396,0.0231774105791593,0.0171971681058927
"05_1_BERD_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"05_2_BERD_l",5,0.324327074082774,0.370713389851793,0.0589956838861667,0.250339066254977,-0.0416682667487188,0.028522481969423,-0.00293384054143784,-0.0114888771607002
"05_BEUB_l",9,0.299589828288562,0.328935522140184,0.0691007772870911,0.298426964814941,-0.074496502012756,0.0520551554605736,-0.0182437301332459,0.00810261430875151
"05_BEUC_l",9,0.349294676737403,0.376027996385013,0.0750784895384552,0.307167142032426,-0.0443267450912571,0.0521280164299503,-0.0183083102627377,0.00250077888719201
"05_BSRD_l",1,0,NA,0.000277316525893153,0.463282455335456,-0.167045085081096,0.140663185670043,-0.0230162850976986,0.00874903793146375
"05_BSRE_l",3,0.160767402680866,0.211006526929986,0.0701853944981652,0.352932166080586,-0.142590098614502,0.0682369434837336,-0.0295180994090643,0.00937372079041446
"05_BSRF_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"05_BSUA_l",4,0.250446748300811,0.297423997095011,0.00496964271008527,0.301846572209889,-0.101760433732938,0.0726832510063958,-0.0179310126467371,-0.00290968496560059
"05_BSUB_l",4,0.151083488349748,0.179037335417279,0.0546889526475219,0.369324771249086,-0.146370594341015,0.0803857537970283,-0.0289116813356202,0.0101365665970182
"05_BSUC_l",4,0.151083488349748,0.179037335417279,0.0546889526475219,0.369324771249086,-0.146370594341015,0.0803857537970283,-0.0289116813356202,0.0101365665970182
"05_ZHRD_l",1,0,NA,0.209763161420241,0.344615104648107,-0.150129532872037,0.0413804909456786,-0.0325500508222758,0.0375861441833043
"05_ZHRE_l",2,0.108040914437798,0.163519189062873,0.108981394257916,0.381558845701347,-0.153920807196297,0.0791063378412955,-0.0298212389687818,0.0250056241000668
"05_ZHRF_l",2,0.435160266700763,0.6586121035125,0.0335160947652678,0.35562064585859,-0.0593692592043423,0.0273610946092339,-0.00622999038166375,-0.0272652816653835
"05_ZHUA_l",10,0.27910387352719,0.311935894657302,0.0872828400759971,0.314649474944803,-0.101397286329413,0.0236345789181199,-0.0300788652533576,0.00528008347784822
"05_ZHUB_l",11,0.39558828073611,0.429079016378488,0.0420421977515096,0.3134600610526,-0.019073184716017,0.00979893933048361,0.0439769252892191,0.00730850560412951
"05_ZHUC_l",16,0.379693169562469,0.400509092860266,0.0829844418181693,0.304381894914522,-0.0388376922490636,-0.00684544115184045,0.0266794693691735,0.012847735661961
"06_BERD_l",2,0.141917379306796,0.214790988200454,0.105020238973067,0.403948779991782,-0.158587308976566,0.091021838307861,-0.0277831679599872,0.023167591057384
"06_BEUB_l",3,0.160767402680866,0.211006526929986,0.0701853944981652,0.352932166080586,-0.142590098614502,0.0682369434837336,-0.0295180994090643,0.00937372079041446
"06_BEUC_l",8,0.339592310118719,0.360683858774454,0.0981416120977373,0.333365638255636,-0.0600527948843095,0.0717238228355097,-0.0241034993012929,0.0126906448589912
"06_BSRD_l",8,0.444698746560584,0.487738611587762,0.196076265719173,0.395676839640901,-0.0420641906106213,0.0678161430437943,-0.0317619238493199,0.0244181402865357
