ID_location,LV95_x,LV95_y,Location,Habitat,Code,WGS_x,WGS_y
ZHUA,683164,247384,ZH,urban,A,47.37204309,8.539746453
ZHUB,681340,247725,ZH,urban,B,47.37533748,8.515661195
ZHUC,682522,248950,ZH,urban,C,47.38620746,8.531535934
ZHRD,702942,269676,ZH,rural,D,47.56971516,8.806708218
ZHRE,700982,273346,ZH,rural,E,47.60302133,8.781499269
ZHRF,704972,271726,ZH,rural,F,47.58782794,8.834165151
BSUA,609780,267046,BS,urban,A,47.55405721,7.568565357
BSUB,611070,268186,BS,urban,B,47.56428956,7.585731446
BSUC,612470,267106,BS,urban,C,47.55455128,7.604303828
BSRD,635920,263596,BS,rural,D,47.52212007,7.915553964
BSRE,635940,260596,BS,rural,E,47.49513782,7.915577594
BSRF,640550,262096,BS,rural,F,47.50836029,7.976889123
BEUA,600110,198881,BE,urban,A,46.94101546,7.440081918
BEUB,600870,200386,BE,urban,B,46.95455269,7.450066334
BEUC,601880,199086,BE,urban,C,46.94285683,7.463329239
BERD,584105,197261,BE,rural,D,46.92625312,7.229935692
