taxon,genus,family,vernacular_name,native_status,floral_unit_definition,sugar_per_floral_unit_ug,sugar_data_type,sugar_data_source,comments
Abelia x grandiflora,Abelia,Caprifoliaceae,glossy abelia,non-native,single flower,432.08,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Acer spp,Acer,Sapindaceae,maples,non-native,single flower,71.44,empirical,Baude et al. 2016,1 species in genus (Acer pseudoplatanus); 18 flowers measured (2 sites on 2 days)
Achillea millefolium,Achillea,Asteraceae,yarrow,native,single capitulum,34.62,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 32 floral units sampled (3 sites on 3 days); weighted mean used to combine datasets at FU level
Achillea ptarmica,Achillea,Asteraceae,sneezewort,native,single capitulum,34.62,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Achillea millefolium); 32 floral units sampled (3 sites on 3 days); weighted mean used to combine datasets at FU level
Aconitum napellus,Aconitum,Ranunculaceae,"monk's-hood, aconite, wolfsbane",native,single flower,1277.22,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Aegopodium podagraria,Aegopodium,Apiaceae,ground elder,non-native,secondary umbel,197.10,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Aethusa cynapium,Aethusa,Apiaceae,"fool's parsley, fool's cicely, poison parsley",native,secondary umbel,61.07,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day) and 10 FUs counted
Agapanthus sp,Agapanthus,Amaryllidaceae,"lily of the Nile, African lily",non-native,single flower,1161.54,empirical,Tew et al. (this study),a few varieties (3/4) in genus; 40 flowers measured (3 sites on 4 days); mean of all 40 flowers taken
Agrimonia eupatoria,Agrimonia,Rosaceae,common agrimony,native,single flower,1.37,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Agrostemma githago,Agrostemma,Caryophyllaceae,corn-cockle,non-native,single flower,403.50,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Ajuga reptans,Ajuga,Lamiaceae,bugle,native,single flower,155.06,empirical,Baude et al. 2016,same species; 10 flowers measured (2 sites on 2 days)
Alcea rosea,Alcea,Malvaceae,common hollyhock,non-native,single flower,2545.74,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Alchemilla mollis,Alchemilla,Rosaceae,lady's mantle,non-native,single flower,1.29,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Alliaria petiolata,Alliaria,Brassicaceae,garlic mustard,native,single flower,14.21,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Allium spp,Allium,Amaryllidaceae,"leek, onion, garlic, chives etc",non-native,single flower,235.10,empirical,Baude et al. 2016,2 species in genus (unweighted mean of Allium cepa and Allium schoenoprasum); 30 flowers measured (3 sites on 3 days)
Aloysia citrodora,Aloysia,Verbenaceae,lemon verbena,non-native,single flower,18.57,empirical,Tew et al. (this study),1 species in genus (Verbena bonariensis used given Aloysia citrodora is synonymous with Verbena triphylla); 30 flowers measured (2 sites on 2 days)
