City,Family,Genus,Sp2,Sp.merge,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil
Pa,Caprifoliaceae,Abelia,chinensis,Abelia chinensis,E,biotic,4,6,shrub,2,1,bell_trumpet,actinomorph,1,1,0
Pa,Caprifoliaceae,Abelia,parvifolia,Abelia parvifolia,E,biotic,6,6,shrub,1.75,1,bell_trumpet,actinomorph,1,1,0
Zu,Caprifoliaceae,Abelia,sp.,Abelia sp.,E,biotic,NA,NA,shrub,NA,NA,bell_trumpet,actinomorph,1,1,0
Pa,Caprifoliaceae,Abelia,triflora,Abelia triflora,E,biotic,6,6,shrub/tree,3.25,1,bell_trumpet,actinomorph,1,1,0
Zu,Caprifoliaceae,Abelia,x grandiflora,Abelia x grandiflora,E,biotic,5,6,shrub,0.9,1,bell_trumpet,actinomorph,1,1,0
Zu,Malvaceae,Abelmoschus,esculentus,Abelmoschus esculentus,E,biotic,2,6,herb,2,0,bell_trumpet,actinomorph,1,1,0
Pa,Malvaceae,Abelmoschus,moschatus,Abelmoschus moschatus,E,biotic,3,7,herb,0.5,0,bell_trumpet,actinomorph,1,1,0
Tartu,Pinaceae,Abies,lasiocarpa,Abies lasiocarpa,E,abiotic,2,4,tree,20,NA,NA,NA,NA,NA,NA
Pa,Malvaceae,Abutilon,megapotamicum,Abutilon megapotamicum,E,biotic,7,4,shrub,2,0,bell_trumpet,actinomorph,1,NA,0
Zu,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,E,biotic,3,8,herb,1.7,0,dish_bowl,actinomorph,1,NA,0
Zu,Fabaceae,Acacia,melanoxylon,Acacia melanoxylon,E,biotic,1,4,tree,13,1,brush,no_symmetry,1,1,0
Zu,Acanthaceae,Acanthus,hungaricus,Acanthus hungaricus,N,biotic,2,7,herb,1,1,gullet,sigomorph,1,1,0
Pa,Acanthaceae,Acanthus,mollis,Acanthus mollis,N,biotic,2,7,herb,2,1,gullet,sigomorph,1,1,0
Pa,Acanthaceae,Acanthus,spinosus,Acanthus spinosus,N,biotic,2,7,herb,1.5,1,gullet,sigomorph,1,1,0
Pa,Myrtaceae,Acca,sellowiana,Acca sellowiana,E,abiotic,NA,NA,shrub/tree,4,0,brush,no_symmetry,0,1,0
Zu,Sapindaceae,Acer,campestre,Acer campestre,N,mostly_without_flowers,1,5,tree,25,1,dish_bowl,actinomorph,1,1,0
Paris,Sapindaceae,Acer,macrophyllum,Acer macrophyllum,E,mostly_without_flowers,2,4,tree,17.5,1,dish_bowl,actinomorph,1,1,0
Zurich,Sapindaceae,Acer,palmatum,Acer palmatum,E,mostly_without_flowers,2,5,tree,8,1,dish_bowl,actinomorph,1,1,0
Zu,Sapindaceae,Acer,platanoides,Acer platanoides,N,mostly_without_flowers,1,4,tree,30,1,dish_bowl,actinomorph,1,1,0
Zu,Sapindaceae,Acer,pseudoplatanus,Acer pseudoplatanus,N,mostly_without_flowers,2,4,tree,40,1,dish_bowl,actinomorph,1,1,0
Zu,Sapindaceae,Acer,saccharinum,Acer saccharinum,E,mostly_without_flowers,2,3,tree,20,1,dish_bowl,actinomorph,1,1,0
Zu,Sapindaceae,Acer,tataricum,Acer tataricum,N,mostly_without_flowers,2,4,shrub/tree,5,1,dish_bowl,actinomorph,1,1,0
Zurich,Sapindaceae,Acer,velutinum,Acer velutinum,E,mostly_without_flowers,1,4,tree,40,1,dish_bowl,actinomorph,1,1,0
Pa,Asteraceae,Achillea,ageratum,Achillea ageratum,N,biotic,3,7,herb,0.6,1,dish_bowl,actinomorph,1,1,0
Pa,Asteraceae,Achillea,alpina,Achillea alpina,N,biotic,2,7,herb,0.8,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Achillea,atrata,Achillea atrata,N,biotic,3,7,herb,0.15,1,dish_bowl,actinomorph,1,1,0
Pa,Asteraceae,Achillea,clypeolata,Achillea clypeolata,N,biotic,2,6,herb,0.5,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Achillea,filipendulina,Achillea filipendulina,E,biotic,3,7,herb,1.9,1,dish_bowl,actinomorph,1,1,0
Pa,Asteraceae,Achillea,ligustica,Achillea ligustica,N,biotic,4,,herb,0.6,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Achillea,millefolium,Achillea millefolium,N,biotic,5,6,herb,1.2,1,dish_bowl,actinomorph,1,1,0
Pa,Asteraceae,Achillea,odorata,Achillea odorata,N,biotic,3,7,herb,,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Achillea,ptarmica,Achillea ptarmica,N,biotic,2,7,herb,1.5,1,dish_bowl,actinomorph,1,1,0
Pa,Asteraceae,Achillea,ptarmicifolia,Achillea ptarmicifolia,N,biotic,NA,NA,herb,0.6,1,dish_bowl,actinomorph,1,1,0
Pa,Asteraceae,Achillea,tomentosa,Achillea tomentosa,N,biotic,3,6,herb,0.15,1,dish_bowl,actinomorph,1,1,0
Zu,Lamiaceae,Acinos,arvensis,Acinos arvensis,N,biotic,4,6,herb,0.4,1,gullet,sigomorph,1,1,0
Pa,Ranunculaceae,Aconitum,ferox,Aconitum ferox,E,biotic,2,8,herb,1,1,dish_bowl,actinomorph,1,1,0
Pa,Ranunculaceae,Aconitum,lycoctonum,Aconitum lycoctonum,N,biotic,3,6,herb,1,1,dish_bowl,actinomorph,1,1,0
Zu,Ranunculaceae,Aconitum,napellus,Aconitum napellus,N,biotic,3,6,herb,1,1,dish_bowl,actinomorph,1,1,0
Zu,Ranunculaceae,Aconitum,vulparia,Aconitum vulparia,N,biotic,2,8,herb,1.2,1,dish_bowl,actinomorph,1,1,0
Zu,Ranunculaceae,Aconitum,x platanifolium,Aconitum x platanifolium,E,biotic,NA,NA,herb,1,1,dish_bowl,actinomorph,1,1,0
Zu,Campanulaceae,Adenophora,liliifolia,Adenophora liliifolia,E,biotic,1,7,herb,1,1,bell_trumpet,actinomorph,1,1,0
Zu,Asteraceae,Adenostyles,glabra,Adenostyles glabra,N,biotic,2,7,herb,0.55,1,brush,no_symmetry,NA,NA,NA
Zu,Ranunculaceae,Adonis,aestivalis,Adonis aestivalis,N,biotic,3,5,herb,0.3,0,dish_bowl,actinomorph,NA,NA,NA
Zu,Ranunculaceae,Adonis,amurensis,Adonis amurensis,E,biotic,3,2,herb,0.25,0,dish_bowl,actinomorph,NA,NA,NA
Pa,Ranunculaceae,Adonis,annua,Adonis annua,N,biotic,4,6,herb,0.35,0,dish_bowl,actinomorph,NA,NA,NA
Zu,Ranunculaceae,Adonis,vernalis,Adonis vernalis,N,biotic,2,4,herb,0.25,0,dish_bowl,actinomorph,NA,NA,NA
Ta,Lamiaceae,Aegiphila,bogotensis,Aegiphila bogotensis,E,biotic,NA,NA,tree,7,1,stalk_disk,actinomorph,NA,NA,NA
Zu,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,N,biotic,5,5,herb,1,1,dish_bowl,actinomorph,1,1,0
Pa,NA,Aerobium,sp.,Aerobium sp.,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Antwerp,Sapindaceae,Aesculus,glabra,Aesculus glabra,E,biotic,2,4,tree,1.5,1,flag,sigomorph,1,1,0
Zu,Hippocastanaceae,Aesculus,hippocastanum,Aesculus hippocastanum,N,biotic,2,4,tree,30,1,flag,sigomorph,1,1,0
