plant species,plant family,plant genus,additional information,community studied,literature source 1,link 1,literature source 2,link 2,literature source 3,link 3,reference,class,subclass,order,alliance,suballiance,community,continent/region,country,location name,decimal longitude,absolute latitude,decimal latitude,altitude [meters above sea level],year of the  data collection,mean yearly air temperature in degrees Celsius,January - mean monthly temp. [degrees Celsius],February - mean monthly temp. [degrees Celsius],March - mean monthly temp. [degrees Celsius],April - mean monthly temp. [degrees Celsius],May - mean monthly temp. [degrees Celsius],June - mean monthly temp. [degrees Celsius],July - mean monthly temp. [degrees Celsius],August - mean monthly temp. [degrees Celsius],September - mean monthly temp. [degrees Celsius],October - mean monthly temp. [degrees Celsius],November - mean monthly temp. [degrees Celsius],December - mean monthly temp. [degrees Celsius],total yearly  pecipitation in mm,January - total precipitation,February - total precipitation,March - total precipitation,April - total precipitation,May - total precipitation,June - total precipitation,July - total precipitation,August - total precipitation,September - total precipitation,October - total precipitation,November - total precipitation,December - total precipitation,flowering start,flowering end,flowering peak,flowering peak 2 (if occured),flowering lenght,total number of plants per m^2,total number of trees examined,total number of flowers per m^2,total number of inflorescenses per m^2,total number of flowers per m^2 of crown surface,total number of inflorescenses per m^2 of crown surface,total number of flowers per a single tree,total number of flowers per plant,total number of inflorescenses per a single tree,total number of inflorescenses per plant,tree age,mean number of flowering flowers per m^2 per day,peak number of flowering flowers per m^2,flower longevity [days],total nectar in µg per flower,total nectar in µL per flower,nectar in µg/flower/day ,nectar in µL/flower/day ,nectar in µg/inflorescence/day ,sugar concentration % in nectar,total sugar in µg per flower,sugar in µg/flower/day,total sugar in mg per inflorescence,sugar in µg/inflorescence/day,sugar yield in kg/ha per 1 year,sugar yield in g per tree per 1 year,sugar yield in g per 1 m^3 of the tree crown,honey yield in kg/ha per 1 year,honey yield from 1 flower in mg per 1 year,honey yield in g per 1 m^3 of the tree crown,honey yield in kg/tree per 1 year,total pollen yield per 1 year in kg/ha,total pollen yield per 1 year in kg per a single tree,total pollen yield per 1 year in number of grains per a single tree,total pollen in µg/flower,total pollen in µL/flower,total pollen per flower (the number of grains),total pollen in µg/inflorescence,total pollen in µL/inflorescence,total pollen in µg/plant/year,total pollen in number of grains per inflorescence,pollen in µg/flower/day ,pollen in µL/flower/day ,pollen in µL/inflorescence/day ,yearly pollen yield in number of grains per m^2 of the  crown,yearly pollen yield in g per 1 m^3 of the tree crown
Abies alba,Pinaceae,Abies,,natural phytocenosis (forest),Łukaszewicz et al. 2020,https://doi.org/10.26202/sylwan.2020061,,,,,"Łukaszewicz J, Zajączkowski G, Gil W, et al. 2020. Zmiany składu gatunkowego i struktury drzewostanów w Roztoczańskim Parku Narodowym w okresie 2007?2017 [Changes in the species composition and structure of forest stands in the Roztocze National Park in the years 2007?2017]. Sylwan 164: 683–94.",,,,,,,Europe,Poland,Roztocze National Park / active protection zone,23.02,50.6,50.6,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies alba,Pinaceae,Abies,,natural phytocenosis (forest),Łukaszewicz et al. 2020,https://doi.org/10.26202/sylwan.2020061,,,,,"Łukaszewicz J, Zajączkowski G, Gil W, et al. 2020. Zmiany składu gatunkowego i struktury drzewostanów w Roztoczańskim Parku Narodowym w okresie 2007?2017 [Changes in the species composition and structure of forest stands in the Roztocze National Park in the years 2007?2017]. Sylwan 164: 683–94.",,,,,,,Europe,Poland,Roztocze National Park / active protection zone,23.02,50.6,50.6,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies alba,Pinaceae,Abies,,natural phytocenosis (forest),Łukaszewicz et al. 2020,https://doi.org/10.26202/sylwan.2020061,,,,,"Łukaszewicz J, Zajączkowski G, Gil W, et al. 2020. Zmiany składu gatunkowego i struktury drzewostanów w Roztoczańskim Parku Narodowym w okresie 2007?2017 [Changes in the species composition and structure of forest stands in the Roztocze National Park in the years 2007?2017]. Sylwan 164: 683–94.",,,,,,,Europe,Poland,Roztocze National Park / strict protection zone,23.02,50.6,50.6,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies alba,Pinaceae,Abies,,natural phytocenosis (forest),Łukaszewicz et al. 2020,https://doi.org/10.26202/sylwan.2020061,,,,,"Łukaszewicz J, Zajączkowski G, Gil W, et al. 2020. Zmiany składu gatunkowego i struktury drzewostanów w Roztoczańskim Parku Narodowym w okresie 2007?2017 [Changes in the species composition and structure of forest stands in the Roztocze National Park in the years 2007?2017]. Sylwan 164: 683–94.",,,,,,,Europe,Poland,Roztocze National Park / strict protection zone,23.02,50.6,50.6,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies grandis,Pinaceae,Abies,,urban green area,Greenfield 1996,https://bts.nzpcn.org.nz/articles/plant-pollen-production-in-selected-tree-species/,,,,,"Greenfield, L., 1996. Plant pollen production in selected tree species. Canterbury Botanical Society Journal. 31, pp. 10-13.",,,,,,,New Zealand,New Zealand,"Christchurch, Canterbury",172.67,43.53,-43.53,,1989-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000000,,,,,,
Abromeitiella brevifolia,Bromeliaceae,Abromeitiella,,natural phytocenosis (various or unknown phytocenoses),Galetto & Bernardello 1992,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1438-8677.1992.tb00301.x,,,,,"Galetto, L., Bernardello, L. 1992. Nectar secretion pattern and removal effects in six Argentinean Pitcairnioideae (Bromeliaceae). Botanica Acta. 105, pp. 292-299.",,,,,,,South America,Argentina,"Cafayate, Salta Province",-65.94,26.09,-26.09,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,13,,,,41.3,5680,,,,,,,,,,,,,,,,,,,,,,,,,
Abromeitiella lorentziana,Bromeliaceae,Abromeitiella,,natural phytocenosis (various or unknown phytocenoses),Galetto & Bernardello 1992,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1438-8677.1992.tb00301.x,,,,,"Galetto, L., Bernardello, L. 1992. Nectar secretion pattern and removal effects in six Argentinean Pitcairnioideae (Bromeliaceae). Botanica Acta. 105, pp. 292-299.",,,,,,,South America,Argentina,"Chilecito, La Rioja",-67.51,29.1,-29.1,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,15.4,,,,45.8,8560,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia asak,Fabaceae,Acacia,,natural phytocenosis (forest),Adgaba et al. 2017,http://dx.doi.org/10.1016/j.sjbs.2016.05.002,,,,,"Adgaba, N., Al-Ghamdi, A., Tadesse, Y., Getachew, A., Awad, A. M., Ansari, M. J., Owayss, A. A., Mohammed, A. E. A., Alqarni, A. S. 2017. Nectar secretion dynamics and honey production potentials of some major honey plants in Saudi Arabia. Saudi Journal of Biological Sciences. 24, pp. 180-191.",,,,,,,Asia,Saudi Arabia,Wadi-Alkhitan,42,20,20,1100,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,213,324,,,112,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,
Acacia ehrenbergiana,Fabaceae,Acacia,,natural phytocenosis (forest),Adgaba et al. 2017,http://dx.doi.org/10.1016/j.sjbs.2016.05.002,,,,,"Adgaba, N., Al-Ghamdi, A., Tadesse, Y., Getachew, A., Awad, A. M., Ansari, M. J., Owayss, A. A., Mohammed, A. E. A., Alqarni, A. S. 2017. Nectar secretion dynamics and honey production potentials of some major honey plants in Saudi Arabia. Saudi Journal of Biological Sciences. 24, pp. 180-191.",,,,,,,Asia,Saudi Arabia,Wadi-Alkhitan,42,20,20,1100,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,32,150,,,119,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,443,,,,,,,,,,,,,,,,,,
Acacia etbaica,Fabaceae,Acacia,,natural phytocenosis (forest),Adgaba et al. 2017,http://dx.doi.org/10.1016/j.sjbs.2016.05.002,,,,,"Adgaba, N., Al-Ghamdi, A., Tadesse, Y., Getachew, A., Awad, A. M., Ansari, M. J., Owayss, A. A., Mohammed, A. E. A., Alqarni, A. S. 2017. Nectar secretion dynamics and honey production potentials of some major honey plants in Saudi Arabia. Saudi Journal of Biological Sciences. 24, pp. 180-191.",,,,,,,Asia,Saudi Arabia,Wadi-Berha,42,20,20,1750,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,121,303,,,153,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,
