gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3966408640	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/141034403	Animalia	Arthropoda	Arachnida	Araneae	Zoropsidae	Zoropsis	Zoropsis spinimana		SPECIES	Zoropsis spinimana (Dufour, 1820)	Zoropsis spinimana		CH		Basel-Stadt	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.564656	7.576042	180.0						2022-11-03T22:16:00	3	11	2022	2153287	2153287	HUMAN_OBSERVATION	iNaturalist	Observations	141034403		Paolo Soldani	2022-11-05T14:10:16	CC_BY_NC_4_0	chestnutsrainbowsspringtime	chestnutsrainbowsspringtime			2022-11-17T17:01:56.134Z	StillImage	COORDINATE_ROUNDED
3966384477	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/126442472	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	Fagus sylvatica		SPECIES	Fagus sylvatica L.	Fagus sylvatica		CH		Basel-Stadt	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.558761	7.581558	5.0						2022-07-15T09:04:00	15	7	2022	2882316	2882316	HUMAN_OBSERVATION	iNaturalist	Observations	126442472		chestnutsrainbowsspringtime	2022-07-16T06:22:24	CC_BY_NC_4_0	chestnutsrainbowsspringtime	chestnutsrainbowsspringtime			2022-11-17T17:01:13.017Z	StillImage	COORDINATE_ROUNDED
3963573173	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/141293384	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	Passer domesticus	domesticus	SUBSPECIES	Passer domesticus domesticus	Passer domesticus domesticus		CH		Basel-Stadt	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.564768	7.587485	31.0						2022-10-23T10:00:00	23	10	2022	5231191	5231190	HUMAN_OBSERVATION	iNaturalist	Observations	141293384		dbogosian	2022-11-06T19:14:16	CC_BY_NC_4_0	dbogosian	dbogosian			2022-11-17T17:02:11.176Z	StillImage	COORDINATE_ROUNDED
3962001686	b087c908-e2fb-413e-b107-c507b212169f	GBIFCH00733774	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Hippodamia	Hippodamia variegata		SPECIES	Hippodamia variegata (Goeze, 1777)	Hippodamia variegata (Goeze, 1777)	(Goeze, 1777)	CH	Helvetia, Basel, St. Rheinufer	Bs	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	47.56712	7.57815	10000.0						1976-09-01T00:00:00	1	9	1976	1043082	1043082	PRESERVED_SPECIMEN	ETHZ	Stankowski Bert (Engelbert)	CSCF-COL-1094279		Sanchez Andreas		CC_BY_4_0	Info Fauna - Centre Suisse de Cartographie de la Faune	Anonymous			2022-11-07T13:27:51.004Z		COLLECTION_MATCH_NONE
3961998654	b087c908-e2fb-413e-b107-c507b212169f	GBIFCH00733794	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Hippodamia	Hippodamia variegata		SPECIES	Hippodamia variegata (Goeze, 1777)	Hippodamia variegata (Goeze, 1777)	(Goeze, 1777)	CH	Helvetia, Basel, St. Rheinufer	Bs	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	47.56712	7.57815	10000.0						1976-09-01T00:00:00	1	9	1976	1043082	1043082	PRESERVED_SPECIMEN	ETHZ	Stankowski Bert (Engelbert)	CSCF-COL-1094281		Sanchez Andreas		CC_BY_4_0	Info Fauna - Centre Suisse de Cartographie de la Faune	Anonymous			2022-11-07T13:27:46.186Z		COLLECTION_MATCH_NONE
3961997638	b087c908-e2fb-413e-b107-c507b212169f	GBIFCH00733790	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Hippodamia	Hippodamia variegata		SPECIES	Hippodamia variegata (Goeze, 1777)	Hippodamia variegata (Goeze, 1777)	(Goeze, 1777)	CH	Helvetia, Basel, St. Rheinufer	Bs	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	47.56712	7.57815	10000.0						1976-09-01T00:00:00	1	9	1976	1043082	1043082	PRESERVED_SPECIMEN	ETHZ	Stankowski Bert (Engelbert)	CSCF-COL-1094280		Sanchez Andreas		CC_BY_4_0	Info Fauna - Centre Suisse de Cartographie de la Faune	Anonymous			2022-11-07T13:27:51Z		COLLECTION_MATCH_NONE
3960315793	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10565646909	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys recta		SPECIES	Stachys recta L.	Stachys recta L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.561232	7.585308	12.0		335.29	0.0			2022-04-27T09:48:04.748	27	4	2022	2927298	2927298	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:50:40.646Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960294598	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10615844510	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium	Echium vulgare		SPECIES	Echium vulgare L.	Echium vulgare L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.569993	7.580627	32.0		375.54	0.0			2022-06-08T13:54:41.004	8	6	2022	2925892	2925892	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:49:30.343Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960265495	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10535722729	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus lusitanica		SPECIES	Prunus lusitanica L.	Prunus lusitanica L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.562222	7.579444	14.0		318.0	0.0			2022-03-11T14:02:17.574	11	3	2022	3020871	3020871	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:49:20.272Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960135804	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10459138826	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Plumbaginaceae	Ceratostigma	Ceratostigma plumbaginoides		SPECIES	Ceratostigma plumbaginoides Bunge	Ceratostigma plumbaginoides Bunge	Bunge	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.561474	7.583434	64.0		263.76	0.0			2021-08-22T12:49:21.85	22	8	2021	3082279	3082279	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:49:08.224Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
