gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3959405491,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10632013607,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea ptarmica,,SPECIES,Achillea ptarmica L.,Achillea ptarmica L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.497596,7.909806,48,,585,0,,,2022-06-24T17:35:59.857,24,6,2022,3120333,3120333,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:26.832Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959378891,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10313259788,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tussilago,Tussilago farfara,,SPECIES,Tussilago farfara L.,Tussilago farfara L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.494836,7.910961,16,,535.29,0,,,2021-03-25T08:44:59.551,25,3,2021,3149879,3149879,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:13.194Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3957902045,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10554067447,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Aesculus hippocastanum,,SPECIES,Aesculus hippocastanum L.,Aesculus hippocastanum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.494,7.924,164,,458.55,0,,,2022-04-15T08:16:06.46,15,4,2022,3189815,3189815,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:28.503Z,,COUNTRY_DERIVED_FROM_COORDINATES
3957203530,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10355001857,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tragopogon,Tragopogon pratensis,,SPECIES,Tragopogon pratensis L.,Tragopogon pratensis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.498648,7.911889,12,,592.48,0,,,2021-05-16T09:37:42.288,16,5,2021,5386897,5386897,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:01.273Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3953307843,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10349275148,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,Viburnum lantana,,SPECIES,Viburnum lantana L.,Viburnum lantana L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.494734,7.926086,65,,452.37,0,,,2021-05-11T07:02:22.616,11,5,2021,2888615,2888615,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:18.078Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3952374050,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10517886686,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Helleborus,Helleborus foetidus,,SPECIES,Helleborus foetidus L.,Helleborus foetidus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.500204,7.916234,16,,575.69,0,,,2022-01-02T12:40:51.548,2,1,2022,6375040,6375040,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:34.530Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3409523613,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-10602901,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron annuus,,SPECIES,Erigeron annuus (L.) Desf,Erigeron annuus (L.) Desf.,(L.) Desf.,CH,,Ag,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.49046,7.90913,15,,556.5,5.5,,,2021-07-30T00:00:00,30,7,2021,8392258,3117449,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-10602901,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:42:37.269Z,,
3321427871,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-10371527,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron annuus,,SPECIES,Erigeron annuus (L.) Desf,Erigeron annuus (L.) Desf.,(L.) Desf.,CH,,Ag,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.49046,7.90913,15,,556.5,5.5,,,2021-06-15T00:00:00,15,6,2021,8392258,3117449,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-10371527,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:42:55.622Z,,
2977324751,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10152370775,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tragopogon,Tragopogon pratensis,,SPECIES,Tragopogon pratensis L.,Tragopogon pratensis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.501681,7.915833,32,,556.65,0,,,2020-04-26T07:31:07.122,26,4,2020,5386897,5386897,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:01.309Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
2977103124,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10188523771,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Reseda,Reseda lutea,,SPECIES,Reseda lutea L.,Reseda lutea L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.495049,7.917636,,,,,,,2020-06-08T06:10:20.681,8,6,2020,3040252,3040252,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:06.265Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
