gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960289598,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10423288951,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Filipendula,Filipendula ulmaria,,SPECIES,Filipendula ulmaria (L.) Maxim.,Filipendula ulmaria (L.) Maxim.,(L.) Maxim.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.477562,7.912368,5,,541.13,0,,,10.07.21 09:42,10,7,2021,2987999,2987999,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:45,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960283377,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10459017505,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Saponaria,Saponaria officinalis,,SPECIES,Saponaria officinalis L.,Saponaria officinalis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.513538,7.91026,8,,523.53,0,,,22.08.21 10:57,22,8,2021,3085360,3085360,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:59,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960207730,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10393600818,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Aruncus,Aruncus dioicus,,SPECIES,Aruncus dioicus (Walter) Fernald,Aruncus dioicus (Walter) Fernald,(Walter) Fernald,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.505706,7.912066,10,,485.04,0,,,16.06.21 18:48,16,6,2021,5362136,5362136,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:45,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960075670,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10577813649,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Phyteuma,Phyteuma spicatum,,SPECIES,Phyteuma spicatum L.,Phyteuma spicatum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.508175,7.926544,57,,,,,,08.05.22 08:28,8,5,2022,3166841,3166841,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960067619,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10594047701,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Melittis,Melittis melissophyllum,,SPECIES,Melittis melissophyllum L.,Melittis melissophyllum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.511825,7.926683,5,,479.51,0,,,21.05.22 15:53,21,5,2022,8105693,8105693,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960013506,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10586396013,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,Alliaria petiolata,,SPECIES,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,(M.Bieb.) Cavara & Grande,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.490568,7.946483,24,,727,0,,,15.05.22 07:49,15,5,2022,5376075,5376075,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960007426,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10558440951,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Glechoma,Glechoma hederacea,,SPECIES,Glechoma hederacea L.,Glechoma hederacea L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.48946,7.892003,8,,567.76,0,,,19.04.22 09:32,19,4,2022,2926557,2926557,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:47,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959995778,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10405053452,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene vulgaris,,SPECIES,Silene vulgaris (Moench) Garcke,Silene vulgaris (Moench) Garcke,(Moench) Garcke,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.488665,7.945166,6,,671.35,0,,,25.06.21 07:27,25,6,2021,9172281,9172281,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:00,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959961497,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10347165134,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Aegopodium,Aegopodium podagraria,,SPECIES,Aegopodium podagraria L.,Aegopodium podagraria L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.50897,7.915853,6,,475.71,0,,,09.05.21 11:17,9,5,2021,3034620,3034620,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:58,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959936833,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10346028779,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Vinca,Vinca minor,,SPECIES,Vinca minor L.,Vinca minor L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.489336,7.936243,,,619.75,0,,,08.05.21 14:13,8,5,2021,3169707,3169707,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:57,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
