gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960383121,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10652320309,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Vitex,Vitex agnus-castus,,SPECIES,Vitex agnus-castus L.,Vitex agnus-castus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.556736,7.572974,4,,325.3,0,,,2022-07-17T19:17:06.213,17,7,2022,2925562,2925562,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:40.740Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960363856,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10619366245,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,Geranium nodosum,,SPECIES,Geranium nodosum L.,Geranium nodosum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.558611,7.56788,28,,277.4,0,,,2022-06-11T18:19:42.284,11,6,2022,2890287,2890287,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:25.672Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960315534,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10564690525,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tragopogon,Tragopogon dubius,,SPECIES,Tragopogon dubius Scop.,Tragopogon dubius Scop.,Scop.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.550807,7.57079,10,,281.9,0,,,2022-04-26T08:28:18.627,26,4,2022,6443709,6443709,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:31.840Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960302024,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10556397218,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Cotinus,Cotinus coggygria,,SPECIES,Cotinus coggygria Scop.,Cotinus coggygria Scop.,Scop.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.548017,7.572707,10,,283.31,0,,,2022-04-17T13:20:46.259,17,4,2022,3190522,3190522,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:30.779Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960270020,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10485707007,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago canadensis,,SPECIES,Solidago canadensis L.,Solidago canadensis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.553103,7.565994,6,,338.58,0,,,2021-10-01T16:14:13.242,1,10,2021,5389029,5389029,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:20.767Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960200981,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10437677505,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,Phytolacca acinosa,,SPECIES,Phytolacca acinosa Roxb.,Phytolacca acinosa Roxb.,Roxb.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.550237,7.566702,65,,261.89,0,,,2021-07-26T15:18:57.776,26,7,2021,3084022,3084022,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:20.447Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960192407,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10386010259,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Vinca,Vinca minor,,SPECIES,Vinca minor L.,Vinca minor L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.549913,7.569007,48,,258.14,0,,,2021-06-11T19:16:18.785,11,6,2021,3169707,3169707,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:27.905Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960131699,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10584411878,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lapsana,Lapsana communis,,SPECIES,Lapsana communis L.,Lapsana communis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.553995,7.571277,10,,278.47,0,,,2022-05-13T15:55:51.143,13,5,2022,3134857,3134857,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:33.515Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960089510,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10569972416,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Paulowniaceae,Paulownia,Paulownia tomentosa,,SPECIES,Paulownia tomentosa (Thunb.) Steud.,Paulownia tomentosa Steud.,Steud.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.549144,7.575639,16,,277.11,0,,,2022-05-01T10:37:47.539,1,5,2022,3170823,3170823,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:42.574Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960027987,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10374201869,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,Viburnum rhytidophyllum,,SPECIES,Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.,Viburnum rhytidophyllum Hemsl. ex F.B.Forbes & Hemsl.,Hemsl. ex F.B.Forbes & Hemsl.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.555307,7.567718,51,,323.47,0,,,2021-06-01T13:31:18.628,1,6,2021,2888625,2888625,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:07.339Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
