gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960078620,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10642356091,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium oleraceum,,SPECIES,Cirsium oleraceum (L.) Scop.,Cirsium oleraceum (L.) Scop.,(L.) Scop.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.604611,8.773533,19,,424.89,0,,,2022-07-06T08:58:08.026,6,7,2022,3113650,3113650,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:58.598Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959923553,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10484907622,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium vulgare,,SPECIES,Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten.,(Savi) Ten.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.595893,8.781865,65,,444.44,0,,,2021-09-30T08:16:48.314,30,9,2021,3112801,3112801,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:24.734Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958299213,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10585250007,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Melittis,Melittis melissophyllum,,SPECIES,Melittis melissophyllum L.,Melittis melissophyllum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.603813,8.775783,5600,,440.74,0,,,2022-05-14T11:28:14.192,14,5,2022,8105693,8105693,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:50.546Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956563173,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10388428846,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus excelsior,,SPECIES,Fraxinus excelsior L.,Fraxinus excelsior L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.607495,8.787005,7,,478.65,0,,,2021-06-13T08:36:49.921,13,6,2021,3172358,3172358,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:08.786Z,,COUNTRY_DERIVED_FROM_COORDINATES
3956467334,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10089364083,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Helleborus,Helleborus niger,,SPECIES,Helleborus niger L.,Helleborus niger L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.595993,8.78215,65,,442.38,0,,,2019-06-23T16:08:42.178,23,6,2019,3033107,3033107,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:49.360Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956139423,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10089364487,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Helleborus,Helleborus niger,,SPECIES,Helleborus niger L.,Helleborus niger L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.595979,8.782044,65,,441.48,0,,,2019-06-23T16:09:21.776,23,6,2019,3033107,3033107,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:48:33.102Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3955653386,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10388439038,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Clinopodium,Clinopodium vulgare,,SPECIES,Clinopodium vulgare L.,Clinopodium vulgare L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.597828,8.784511,,,,,,,2021-06-13T08:42:35.131,13,6,2021,2926945,2926945,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:06.297Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3955004160,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10550584816,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus vernus,,SPECIES,Lathyrus vernus (L.) Bernh.,Lathyrus vernus (L.) Bernh.,(L.) Bernh.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.598112,8.783064,4,,571,0,,,2022-04-10T11:19:23.655,10,4,2022,5356704,5356704,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:22.317Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3954692409,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10550617344,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,Primula veris,,SPECIES,Primula veris L.,Primula veris L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.59624,8.780932,6,,497.66,0,,,2022-04-10T11:50:57.601,10,4,2022,8377689,8377689,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:25.081Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3954201011,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10578419257,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium odoratum,,SPECIES,Galium odoratum (L.) Scop.,Galium odoratum (L.) Scop.,(L.) Scop.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.598205,8.783986,27,,566.45,0,,,2022-05-08T13:11:59.976,8,5,2022,2914642,2914642,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:40.706Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
