gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960347588,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10605098486,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,,,GENUS,Dipsacus L.,Dipsacus fullonum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.372955,8.507524,16,,440,0,,,2022-05-30T09:12:48.853,30,5,2022,2888813,,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:32.754Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK
3960292419,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10644026358,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,Gentiana lutea,,SPECIES,Gentiana lutea L.,Gentiana lutea L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.376301,8.516286,91,,411.99,0,,,2022-07-08T10:44:45.708,8,7,2022,3170040,3170040,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:51.676Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960030583,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10604970341,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus cerasifera,,SPECIES,Prunus cerasifera Ehrh.,Prunus cerasifera Ehrh.,Ehrh.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.37199,8.509428,48,,415.49,0,,,2022-05-30T06:18:51.889,30,5,2022,3021730,3021730,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:28.987Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959986944,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10570760702,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus ornus,,SPECIES,Fraxinus ornus L.,Fraxinus ornus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.376164,8.505836,39,,529,0,,,2022-05-01T16:12:24.4,1,5,2022,3172347,3172347,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:29.265Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959947180,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10496009042,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,Teucrium chamaedrys,,SPECIES,Teucrium chamaedrys L.,Teucrium chamaedrys L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.377957,8.507421,15,,412.59,0,,,2021-10-22T09:26:58.439,22,10,2021,6411747,6411747,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:34.630Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959944447,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10597033951,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago sativa,,SPECIES,Medicago sativa L.,Medicago sativa L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.376548,8.516467,10,,492,0,,,2022-05-23T17:19:09.736,23,5,2022,9151957,9151957,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:46.028Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959861921,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10413276537,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Convallaria,Convallaria majalis,,SPECIES,Convallaria majalis L.,Convallaria majalis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.379921,8.511209,65,,407.73,0,,,2021-07-01T20:51:14.182,1,7,2021,7459480,7459480,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:14.045Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959794964,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10535681225,Plantae,Tracheophyta,Magnoliopsida,Buxales,Buxaceae,Buxus,Buxus sempervirens,,SPECIES,Buxus sempervirens L.,Buxus sempervirens L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.373508,8.521844,10,,422.3,0,,,2022-03-11T12:03:31.952,11,3,2022,2984671,2984671,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:19.261Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959582830,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10336089106,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia nummularia,,SPECIES,Lysimachia nummularia L.,Lysimachia nummularia L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.372888,8.510646,65,,413.88,0,,,2021-04-27T14:45:24.929,27,4,2021,3169379,3169379,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:48:57.337Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959504288,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10530938048,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Helleborus,Helleborus foetidus,,SPECIES,Helleborus foetidus L.,Helleborus foetidus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.373222,8.505568,11,,419.1,0,,,2022-02-25T08:32:24.839,25,2,2022,6375040,6375040,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:22.865Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
