Taxon_Id,Species,?,Years (min),Years (max)
50009,Chara globularis Thuill.,1,2015,2015
50092,Chara globularis aggr.,1,2015,2015
1019309,Festuca ovina superaggr.,3,1982,2020
1000000,Abies alba Mill.,7,1982,2022
1000020,Abutilon theophrasti Medik.,1,2020,2020
1000070,Acer campestre L.,8,1982,2020
1000120,Acer platanoides L.,5,1982,2020
1000130,Acer pseudoplatanus L.,15,1982,2020
1000330,Achillea millefolium L.,8,1982,2021
1000320,Achillea millefolium aggr.,19,1982,2021
1000543,Aconitum lycoctonum L.,1,1970,1982
1000548,Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman,1,1970,1982
1000730,Actaea spicata L.,1,1969,1982
1000880,Adoxa moschatellina L.,5,1982,2020
1000930,Aegopodium podagraria L.,20,1982,2021
1000940,Aesculus hippocastanum L.,1,2014,2014
1000990,Aethusa cynapium L.,5,1982,2020
1001010,Agrimonia eupatoria L.,7,1982,2018
1001050,Agrostemma githago L.,1,1966,2020
1001080,Agrostis capillaris L.,2,1982,2018
1001090,Agrostis gigantea Roth,2,2005,2010
1001130,Agrostis stolonifera L.,18,1982,2020
1001230,Ajuga reptans L.,21,1982,2020
1001270,Alcea rosea L.,1,2010,2010
1001740,Alchemilla glabra aggr.,1,1930,1982
1002440,Alchemilla vulgaris aggr.,2,2005,2018
1002510,Alisma plantago-aquatica L.,2,1982,2020
1002520,Alliaria petiolata (M. Bieb.) Cavara & Grande,16,1982,2021
1002680,Allium oleraceum L.,1,1982,2020
1002790,Allium ursinum L.,4,1982,2020
1002810,Allium vineale L.,1,2020,2020
1002840,Alnus glutinosa (L.) Gaertn.,1,1982,2014
1002850,Alnus incana (L.) Moench,6,1982,1996
1002910,Alopecurus myosuroides Huds.,0,1982,1982
1002920,Alopecurus pratensis L.,19,1982,2020
1003085,Amaranthus blitum aggr.,2,1982,2020
1003170,Amaranthus hybridus aggr.,5,1982,2020
1003220,Amaranthus retroflexus L.,2,1982,2015
1003300,Ammi majus L.,1,2020,2020
1003350,Anacamptis pyramidalis (L.) Rich.,1,2020,2020
1003380,Anagallis arvensis L.,2,1982,2020
