Taxon_Id,Species,?,Years (min),Years (max)
1001330,Alchemilla alpina superaggr.,1,2019,2019
1002860,Alnus glutinosa × incana,1,2012,2012
1002980,Aurinia sinuata (L.) Griseb.,1,2014,2014
1008255,Camelina sativa var. pilosa DC.,0,1966,1966
1010600,Carthamus tinctorius L.,1,2016,2016
1010746,Celastrus orbiculatus Thunb.,1,2015,2015
50002,Chara aspera Willd.,1,2019,2019
50005,Chara contraria Kütz.,1,2019,2019
50008,Chara denudata A. Braun,1,2019,2019
50028,Chara filiformis H. Hertzsch,1,2019,2019
50009,Chara globularis Thuill.,1,2019,2019
50092,Chara globularis aggr.,2,2019,2019
50012,Chara hispida L.,1,2019,2019
50093,Chara hispida aggr.,2,2019,2019
50015,Chara intermedia A. Braun,1,2019,2019
50084,Chara virgata Kütz.,1,2019,2019
50021,Chara vulgaris L.,2,1855,2019
50010,Chara vulgaris aggr.,3,1855,2019
50096,Chara vulgaris var. gymnophylla (A. Braun) Nyman,1,2019,2019
1016807,Epipactis leptochila var. neglecta (Kümpel) Gévaudan,3,2014,2014
1019309,Festuca ovina superaggr.,81,1966,2021
1021590,Geum rivale × urbanum,1,2014,2014
1021610,Ginkgo biloba L.,1,2019,2019
1023900,Hydrangea macrophylla (Thunb.) Ser.,1,2019,2019
1024870,Juglans nigra L.,2,2016,2022
1028960,Metasequoia glyptostroboides Hu & W. C. Cheng,1,2016,2016
50031,Nitella anarthrodactylée,2,1891,1891
50097,Nitella arthrodactylée,1,2015,2015
50037,Nitella mucronata (A. Braun) Miq.,1,2015,2015
50040,Nitella syncarpa (Thuill.) Chevall.,2,1891,1891
1032010,Oryza sativa L.,1,2022,2022
1033240,Phalaris arundinacea L. var. arundinacea,4,2015,2016
1033250,Phalaris arundinacea var. picta L.,2,2016,2016
1036160,Primula acaulis × elatior,1,2013,2013
1039405,Rubus glandulosus complex,2,2022,2022
1039535,Rubus hystrix complex,1,2022,2022
1043540,Sequoiadendron giganteum (Lindl.) J. Buchholz,1,2015,2015
1045159,Sporobolus vaginiflorus aggr.,2,2014,2014
1045750,Symphoricarpos ×chenaultii Rehder,2,2013,2014
1000000,Abies alba Mill.,41,1982,2021
1000010,Abies nordmanniana (Steven) Spach,3,2019,2020
1000020,Abutilon theophrasti Medik.,4,2013,2022
1000060,Acanthus mollis L.,6,2016,2021
1000070,Acer campestre L.,53,1982,2022
1000100,Acer negundo L.,1,2013,2013
1000110,Acer opalus Mill.,4,2018,2020
1000120,Acer platanoides L.,73,1982,2022
1000130,Acer pseudoplatanus L.,82,1982,2022
1000160,Aceras anthropophorum (L.) W. T. Aiton,2,1832,2022
1000300,Achillea filipendulina Lam.,1,2017,2017
1000330,Achillea millefolium L.,22,1982,2021
1000340,Achillea millefolium L. subsp. millefolium,9,2013,2016
1000320,Achillea millefolium aggr.,45,1936,2022
1000450,Achnatherum calamagrostis (L.) P. Beauv.,1,2019,2019
1000460,Acinos alpinus (L.) Moench,0,1982,1982
1000470,Acinos arvensis (Lam.) Dandy,24,1982,2022
1000543,Aconitum lycoctonum L.,2,2012,2013
