Taxon_Id,Species,?,Years (min),Years (max)
1019309,Festuca ovina superaggr.,10,1982,2016
1031527,Orchis ustulata var. aestivalis Kümpel,1,1990,1990
1043540,Sequoiadendron giganteum (Lindl.) J. Buchholz,1,2021,2021
1000000,Abies alba Mill.,12,1982,2021
1000070,Acer campestre L.,23,1982,2022
1000120,Acer platanoides L.,13,1982,2022
1000130,Acer pseudoplatanus L.,32,1982,2022
1000330,Achillea millefolium L.,16,1982,2022
1000340,Achillea millefolium L. subsp. millefolium,2,2016,2016
1000320,Achillea millefolium aggr.,26,1982,2022
1000543,Aconitum lycoctonum L.,4,1982,2006
1000545,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,4,1982,2006
1000730,Actaea spicata L.,3,1982,2014
1000780,Adenostyles alpina (L.) Bluff & Fingerh.,2,1982,2004
1000930,Aegopodium podagraria L.,8,1982,2022
1000990,Aethusa cynapium L.,34,1982,2019
1001010,Agrimonia eupatoria L.,2,1982,2019
1001050,Agrostemma githago L.,5,1966,2014
1001080,Agrostis capillaris L.,4,1982,2008
1001090,Agrostis gigantea Roth,2,2018,2018
1001130,Agrostis stolonifera L.,15,1982,2019
1001230,Ajuga reptans L.,39,1982,2022
1002490,Alisma gramineum Lej.,0,1966,1966
1002520,Alliaria petiolata (M. Bieb.) Cavara & Grande,8,1982,2022
1002680,Allium oleraceum L.,3,2004,2022
1002790,Allium ursinum L.,6,1982,2019
1002810,Allium vineale L.,3,1982,2014
1002840,Alnus glutinosa (L.) Gaertn.,3,1982,2022
1002850,Alnus incana (L.) Moench,1,1982,2011
1002910,Alopecurus myosuroides Huds.,31,1966,2019
1002920,Alopecurus pratensis L.,10,1982,2019
1002960,Althaea hirsuta L.,0,1966,1966
1003070,Amaranthus albus L.,1,2004,2004
1003220,Amaranthus retroflexus L.,8,2000,2011
1003290,Amelanchier ovalis Medik.,1,1982,1999
1003300,Ammi majus L.,6,2009,2009
1003350,Anacamptis pyramidalis (L.) Rich.,3,1982,2003
1003380,Anagallis arvensis L.,16,1982,2019
1003390,Anagallis foemina Mill.,1,1982,2014
1003770,Anemone nemorosa L.,10,1982,2022
1003820,Angelica sylvestris L.,2,1982,2021
1003870,Anthemis arvensis L.,1,2006,2006
1003900,Anthemis tinctoria L.,4,2014,2022
1003930,Anthericum ramosum L.,2,1982,2019
1003970,Anthoxanthum odoratum L.,12,1982,2022
1003960,Anthoxanthum odoratum aggr.,50,1982,2022
1004010,Anthriscus sylvestris (L.) Hoffm.,5,1982,2019
1004070,Anthyllis vulneraria L.,22,1982,2022
1004080,Anthyllis vulneraria L. subsp. vulneraria,2,1982,2016
1004100,Anthyllis vulneraria subsp. carpatica (Pant.) Nyman,1,2016,2016
1004200,Apera spica-venti (L.) P. Beauv.,3,1982,2006
1004210,Aphanes arvensis L.,1,2014,2014
1004330,Aquilegia vulgaris L.,11,1982,2022
1004340,Arabidopsis thaliana (L.) Heynh.,1,2004,2004
1004360,Arabis alpina L.,1,1982,1999
1004370,Arabis alpina L. subsp. alpina,1,1982,1999
1004460,Arabis hirsuta (L.) Scop.,2,1982,2016
1004470,Arabis hirsuta aggr.,2,1982,2016
1004610,Arctium lappa L.,4,1966,2019
1004810,Arenaria serpyllifolia L.,7,1982,2022
1004800,Arenaria serpyllifolia aggr.,8,1982,2022
1004930,Arrhenatherum elatius (L.) J. Presl & C. Presl,59,1982,2019
1004950,Artemisia absinthium L.,2,2019,2019
1005180,Arum maculatum L.,15,1982,2022
1005190,Aruncus dioicus (Walter) Fernald,4,1982,2014
1005220,Asarum europaeum L.,33,1982,2022
1005550,Asplenium trichomanes L.,2,1982,2022
1006090,Athyrium filix-femina (L.) Roth,4,1982,2020
1006140,Atriplex patula L.,3,1982,2019
1006190,Atropa bella-donna L.,3,1982,2021
1006240,Avena fatua L.,1,1982,2014
1006360,Ballota nigra L.,2,2003,2019
1006380,Ballota nigra subsp. meridionalis (Bég.) Bég.,1,2003,2003
1006490,Bellis perennis L.,32,1982,2020
1006560,Berula erecta (Huds.) Coville,1,2019,2019
1006600,Betula pendula Roth,1,1982,2022
1006595,Betula pendula aggr.,1,1982,2022
1006890,Blitum virgatum L.,0,1966,1966
1006970,Bothriochloa ischaemum (L.) Keng,0,1966,1966
1006990,Botrychium lunaria (L.) Sw.,0,1966,1966
1007060,Brachypodium pinnatum (L.) P. Beauv.,6,2016,2022
1007070,Brachypodium pinnatum aggr.,16,1982,2022
1007090,Brachypodium sylvaticum (Huds.) P. Beauv.,17,1982,2019
1007120,Brassica napus L.,10,1996,2019
