Taxon_Id,Species,?,Years (min),Years (max)
1019309,Festuca ovina superaggr.,2,1982,2012
1027131,Linum catharticum L. var. catharticum,1,2022,2022
1000000,Abies alba Mill.,15,1982,2022
1000020,Abutilon theophrasti Medik.,1,2022,2022
1000070,Acer campestre L.,24,1982,2022
1000110,Acer opalus Mill.,1,2008,2008
1000120,Acer platanoides L.,7,1982,2022
1000130,Acer pseudoplatanus L.,42,1982,2022
1000330,Achillea millefolium L.,14,1935,2022
1000320,Achillea millefolium aggr.,21,1935,2022
1000470,Acinos arvensis (Lam.) Dandy,2,2000,2012
1000543,Aconitum lycoctonum L.,4,1982,2005
1000545,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,4,1982,2005
1000730,Actaea spicata L.,8,1982,2022
1000860,Adonis flammea Jacq.,1,1867,1966
1000880,Adoxa moschatellina L.,1,1982,1999
1000930,Aegopodium podagraria L.,17,1982,2022
1000990,Aethusa cynapium L.,2,1867,2017
1001010,Agrimonia eupatoria L.,22,1982,2022
1001070,Agrostis canina L.,1,2015,2015
1001080,Agrostis capillaris L.,4,1982,2022
1001090,Agrostis gigantea Roth,3,2007,2015
1001130,Agrostis stolonifera L.,14,1982,2022
1001150,Ailanthus altissima (Mill.) Swingle,6,2014,2019
1001210,Ajuga genevensis L.,2,1982,1998
1001230,Ajuga reptans L.,44,1982,2022
1002440,Alchemilla vulgaris aggr.,3,2014,2022
1002490,Alisma gramineum Lej.,0,1966,1966
1002520,Alliaria petiolata (M. Bieb.) Cavara & Grande,18,1982,2022
1002750,Allium scorodoprasum L.,7,1966,2022
1002790,Allium ursinum L.,20,1982,2022
1002810,Allium vineale L.,12,1982,2022
1002840,Alnus glutinosa (L.) Gaertn.,13,1982,2022
1002850,Alnus incana (L.) Moench,8,1982,2022
1002910,Alopecurus myosuroides Huds.,19,1935,2017
1002920,Alopecurus pratensis L.,10,1982,2020
1002960,Althaea hirsuta L.,0,1966,1966
1003070,Amaranthus albus L.,1,2006,2006
1003085,Amaranthus blitum aggr.,2,1982,2022
1003100,Amaranthus bouchonii Thell.,1,2022,2022
1003150,Amaranthus emarginatus Uline & W. L. Bray,1,2022,2022
1003170,Amaranthus hybridus aggr.,4,2016,2022
1003220,Amaranthus retroflexus L.,3,2001,2022
1003350,Anacamptis pyramidalis (L.) Rich.,9,1973,2022
1003351,Anacamptis pyramidalis (L.) Rich. subsp. pyramidalis,1,1998,1998
1003380,Anagallis arvensis L.,6,1935,2022
1003390,Anagallis foemina Mill.,5,1935,1982
1003770,Anemone nemorosa L.,14,1982,2020
1003780,Anemone ranunculoides L.,1,2012,2012
1003820,Angelica sylvestris L.,7,1982,2017
1003900,Anthemis tinctoria L.,2,2012,2019
1003930,Anthericum ramosum L.,4,1982,2022
1003970,Anthoxanthum odoratum L.,28,1982,2022
1003960,Anthoxanthum odoratum aggr.,39,1982,2022
1004010,Anthriscus sylvestris (L.) Hoffm.,12,1982,2022
1004070,Anthyllis vulneraria L.,18,1982,2022
1004080,Anthyllis vulneraria L. subsp. vulneraria,6,1982,2022
1004100,Anthyllis vulneraria subsp. carpatica (Pant.) Nyman,1,2022,2022
1004200,Apera spica-venti (L.) P. Beauv.,1,1935,1982
1004210,Aphanes arvensis L.,1,2018,2018
1004330,Aquilegia vulgaris L.,13,1982,2022
1004360,Arabis alpina L.,2,1982,2000
1004370,Arabis alpina L. subsp. alpina,2,1982,2000
1004460,Arabis hirsuta (L.) Scop.,1,1982,2016
1004470,Arabis hirsuta aggr.,2,1982,2016
1004810,Arenaria serpyllifolia L.,3,1982,2022
1004800,Arenaria serpyllifolia aggr.,9,1982,2022
1004900,Armoracia rusticana G. Gaertn. & al.,1,1999,1999
1004930,Arrhenatherum elatius (L.) J. Presl & C. Presl,60,1982,2022
1005180,Arum maculatum L.,13,1982,2018
1005220,Asarum europaeum L.,12,1982,2020
1005320,Asperula cynanchica L.,2,1982,2011
1005315,Asperula cynanchica aggr.,2,1982,2011
1005500,Asplenium ruta-muraria L.,2,1982,2020
1005550,Asplenium trichomanes L.,4,1982,2020
1005660,Aster bellidiastrum (L.) Scop.,2,1982,2000
1005700,Aster novae-angliae L.,1,2011,2011
1006090,Athyrium filix-femina (L.) Roth,5,1982,2017
1006140,Atriplex patula L.,8,1935,2022
1006190,Atropa bella-donna L.,5,1982,2022
1006490,Bellis perennis L.,35,1982,2022
1006530,Berberis vulgaris L.,7,1982,2022
1006600,Betula pendula Roth,14,1982,2022
1006595,Betula pendula aggr.,14,1982,2022
1006890,Blitum virgatum L.,0,1966,1966
1006970,Bothriochloa ischaemum (L.) Keng,0,1966,1966
1006990,Botrychium lunaria (L.) Sw.,0,1966,1966
1007060,Brachypodium pinnatum (L.) P. Beauv.,4,2022,2022
1007070,Brachypodium pinnatum aggr.,20,1982,2022
1007090,Brachypodium sylvaticum (Huds.) P. Beauv.,22,1982,2022
1007120,Brassica napus L.,5,2007,2017
1007200,Briza media L.,17,1982,2022
1007210,Bromus arvensis L.,0,1982,1982
1007230,Bromus benekenii (Lange) Trimen,4,1982,2022
1007290,Bromus erectus Huds.,36,1982,2022
1007300,Bromus erectus Huds. subsp. erectus,14,1982,2022
1007330,Bromus hordeaceus L.,21,1982,2022
1007360,Bromus inermis Leyss.,14,1984,2022
1007355,Bromus inermis aggr.,15,1984,2022
1007470,Bromus ramosus Huds.,4,1982,2022
1007540,Bromus sterilis L.,13,1982,2022
1007550,Bromus tectorum L.,1,1966,2011
1007600,Buddleja davidii Franch.,24,2007,2022
1007620,Buglossoides arvensis (L.) I. M. Johnst.,5,1935,1936
1007900,Calamagrostis epigejos (L.) Roth,2,2022,2022
1007940,Calamagrostis varia (Schrad.) Host,2,1982,2022
1007980,Calamintha menthifolia Host,1,1982,2013
1008000,Calamintha nepeta aggr.,2,1982,2013
1008180,Caltha palustris L.,2,1982,2022
1008200,Calystegia sepium (L.) R. Br.,20,1982,2022
1008220,Camelina alyssum (Mill.) Thell.,0,1966,1966
1008440,Campanula glomerata L.,3,1982,2012
1008450,Campanula glomerata L. subsp. glomerata,2,2011,2012
1008550,Campanula persicifolia L.,6,1982,2022
1008610,Campanula rapunculoides L.,5,1935,2022
1008620,Campanula rapunculus L.,5,1935,2022
1008640,Campanula rotundifolia L.,4,1982,2022
1008690,Campanula trachelium L.,7,1982,2017
1008720,Capsella bursa-pastoris (L.) Medik.,16,1982,2022
1008790,Cardamine amara L.,1,1982,2002
1008870,Cardamine flexuosa With.,2,2021,2021
1008855,Cardamine flexuosa aggr.,7,1994,2021
1008880,Cardamine heptaphylla (Vill.) O. E. Schulz,5,1982,2022
1008890,Cardamine hirsuta L.,12,1982,2022
1008970,Cardamine pratensis aggr.,24,1982,2020
1009170,Carduus defloratus L.,4,1982,2000
1009180,Carduus defloratus L. subsp. defloratus,4,1982,2000
1009290,Carex acutiformis Ehrh.,3,1982,2022
1009430,Carex brizoides L.,1,1966,2002
1009510,Carex caryophyllea Latourr.,10,1982,2022
1009610,Carex digitata L.,7,1982,2022
1009630,Carex distans L.,0,1966,1966
1009760,Carex flacca Schreb.,36,1982,2022
1009770,Carex flava aggr.,0,1966,1966
1009880,Carex hirta L.,20,1982,2022
1009950,Carex leersii F. W. Schultz,1,2000,2000
1009970,Carex leporina L.,1,1982,2008
1010040,Carex montana L.,7,1982,2014
1010060,Carex muricata aggr.,13,1982,2022
1010090,Carex ornithopoda Willd.,2,1982,2013
1010120,Carex pairae F. W. Schultz,2,1982,2000
1010130,Carex pallescens L.,4,1982,2022
1010140,Carex panicea L.,3,1982,2022
1010190,Carex pendula Huds.,11,1982,2022
1010210,Carex pilulifera L.,1,2002,2002
1010290,Carex remota L.,8,1982,2022
1010350,Carex spicata Huds.,5,2008,2013
1010390,Carex sylvatica Huds.,22,1982,2022
1010440,Carex viridula Michx.,0,1966,1966
1010560,Carlina vulgaris L.,4,2008,2022
1010550,Carlina vulgaris aggr.,4,2008,2022
1010580,Carpinus betulus L.,18,1982,2022
1010610,Carum carvi L.,6,1982,2022
1010790,Centaurea cyanus L.,2,2017,2017
1010820,Centaurea jacea L.,34,1982,2022
1010830,Centaurea jacea L. subsp. jacea,13,1982,2014
1010840,Centaurea jacea subsp. angustifolia Gremli,1,1982,2011
1010865,Centaurea jacea aggr.,34,1982,2022
1010890,Centaurea montana L.,13,1982,2021
1010980,Centaurea scabiosa L.,11,1982,2022
1010990,Centaurea scabiosa L. subsp. scabiosa,6,1982,2022
1011140,Centaurium erythraea Rafn,7,1982,2014
1011150,Centaurium pulchellum (Sw.) Druce,1,1982,2011
1011180,Centranthus ruber (L.) DC.,2,2022,2022
1011190,Cephalanthera damasonium (Mill.) Druce,11,1973,2022
