Taxon_Id,Species,occ,Years (min),Years (max)
1003450,Anchusa hybrida Ten.,1,2006,2006
1007626,Buglossoides arvensis subsp. permixta (Jord.) R. Fern.,1,1942,1942
1008255,Camelina sativa var. pilosa DC.,0,1966,1966
1013250,Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.,1,1990,1990
1019309,Festuca ovina superaggr.,49,1982,2022
1021610,Ginkgo biloba L.,1,1990,1990
1022090,Hedera colchica (K. Koch) K. Koch,1,1990,1990
1024480,Inula ensifolia L.,3,1988,2022
1024870,Juglans nigra L.,8,1990,2021
1027190,Liquidambar styraciflua L.,1,2022,2022
1027200,Liriodendron tulipifera L.,1,2022,2022
1028240,Malcolmia maritima (L.) R. Br.,1,2011,2011
1033250,Phalaris arundinacea var. picta L.,1,1990,1990
1042925,Sedum pallidum M. Bieb.,4,2018,2018
1045750,Symphoricarpos ×chenaultii Rehder,8,1990,2021
1047130,Tradescantia fluminensis Vell.,1,1990,1990
1000000,Abies alba Mill.,1,1982,2021
1000020,Abutilon theophrasti Medik.,5,1990,2019
1000030,Acacia dealbata Link,2,2019,2019
1000060,Acanthus mollis L.,1,2022,2022
1000070,Acer campestre L.,85,1982,2022
1000090,Acer monspessulanum L.,1,2021,2021
1000100,Acer negundo L.,20,1990,2022
1000120,Acer platanoides L.,108,1982,2022
1000130,Acer pseudoplatanus L.,79,1982,2022
1000150,Acer saccharinum L.,4,2022,2022
1000300,Achillea filipendulina Lam.,2,1990,1990
1000330,Achillea millefolium L.,29,1982,2022
1000340,Achillea millefolium L. subsp. millefolium,2,2022,2022
1000320,Achillea millefolium aggr.,156,1982,2022
1000370,Achillea nobilis L.,1,1966,1990
1000400,Achillea ptarmica L.,33,1982,2022
1000470,Acinos arvensis (Lam.) Dandy,29,1990,2020
1000543,Aconitum lycoctonum L.,0,1994,1994
1000545,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,0,1994,1994
1000563,Aconitum napellus L.,1,1990,1990
1000567,Aconitum napellus subsp. vulgare Rouy & Foucaud,1,1990,1990
