Taxon_Id,Species,?,Years (min),Years (max)
1010195,Carex pendula subsp. agastachys (L. f.) Ljungstrand,1,2021,2021
1019309,Festuca ovina superaggr.,4,1982,2016
1000000,Abies alba Mill.,5,1982,2016
1000020,Abutilon theophrasti Medik.,1,2016,2016
1000070,Acer campestre L.,8,1933,2022
1000120,Acer platanoides L.,9,1982,2022
1000130,Acer pseudoplatanus L.,13,1933,2022
1000330,Achillea millefolium L.,6,1982,2022
1000340,Achillea millefolium L. subsp. millefolium,2,2016,2022
1000320,Achillea millefolium aggr.,16,1982,2022
1000543,Aconitum lycoctonum L.,7,1982,2015
1000545,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,7,1982,2015
1000730,Actaea spicata L.,3,1982,2016
1000930,Aegopodium podagraria L.,5,1982,2016
1000940,Aesculus hippocastanum L.,3,2014,2016
1000990,Aethusa cynapium L.,6,1982,2019
1001010,Agrimonia eupatoria L.,8,1982,2022
1001050,Agrostemma githago L.,2,1966,2016
1001080,Agrostis capillaris L.,2,1982,2016
1001090,Agrostis gigantea Roth,3,2014,2021
1001130,Agrostis stolonifera L.,10,1973,2022
1001150,Ailanthus altissima (Mill.) Swingle,8,2004,2019
1001200,Ajuga chamaepitys (L.) Schreb.,0,1966,1966
1001230,Ajuga reptans L.,8,1982,2022
1001270,Alcea rosea L.,1,2015,2015
1002500,Alisma lanceolatum With.,1,1982,2015
1002510,Alisma plantago-aquatica L.,4,1971,2018
1002520,Alliaria petiolata (M. Bieb.) Cavara & Grande,4,1982,2016
1002680,Allium oleraceum L.,1,1982,2013
1002740,Allium schoenoprasum L.,1,2021,2021
1002790,Allium ursinum L.,3,1982,2021
1002810,Allium vineale L.,4,1966,2016
1002840,Alnus glutinosa (L.) Gaertn.,7,1982,2022
1002850,Alnus incana (L.) Moench,3,1982,2016
1002910,Alopecurus myosuroides Huds.,1,1982,2016
1002920,Alopecurus pratensis L.,4,1982,2016
1003010,Alyssum alyssoides (L.) L.,0,1966,1966
