Taxon_Id,Species,?,Years (min),Years (max)
1001330,Alchemilla alpina superaggr.,1,1877,1877
1001410,Alchemilla conjuncta superaggr.,5,1950,1998
1003060,Alyssum simplex Rudolphi,3,1876,1892
1002980,Aurinia sinuata (L.) Griseb.,1,1876,1876
1011570,Cercidiphyllum japonicum Siebold & Zucc.,2,2006,2020
50002,Chara aspera Willd.,7,1899,1900
50005,Chara contraria Kütz.,50,1987,2020
50008,Chara denudata A. Braun,1,2017,2017
50009,Chara globularis Thuill.,260,1838,2020
50092,Chara globularis aggr.,261,1838,2020
50012,Chara hispida L.,1,1889,1889
50093,Chara hispida aggr.,3,1889,1899
50015,Chara intermedia A. Braun,2,1899,1899
50020,Chara tomentosa L.,13,1852,1950
50084,Chara virgata Kütz.,1,1899,1899
50021,Chara vulgaris L.,33,1866,1972
50010,Chara vulgaris aggr.,83,1866,2020
1012700,Cnicus benedictus L.,1,1892,1892
1012860,Collomia grandiflora Lindl.,1,1892,1892
1013200,Coronilla scorpioides (L.) W. D. J. Koch,4,1950,1950
1019309,Festuca ovina superaggr.,36,1887,2021
1021960,Gymnadenia conopsea var. densiflora (Wahlenb.) Aver.,1,1950,1950
1030000,Narcissus jonquilla L.,1,1879,1879
50031,Nitella anarthrodactylée,36,1848,1940
50097,Nitella arthrodactylée,13,1848,1973
50032,Nitella capillaris (Krock.) J. Groves & Bull.-Webst.,1,1853,1853
50035,Nitella gracilis (Sm.) C. Agardh,2,1971,1973
50036,Nitella hyalina (DC.) C. Agardh,11,1848,1899
50038,Nitella opaca (Bruzelius) C. Agardh,8,1899,1899
50040,Nitella syncarpa (Thuill.) Chevall.,25,1848,1940
50051,Nitellopsis obtusa (Desv.) J. Groves,354,1977,2020
1033560,Physostegia virginiana (L.) Benth.,2,1950,1998
1039535,Rubus hystrix complex,1,1998,1998
1045750,Symphoricarpos ×chenaultii Rehder,15,1998,1998
50061,Tolypella glomerata (Desv.) Leonh.,1,2017,2017
1000000,Abies alba Mill.,29,1965,2022
1000020,Abutilon theophrasti Medik.,10,1995,2020
1000060,Acanthus mollis L.,1,2019,2019
1000070,Acer campestre L.,43,1965,2022
1000100,Acer negundo L.,3,1998,2021
1000120,Acer platanoides L.,56,1965,2022
1000130,Acer pseudoplatanus L.,69,1961,2022
1000150,Acer saccharinum L.,1,2011,2011
1000300,Achillea filipendulina Lam.,4,1998,1998
1000330,Achillea millefolium L.,37,1982,2022
1000340,Achillea millefolium L. subsp. millefolium,2,2015,2016
1000320,Achillea millefolium aggr.,54,1982,2022
1000370,Achillea nobilis L.,1,1950,1950
1000400,Achillea ptarmica L.,8,1950,1998
1000450,Achnatherum calamagrostis (L.) P. Beauv.,6,1992,2020
1000470,Acinos arvensis (Lam.) Dandy,19,1879,2022
1000500,Aconitum anthora L.,1,1892,1892
1000543,Aconitum lycoctonum L.,2,1982,1998
1000545,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,2,1982,1998
1000720,Acorus calamus L.,3,1950,1982
1000730,Actaea spicata L.,2,1961,1998
1000810,Adiantum capillus-veneris L.,1,1995,1995
1000820,Adonis aestivalis L.,2,1950,1966
1000850,Adonis annua L.,3,1950,2014
1000870,Adonis vernalis L.,1,1876,1876
1000880,Adoxa moschatellina L.,7,1995,2021
1000890,Aegilops cylindrica Host,4,1950,2016
1000892,Aegilops geniculata aggr.,1,1950,1950
1000930,Aegopodium podagraria L.,47,1884,2022
1000940,Aesculus hippocastanum L.,31,1883,2022
1000980,Aethusa cynapioides M. Bieb.,5,1950,1998
1000990,Aethusa cynapium L.,30,1982,2020
1001010,Agrimonia eupatoria L.,29,1879,2022
1001020,Agrimonia procera Wallr.,3,1998,2020
1001050,Agrostemma githago L.,16,1950,2020
1001070,Agrostis canina L.,1,1950,1982
1001080,Agrostis capillaris L.,35,1886,2022
1001090,Agrostis gigantea Roth,17,1982,1998
1001130,Agrostis stolonifera L.,49,1972,2022
1001150,Ailanthus altissima (Mill.) Swingle,782,1998,2022
1001160,Aira caryophyllea L.,1,1943,1943
1001200,Ajuga chamaepitys (L.) Schreb.,4,1950,1950
1001210,Ajuga genevensis L.,3,1850,1950
1001230,Ajuga reptans L.,57,1886,2022
1001240,Akebia quinata (Houtt.) Decne.,1,2018,2018
1001270,Alcea rosea L.,30,1998,2021
1001340,Alchemilla alpina aggr.,1,1877,1877
1001470,Alchemilla coriacea aggr.,5,1950,1998
1001490,Alchemilla crinita Buser,1,1950,1950
1001740,Alchemilla glabra aggr.,6,1950,2012
1001770,Alchemilla glaucescens Wallr.,2,1950,1998
1001890,Alchemilla hybrida aggr.,7,1877,1998
1002020,Alchemilla mollis (Buser) Rothm.,12,1939,1998
1002030,Alchemilla monticola Opiz,3,1950,1998
1002050,Alchemilla nitida Buser,5,1950,1998
1002150,Alchemilla plicatula aggr.,5,1950,1998
1002290,Alchemilla speciosa Buser,5,1998,1998
1002440,Alchemilla vulgaris aggr.,20,1950,2021
1002470,Alchemilla xanthochlora Rothm.,11,1998,1998
1002490,Alisma gramineum Lej.,74,1971,2022
1002500,Alisma lanceolatum With.,2,1950,1973
1002510,Alisma plantago-aquatica L.,10,1972,2022
1002520,Alliaria petiolata (M. Bieb.) Cavara & Grande,43,1879,2022
1002540,Allium angulosum L.,11,1820,1966
1002560,Allium carinatum L.,11,1876,2018
1002570,Allium carinatum L. subsp. carinatum,10,1876,2016
1002610,Allium fistulosum L.,1,1892,1892
1002680,Allium oleraceum L.,9,1950,1998
1002700,Allium paradoxum (M. Bieb.) G. Don,19,1877,2020
1002710,Allium porrum L.,1,1877,1877
1002730,Allium sativum L.,4,1950,1998
1002740,Allium schoenoprasum L.,28,1892,2022
1002750,Allium scorodoprasum L.,9,1950,2022
1002790,Allium ursinum L.,62,1961,2022
1002810,Allium vineale L.,37,1982,2022
1002840,Alnus glutinosa (L.) Gaertn.,21,1982,2022
1002850,Alnus incana (L.) Moench,16,1965,2022
1002880,Alopecurus aequalis Sobol.,7,1950,1983
1002900,Alopecurus geniculatus L.,4,1950,1998
1002910,Alopecurus myosuroides Huds.,7,1982,2017
1002920,Alopecurus pratensis L.,21,1877,2021
1002960,Althaea hirsuta L.,6,1966,1998
1002970,Althaea officinalis L.,1,1998,1998
1002990,Alyssoides utriculata (L.) Moench,1,1849,1849
1003010,Alyssum alyssoides (L.) L.,13,1879,2020
1003040,Alyssum montanum L.,2,1998,2018
1003070,Amaranthus albus L.,9,1950,1998
1003090,Amaranthus blitum L.,1,2019,2019
1003085,Amaranthus blitum aggr.,51,1982,2022
1003100,Amaranthus bouchonii Thell.,3,1998,1998
1003110,Amaranthus caudatus L.,7,1950,1998
1003135,Amaranthus cruentus L.,1,2021,2021
1003140,Amaranthus deflexus L.,3,1950,1998
1003150,Amaranthus emarginatus Uline & W. L. Bray,24,1998,2022
1003160,Amaranthus graecizans L.,2,1950,1950
1003185,Amaranthus hybridus L.,7,1950,1998
1003170,Amaranthus hybridus aggr.,40,1886,2021
1003195,Amaranthus hypochondriacus L.,7,1886,1998
1003210,Amaranthus powellii S. Watson,20,1998,2012
1003220,Amaranthus retroflexus L.,25,1876,2020
1003230,Ambrosia artemisiifolia L.,357,1976,2022
1003260,Ambrosia trifida L.,3,1950,1950
1003280,Amelanchier lamarckii F. G. Schroed.,1,1998,1998
1003290,Amelanchier ovalis Medik.,1,1982,2016
1003300,Ammi majus L.,7,1950,2020
1003350,Anacamptis pyramidalis (L.) Rich.,10,1832,2019
1003380,Anagallis arvensis L.,31,1982,2020
1003390,Anagallis foemina Mill.,6,1920,1950
1003420,Anaphalis margaritacea (L.) Benth.,1,1998,1998
1003440,Anchusa arvensis (L.) M. Bieb.,1,1950,1950
1003460,Anchusa italica Retz.,1,1892,1892
1003480,Anchusa officinalis L.,12,1892,2022
1003570,Androsace helvetica (L.) All.,1,1892,1892
1003730,Anemone blanda Schott & Kotschy,18,1998,2022
1003750,Anemone hupehensis (Lemoine) Lemoine,3,1998,1998
1003770,Anemone nemorosa L.,68,1879,2022
1003780,Anemone ranunculoides L.,10,1983,2011
1003800,Anethum graveolens L.,6,1950,2020
1003820,Angelica sylvestris L.,17,1965,2022
1003860,Anthemis altissima L.,5,1950,1950
1003870,Anthemis arvensis L.,7,1876,1982
1003880,Anthemis austriaca Jacq.,6,1892,1950
1003890,Anthemis cotula L.,13,1887,1950
1003900,Anthemis tinctoria L.,26,1892,2022
1003930,Anthericum ramosum L.,5,1982,2022
1003970,Anthoxanthum odoratum L.,37,1886,2022
1003960,Anthoxanthum odoratum aggr.,39,1886,2022
1003980,Anthriscus caucalis M. Bieb.,32,1983,2022
1003990,Anthriscus cerefolium (L.) Hoffm.,9,1876,1950
1004010,Anthriscus sylvestris (L.) Hoffm.,43,1886,2021
1004070,Anthyllis vulneraria L.,23,1886,2022
1004080,Anthyllis vulneraria L. subsp. vulneraria,6,1982,1998
1004090,Anthyllis vulneraria subsp. alpestris (Schult.) Asch. & Graebn.,1,1982,2020
1004100,Anthyllis vulneraria subsp. carpatica (Pant.) Nyman,10,1950,2018
1004180,Antirrhinum majus L.,32,1929,2020
1004200,Apera spica-venti (L.) P. Beauv.,13,1982,2018
1004210,Aphanes arvensis L.,12,1950,2022
1004250,Apium graveolens L.,5,1950,1950
1004280,Apium repens (Jacq.) Lag.,6,2015,2021
1004310,Aquilegia atrata W. D. J. Koch,1,1982,1998
1004330,Aquilegia vulgaris L.,30,1984,2022
1004340,Arabidopsis thaliana (L.) Heynh.,32,1982,2022
1004360,Arabis alpina L.,29,1892,2021
1004370,Arabis alpina L. subsp. alpina,3,1892,1998
1004380,Arabis alpina subsp. caucasica (Willd.) Briq.,26,1892,2021
1004460,Arabis hirsuta (L.) Scop.,4,1950,2015
1004470,Arabis hirsuta aggr.,4,1950,2015
1004610,Arctium lappa L.,38,1982,2022
1004620,Arctium minus Bernh.,34,1982,2022
1004630,Arctium minus Bernh. subsp. minus,17,1998,2014
1004650,Arctium nemorosum Lej.,4,1998,2018
1004670,Arctium tomentosum Mill.,3,1950,1950
1004700,Aremonia agrimonoides (L.) DC.,2,1983,1998
1004770,Arenaria leptoclados (Rchb.) Guss.,15,1950,2020
1004810,Arenaria serpyllifolia L.,32,1982,2022
1004800,Arenaria serpyllifolia aggr.,54,1950,2022
1004830,Aristolochia clematitis L.,15,1877,2022
1004900,Armoracia rusticana G. Gaertn. & al.,15,1998,2021
1004920,Arnoseris minima (L.) Schweigg. & Körte,0,1966,1966
1004930,Arrhenatherum elatius (L.) J. Presl & C. Presl,79,1884,2022
1004940,Artemisia abrotanum L.,1,1950,1950
1004950,Artemisia absinthium L.,15,1950,2021
1004970,Artemisia annua L.,2,1950,1998
1004990,Artemisia biennis Willd.,4,1950,1998
1005000,Artemisia borealis Pall.,1,1997,1997
1005010,Artemisia campestris L.,4,1869,1950
1005020,Artemisia campestris L. subsp. campestris,2,1950,1950
1005005,Artemisia campestris aggr.,5,1869,1997
1005050,Artemisia dracunculus L.,5,1849,2020
1005150,Artemisia verlotiorum Lamotte,125,1982,2022
1005160,Artemisia vulgaris L.,33,1982,2022
1005170,Arum italicum Mill.,23,1998,2022
1005180,Arum maculatum L.,32,1961,2022
1005190,Aruncus dioicus (Walter) Fernald,31,1965,2014
1005220,Asarum europaeum L.,16,1950,2021
1005240,Asclepias syriaca L.,8,1998,2021
1005260,Asparagus officinalis L.,5,1950,1950
1005280,Asperugo procumbens L.,1,1950,1950
1005310,Asperula arvensis L.,5,1950,1950
1005320,Asperula cynanchica L.,4,1950,1982
1005315,Asperula cynanchica aggr.,4,1950,1982
1005340,Asperula taurina L.,2,1878,1880
1005350,Asperula tinctoria L.,1,2018,2018
1005380,Asplenium adiantum-nigrum L.,4,1983,2020
1005639,Asplenium adiantum-nigrum aggr.,4,1983,2020
1000377,Asplenium ceterach L.,5,1876,2021
1005500,Asplenium ruta-muraria L.,63,1982,2022
1005550,Asplenium trichomanes L.,36,1982,2022
1005600,Asplenium trichomanes subsp. quadrivalens D. E. Mey.,2,2022,2022
1005610,Asplenium viride Huds.,1,1982,1983
1005650,Aster amellus L.,2,1950,1998
1005660,Aster bellidiastrum (L.) Scop.,10,1950,2019
1005680,Aster lanceolatus Willd.,5,1950,1998
1005690,Aster linosyris (L.) Bernh.,1,2017,2017
1005700,Aster novae-angliae L.,2,1950,1982
1005720,Aster novi-belgii L.,16,1950,1998
1005740,Aster parviflorus Nees,5,1950,1950
1005710,Aster novi-belgii aggr.,49,1892,2022
1005750,Aster ×salignus Willd.,8,1950,1998
1005760,Aster ×versicolor Willd.,10,1950,1998
1005880,Astragalus glycyphyllos L.,2,1982,2020
1006020,Astrantia major L.,2,1998,2019
1006090,Athyrium filix-femina (L.) Roth,29,1961,2022
1006100,Atriplex hortensis L.,4,1950,2020
