Taxon_Id,Species,occ,Years (min),Years (max)
1010191,Carex pendula Huds. subsp. pendula,1,2020,2020
50002,Chara aspera Willd.,2,1869,1869
50009,Chara globularis Thuill.,4,1848,1950
50092,Chara globularis aggr.,4,1848,1950
50012,Chara hispida L.,1,1869,1869
50093,Chara hispida aggr.,1,1869,1869
50021,Chara vulgaris L.,3,1850,1950
50010,Chara vulgaris aggr.,3,1850,1950
1019309,Festuca ovina superaggr.,36,1898,2021
1019870,Forsythia viridissima Lindl.,1,1900,1900
1021590,Geum rivale × urbanum,1,2020,2020
1024870,Juglans nigra L.,1,2005,2005
50031,Nitella anarthrodactylée,11,1847,1906
50097,Nitella arthrodactylée,2,1877,1877
50037,Nitella mucronata (A. Braun) Miq.,2,1877,1877
50040,Nitella syncarpa (Thuill.) Chevall.,11,1847,1906
1031383,Orchis militaris × purpurea,1,1899,1899
1036160,Primula acaulis × elatior,1,2015,2015
1039305,Rubus flaccidifolius P. J. Müll.,2,2019,2021
1043540,Sequoiadendron giganteum (Lindl.) J. Buchholz,1,2020,2020
50061,Tolypella glomerata (Desv.) Leonh.,2,1871,1898
1000000,Abies alba Mill.,42,1982,2022
1000020,Abutilon theophrasti Medik.,1,2015,2015
1000060,Acanthus mollis L.,1,2014,2014
1000070,Acer campestre L.,70,1982,2022
1000100,Acer negundo L.,6,1898,2020
1000120,Acer platanoides L.,63,1899,2021
1000130,Acer pseudoplatanus L.,81,1898,2022
1000160,Aceras anthropophorum (L.) W. T. Aiton,31,1901,2022
1000300,Achillea filipendulina Lam.,1,2020,2020
1000330,Achillea millefolium L.,24,1982,2022
1000340,Achillea millefolium L. subsp. millefolium,10,2013,2015
1000320,Achillea millefolium aggr.,57,1952,2022
1000400,Achillea ptarmica L.,2,1918,2020
1000410,Achillea roseoalba Ehrend.,4,1988,2019
1000470,Acinos arvensis (Lam.) Dandy,11,1982,2022
1000730,Actaea spicata L.,10,1982,2021
1000780,Adenostyles alpina (L.) Bluff & Fingerh.,1,1934,1966
1000810,Adiantum capillus-veneris L.,5,2013,2022
1000850,Adonis annua L.,1,2016,2016
1000880,Adoxa moschatellina L.,29,1898,2020
1000930,Aegopodium podagraria L.,39,1952,2021
1000940,Aesculus hippocastanum L.,41,2005,2022
1000990,Aethusa cynapium L.,32,1899,2021
1001010,Agrimonia eupatoria L.,6,1994,2016
1001020,Agrimonia procera Wallr.,1,1924,1924
1001050,Agrostemma githago L.,7,1885,2016
1001070,Agrostis canina L.,1,1982,2021
1001080,Agrostis capillaris L.,31,1936,2022
1001090,Agrostis gigantea Roth,30,1982,2020
1001130,Agrostis stolonifera L.,64,1899,2022
1001150,Ailanthus altissima (Mill.) Swingle,118,2002,2020
1001200,Ajuga chamaepitys (L.) Schreb.,1,1882,1882
1001210,Ajuga genevensis L.,53,1982,2022
1001230,Ajuga reptans L.,71,1880,2022
1001270,Alcea rosea L.,22,2012,2022
1001740,Alchemilla glabra aggr.,6,2013,2016
1002020,Alchemilla mollis (Buser) Rothm.,18,2012,2016
1002440,Alchemilla vulgaris aggr.,18,1952,2022
1002470,Alchemilla xanthochlora Rothm.,5,1952,2022
1002500,Alisma lanceolatum With.,0,1966,1966
1002510,Alisma plantago-aquatica L.,29,1899,2022
1002520,Alliaria petiolata (M. Bieb.) Cavara & Grande,72,1899,2022
1002540,Allium angulosum L.,12,1872,2020
1002560,Allium carinatum L.,11,1952,2019
1002570,Allium carinatum L. subsp. carinatum,4,1966,2019
1002670,Allium nigrum L.,1,2012,2012
1002680,Allium oleraceum L.,14,1899,2022
1002730,Allium sativum L.,2,2013,2021
1002740,Allium schoenoprasum L.,15,1952,2020
1002750,Allium scorodoprasum L.,30,1966,2022
1002790,Allium ursinum L.,60,1885,2022
1002810,Allium vineale L.,16,1995,2016
1002840,Alnus glutinosa (L.) Gaertn.,45,1952,2020
1002850,Alnus incana (L.) Moench,51,1952,2022
1002880,Alopecurus aequalis Sobol.,3,1966,2015
1002900,Alopecurus geniculatus L.,11,1966,2022
1002910,Alopecurus myosuroides Huds.,4,1987,2013
1002920,Alopecurus pratensis L.,44,1884,2022
1002960,Althaea hirsuta L.,0,1966,1966
1002970,Althaea officinalis L.,2,2016,2020
1003010,Alyssum alyssoides (L.) L.,3,2016,2016
1003070,Amaranthus albus L.,3,2013,2020
1003085,Amaranthus blitum aggr.,13,1899,2016
1003100,Amaranthus bouchonii Thell.,4,2015,2015
1003110,Amaranthus caudatus L.,2,2015,2016
1003150,Amaranthus emarginatus Uline & W. L. Bray,2,2012,2015
1003170,Amaranthus hybridus aggr.,18,1982,2015
1003195,Amaranthus hypochondriacus L.,1,2011,2011
1003210,Amaranthus powellii S. Watson,5,2012,2015
1003220,Amaranthus retroflexus L.,22,1899,2022
1003230,Ambrosia artemisiifolia L.,2,2012,2013
