Taxon_Id,Species,occ,Years (min),Years (max)
1008255,Camelina sativa var. pilosa DC.,0,1966,1966
1019309,Festuca ovina superaggr.,14,1982,2020
1030723,Oenothera lindheimeri (Engelm. & A. Gray) W. L. Wagner & Hoch,1,2018,2018
1000000,Abies alba Mill.,4,1982,1990
1000020,Abutilon theophrasti Medik.,1,1990,1990
1000070,Acer campestre L.,16,1982,2020
1000100,Acer negundo L.,5,1990,2008
1000120,Acer platanoides L.,12,1982,2020
1000130,Acer pseudoplatanus L.,17,1982,2021
1000300,Achillea filipendulina Lam.,1,2022,2022
1000330,Achillea millefolium L.,3,1982,2020
1000320,Achillea millefolium aggr.,25,1982,2020
1000370,Achillea nobilis L.,1,1966,2018
1000470,Acinos arvensis (Lam.) Dandy,9,1990,2020
1000543,Aconitum lycoctonum L.,0,1994,1994
1000545,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,0,1994,1994
1000720,Acorus calamus L.,1,1990,1990
1000780,Adenostyles alpina (L.) Bluff & Fingerh.,0,1966,1966
1000850,Adonis annua L.,0,1966,1966
1000880,Adoxa moschatellina L.,6,1982,2018
1000930,Aegopodium podagraria L.,16,1982,2022
1000940,Aesculus hippocastanum L.,5,2019,2022
1000990,Aethusa cynapium L.,6,1982,2022
1001010,Agrimonia eupatoria L.,10,1982,2018
1001050,Agrostemma githago L.,2,1966,2021
1001080,Agrostis capillaris L.,8,1982,2018
1001130,Agrostis stolonifera L.,7,1982,2019
1001150,Ailanthus altissima (Mill.) Swingle,16,1982,2020
1001160,Aira caryophyllea L.,0,1982,1982
1001230,Ajuga reptans L.,17,1982,2022
1001270,Alcea rosea L.,1,1990,1990
1002500,Alisma lanceolatum With.,1,1966,2015
1002510,Alisma plantago-aquatica L.,1,1990,1994
1002520,Alliaria petiolata (M. Bieb.) Cavara & Grande,14,1982,2022
1002560,Allium carinatum L.,1,2018,2018
1002680,Allium oleraceum L.,3,1982,2022
1002700,Allium paradoxum (M. Bieb.) G. Don,10,1990,2022
1002790,Allium ursinum L.,14,1982,2022
1002810,Allium vineale L.,7,1982,2022
1002840,Alnus glutinosa (L.) Gaertn.,13,1982,2022
1002850,Alnus incana (L.) Moench,4,1990,2022
1002880,Alopecurus aequalis Sobol.,1,1966,2008
1002900,Alopecurus geniculatus L.,0,1966,1966
1002910,Alopecurus myosuroides Huds.,9,1982,1995
1002920,Alopecurus pratensis L.,12,1982,2020
1003070,Amaranthus albus L.,7,1982,2019
1003085,Amaranthus blitum aggr.,5,1982,2018
1003100,Amaranthus bouchonii Thell.,2,1994,2018
1003110,Amaranthus caudatus L.,1,2018,2018
1003140,Amaranthus deflexus L.,1,1990,1994
1003170,Amaranthus hybridus aggr.,8,1982,2018
1003210,Amaranthus powellii S. Watson,4,1990,1990
1003220,Amaranthus retroflexus L.,5,1982,2020
1003230,Ambrosia artemisiifolia L.,2,1990,1994
1003250,Ambrosia psilostachya DC.,1,1939,1939
1003350,Anacamptis pyramidalis (L.) Rich.,7,1984,2021
1003380,Anagallis arvensis L.,14,1982,2021
1003400,Anagallis minima (L.) E. H. L. Krause,6,1921,2007
1003480,Anchusa officinalis L.,1,1966,2016
1003730,Anemone blanda Schott & Kotschy,3,2018,2022
1003770,Anemone nemorosa L.,18,1982,2020
1003780,Anemone ranunculoides L.,1,1982,2020
1003820,Angelica sylvestris L.,11,1982,2020
1003870,Anthemis arvensis L.,1,1982,1990
1003900,Anthemis tinctoria L.,3,1966,2018
1003970,Anthoxanthum odoratum L.,12,1982,2022
1003960,Anthoxanthum odoratum aggr.,36,1982,2022
1003980,Anthriscus caucalis M. Bieb.,1,1990,1994
1004010,Anthriscus sylvestris (L.) Hoffm.,9,1982,2022
1004070,Anthyllis vulneraria L.,12,2008,2020
1004180,Antirrhinum majus L.,4,1990,2019
1004190,Apera interrupta (L.) P. Beauv.,0,1966,1966
1004200,Apera spica-venti (L.) P. Beauv.,9,1982,2020
1004210,Aphanes arvensis L.,7,1982,2020
1004330,Aquilegia vulgaris L.,6,1982,2022
1004340,Arabidopsis thaliana (L.) Heynh.,10,1982,2022
1004360,Arabis alpina L.,1,1990,1994
1004370,Arabis alpina L. subsp. alpina,0,1994,1994
1004380,Arabis alpina subsp. caucasica (Willd.) Briq.,1,1990,1990
1004460,Arabis hirsuta (L.) Scop.,2,1982,2022
1004470,Arabis hirsuta aggr.,5,1966,2022
1004530,Arabis sagittata (Bertol.) DC.,0,1966,1966
1004610,Arctium lappa L.,4,1982,2020
1004620,Arctium minus Bernh.,7,1982,2022
1004670,Arctium tomentosum Mill.,2,1990,2015
1004770,Arenaria leptoclados (Rchb.) Guss.,2,1990,1994
1004810,Arenaria serpyllifolia L.,2,1982,2021
1004800,Arenaria serpyllifolia aggr.,10,1982,2021
1004830,Aristolochia clematitis L.,1,1994,2019
1004900,Armoracia rusticana G. Gaertn. & al.,2,1990,2015
1004930,Arrhenatherum elatius (L.) J. Presl & C. Presl,31,1982,2022
1005160,Artemisia vulgaris L.,9,1982,2014
1005170,Arum italicum Mill.,1,2015,2015
1005180,Arum maculatum L.,10,1982,2022
1005190,Aruncus dioicus (Walter) Fernald,1,1994,2008
1005240,Asclepias syriaca L.,1,2000,2000
1005260,Asparagus officinalis L.,6,1994,2008
1005500,Asplenium ruta-muraria L.,4,1982,2019
1005550,Asplenium trichomanes L.,6,1982,2021
1005650,Aster amellus L.,1,1982,2018
1005710,Aster novi-belgii aggr.,1,1990,1994
1006090,Athyrium filix-femina (L.) Roth,11,1982,2020
1006100,Atriplex hortensis L.,1,1990,1994
1006140,Atriplex patula L.,3,1982,1990
1006190,Atropa bella-donna L.,1,1990,1994
1006200,Aubrieta deltoidea (L.) DC.,3,1990,2020
1006210,Aucuba japonica Thunb.,1,2018,2018
1006220,Aurinia saxatilis (L.) Desv.,2,1990,2022
1006230,Avena barbata Link,1,1990,1990
1006260,Avena sativa L.,1,1982,1990
1006360,Ballota nigra L.,4,1982,2005
1006370,Ballota nigra L. subsp. nigra,1,1982,2005
1006380,Ballota nigra subsp. meridionalis (Bég.) Bég.,3,1982,1990
1006450,Barbarea vulgaris R. Br.,3,1982,1990
1006480,Bassia scoparia (L.) A. J. Scott,1,1990,1994
1006490,Bellis perennis L.,26,1982,2022
1006530,Berberis vulgaris L.,1,1982,2008
1006540,Bergenia crassifolia (L.) Fritsch,1,1990,1990
1006550,Berteroa incana (L.) DC.,7,1982,2008
1006570,Beta vulgaris L.,2,1990,1990
1006600,Betula pendula Roth,8,1982,2022
1006595,Betula pendula aggr.,8,1982,2022
1006640,Bidens cernua L.,0,1966,1966
1006850,Blackstonia acuminata (W. D. J. Koch & Ziz) Domin,0,1966,1966
1006870,Blechnum spicant (L.) Roth,0,1966,1966
1006880,Blitum capitatum L.,0,1966,1966
1006890,Blitum virgatum L.,0,1966,1966
1006960,Borago officinalis L.,2,1990,1990
1007070,Brachypodium pinnatum aggr.,4,1982,2018
1007090,Brachypodium sylvaticum (Huds.) P. Beauv.,12,1918,2021
1007110,Brassica juncea (L.) Czern.,1,2005,2005
1007120,Brassica napus L.,2,1990,2020
1007140,Brassica nigra (L.) W. D. J. Koch,1,1864,1864
1007150,Brassica oleracea L.,3,1990,1990
1007160,Brassica rapa L.,2,1990,1990
1007200,Briza media L.,6,1982,2019
1007210,Bromus arvensis L.,1,1982,2008
1007260,Bromus commutatus Schrad.,2,1990,1994
1007290,Bromus erectus Huds.,39,1982,2022
1007300,Bromus erectus Huds. subsp. erectus,33,1982,2018
1007330,Bromus hordeaceus L.,19,1982,2020
1007360,Bromus inermis Leyss.,4,1982,2008
1007355,Bromus inermis aggr.,5,1982,2008
1007410,Bromus lepidus Holmb.,1,1990,1990
1007420,Bromus madritensis L.,1,1990,1990
1007440,Bromus pumpellianus Scribn.,1,1990,1990
1007450,Bromus racemosus aggr.,2,1990,1994
1007510,Bromus secalinus L.,1,1982,1990
1007505,Bromus secalinus aggr.,1,1982,1990
1007540,Bromus sterilis L.,9,1982,2022
1007550,Bromus tectorum L.,9,1982,2008
1007570,Brunnera macrophylla (Adams) I. M. Johnst.,3,1990,2022
1007590,Bryonia dioica Jacq.,12,1982,2022
1007600,Buddleja davidii Franch.,14,1982,2019
1007620,Buglossoides arvensis (L.) I. M. Johnst.,5,1982,2022
1007630,Buglossoides purpurocaerulea (L.) I. M. Johnst.,1,1982,2020
1007660,Bunias orientalis L.,1,1982,1990
1007670,Bunium bulbocastanum L.,0,1966,1966
1007850,Butomus umbellatus L.,1,1966,1990
1007920,Calamagrostis pseudophragmites (Haller f.) Koeler,0,1966,1966
1008000,Calamintha nepeta aggr.,1,2018,2018
1008040,Calendula officinalis L.,4,1990,1990
1008130,Callitriche palustris L.,1,1990,1990
1008140,Callitriche platycarpa Kütz.,0,1966,1966
1008150,Callitriche stagnalis Scop.,0,1982,1982
1008160,Calluna vulgaris (L.) Hull,1,1982,2018
1008180,Caltha palustris L.,5,1982,2022
1008200,Calystegia sepium (L.) R. Br.,10,1982,2022
1008220,Camelina alyssum (Mill.) Thell.,0,1966,1966
1008250,Camelina sativa (L.) Crantz,0,1966,1966
1008440,Campanula glomerata L.,2,1982,2018
1008510,Campanula patula L.,2,1982,2022
1008520,Campanula patula L. subsp. patula,1,2022,2022
1008550,Campanula persicifolia L.,7,1982,2018
1008610,Campanula rapunculoides L.,7,1982,2018
1008620,Campanula rapunculus L.,5,1990,2018
1008640,Campanula rotundifolia L.,6,1982,2022
1008690,Campanula trachelium L.,5,1982,2022
1008720,Capsella bursa-pastoris (L.) Medik.,24,1982,2022
1008830,Cardamine bulbifera (L.) Crantz,1,1990,1994
1008870,Cardamine flexuosa With.,2,2018,2020
1008855,Cardamine flexuosa aggr.,5,1990,2020
1008890,Cardamine hirsuta L.,9,1982,2022
1008900,Cardamine impatiens L.,1,1990,1994
1008930,Cardamine nemorosa Lej.,1,1990,1990
1008935,Cardamine occulta Hornem.,1,2018,2018
1008990,Cardamine pratensis L.,2,2020,2022
1008970,Cardamine pratensis aggr.,23,1982,2022
1009120,Cardaria draba (L.) Desv.,9,1982,2022
1009130,Carduus acanthoides L.,0,1994,1994
1009140,Carduus crispus L.,2,1982,1990
1009170,Carduus defloratus L.,0,1966,1966
1009180,Carduus defloratus L. subsp. defloratus,0,1966,1966
1009290,Carex acutiformis Ehrh.,3,1990,2021
1009430,Carex brizoides L.,4,1982,1990
1009610,Carex digitata L.,2,1982,1990
1009690,Carex elata All.,1,2008,2008
1009710,Carex elongata L.,0,1966,1966
1009760,Carex flacca Schreb.,8,1982,2019
1009770,Carex flava aggr.,0,1966,1994
1009880,Carex hirta L.,4,1982,2022
1009950,Carex leersii F. W. Schultz,1,1982,2022
1009960,Carex lepidocarpa Tausch,0,1994,1994
1010060,Carex muricata aggr.,7,1982,2022
1010070,Carex nigra (L.) Reichard,0,1994,1994
1010090,Carex ornithopoda Willd.,1,1990,1994
1010110,Carex otrubae Podp.,1,1966,2021
1010120,Carex pairae F. W. Schultz,1,1994,2018
1010130,Carex pallescens L.,1,1982,1990
1010190,Carex pendula Huds.,13,1982,2022
1010220,Carex praecox Schreb.,2,1949,1966
1010230,Carex praecox Schreb. subsp. praecox,2,1949,1966
1010290,Carex remota L.,4,1982,2020
1010370,Carex strigosa Huds.,1,1982,2016
1010390,Carex sylvatica Huds.,10,1982,2021
1010410,Carex umbrosa Host,3,1982,1990
1010440,Carex viridula Michx.,0,1966,1966
1010490,Carlina acaulis L.,0,1966,1966
1010580,Carpinus betulus L.,18,1982,2021
1010610,Carum carvi L.,5,1994,2009
1010650,Catabrosa aquatica (L.) P. Beauv.,0,1966,1966
1010660,Catalpa bignonioides Walter,3,1990,1990
1010750,Celtis australis L.,2,1990,2018
1010760,Celtis occidentalis L.,1,2018,2018
1010790,Centaurea cyanus L.,4,1982,2008
1010820,Centaurea jacea L.,46,1982,2021
1010830,Centaurea jacea L. subsp. jacea,3,1982,1990
1010865,Centaurea jacea aggr.,48,1982,2021
1010920,Centaurea nigra L.,1,2018,2018
1010940,Centaurea paniculata aggr.,7,1990,2020
1010980,Centaurea scabiosa L.,16,1982,2022
1010990,Centaurea scabiosa L. subsp. scabiosa,1,1982,2020
1011060,Centaurea stoebe L.,7,1990,2020
1011070,Centaurea stoebe L. subsp. stoebe,1,2020,2020
1011150,Centaurium pulchellum (Sw.) Druce,1,1994,2008
1011180,Centranthus ruber (L.) DC.,2,1990,2022
1011270,Cerastium arvense L.,3,1982,2015
1011280,Cerastium arvense L. subsp. arvense,1,1982,2015
1011330,Cerastium brachypetalum Pers.,8,1966,2018
1011340,Cerastium brachypetalum Pers. subsp. brachypetalum,6,1982,2018
1011360,Cerastium brachypetalum subsp. tenoreanum (Ser.) Soó,0,1966,1966
1011390,Cerastium fontanum Baumg.,15,1982,2022
1011420,Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet,10,1982,2018
1011430,Cerastium glomeratum Thuill.,13,1982,2020
1011500,Cerastium pumilum Curtis,2,1990,1990
1011490,Cerastium pumilum aggr.,2,1990,1990
1011510,Cerastium semidecandrum L.,8,1982,2020
1011520,Cerastium tomentosum L.,1,1990,1990
1011540,Ceratophyllum demersum L.,1,1990,1994
1011580,Cercis siliquastrum L.,1,1990,1990
1011630,Chaenomeles japonica (Thunb.) Spach,2,1990,2020
1011640,Chaenorrhinum minus (L.) Lange,11,1982,2022
1011720,Chaerophyllum temulum L.,6,1982,2018
1011840,Chelidonium majus L.,13,1982,2022
1011850,Chenopodium album L.,15,1982,2020
1011845,Chenopodium album aggr.,17,1982,2021
1011880,Chenopodium bonus-henricus L.,0,1966,1966
1011910,Chenopodium ficifolium Sm.,1,1966,2017
1011915,Chenopodium giganteum D. Don,1,2021,2021
1011940,Chenopodium hybridum L.,2,1982,2018
1011970,Chenopodium polyspermum L.,7,1982,2018
1012090,Chondrilla juncea L.,2,1990,2019
1012160,Chrysosplenium alternifolium L.,1,1982,1990
1012230,Cichorium intybus L.,9,1982,2022
1012240,Cicuta virosa L.,1,1990,1990
1012280,Circaea lutetiana L.,7,1982,2020
1012310,Cirsium arvense (L.) Scop.,17,1982,2022
1012400,Cirsium oleraceum (L.) Scop.,6,1982,2021
1012420,Cirsium palustre (L.) Scop.,2,1982,2022
1012470,Cirsium vulgare (Savi) Ten.,12,1982,2022
1012620,Clematis vitalba L.,8,1982,2018
1012660,Clinopodium vulgare L.,5,1990,2008
1012810,Colchicum autumnale L.,4,1982,2016
1012930,Commelina communis L.,1,2008,2008
1012970,Consolida ajacis (L.) Schur,2,1982,2005
1013020,Convallaria majalis L.,2,1982,1990
1013030,Convolvulus arvensis L.,18,1982,2021
1013060,Conyza bonariensis (L.) Cronquist,1,2018,2018
1013070,Conyza canadensis (L.) Cronquist,14,1982,2022
1013080,Conyza sumatrensis (Retz.) E. Walker,1,2018,2018
1013140,Cornus mas L.,3,1982,2022
1013160,Cornus sanguinea L.,14,1982,2022
1013280,Corydalis cava (L.) Schweigg. & Körte,5,1982,2022
1013310,Corydalis solida (L.) Clairv.,5,1982,2021
1013320,Corylus avellana L.,22,1982,2022
1013330,Corylus colurna L.,1,2020,2020
1013430,Cotoneaster divaricatus Rehder & E. H. Wilson,3,1990,2018
1013435,Cotoneaster franchetii Bois,1,1990,1990
1013440,Cotoneaster horizontalis Decne.,1,1990,1990
1013490,Cotoneaster salicifolius Franch.,1,1990,1990
1013560,Crataegus laevigata (Poir.) DC.,6,1982,2020
1013590,Crataegus monogyna Jacq.,3,2017,2020
1013580,Crataegus monogyna aggr.,11,1982,2020
1013640,Crepis biennis L.,36,1982,2022
1013660,Crepis capillaris Wallr.,16,1982,2022
1013680,Crepis foetida L.,7,1881,2008
1013710,Crepis mollis (Jacq.) Asch.,0,1966,1966
1013780,Crepis pulchra L.,4,2008,2018
1013820,Crepis setosa Haller f.,6,1982,2008
1013830,Crepis tectorum L.,1,1994,2008
1013850,Crepis vesicaria L.,5,1982,2020
