Taxon_Id,Species,occ,Years (min),Years (max)
50093,Chara hispida aggr.,2,1973,1973
50018,Chara polyacantha A. Braun,2,1973,1973
1019309,Festuca ovina superaggr.,6,1892,2017
50031,Nitella anarthrodactylée,3,1892,1892
50097,Nitella arthrodactylée,3,1892,1892
50040,Nitella syncarpa (Thuill.) Chevall.,1,1892,1892
50041,Nitella tenuissima (Desv.) Kütz.,3,1892,1892
1000000,Abies alba Mill.,3,1982,2013
1000020,Abutilon theophrasti Medik.,1,2011,2011
1000070,Acer campestre L.,5,1982,2016
1000120,Acer platanoides L.,3,1982,2015
1000130,Acer pseudoplatanus L.,8,1982,2017
1000330,Achillea millefolium L.,6,1982,2022
1000340,Achillea millefolium L. subsp. millefolium,1,2015,2015
1000320,Achillea millefolium aggr.,11,1982,2022
1000543,Aconitum lycoctonum L.,0,1982,1982
1000545,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,0,1982,1982
1000930,Aegopodium podagraria L.,7,1982,2017
1000940,Aesculus hippocastanum L.,2,2010,2015
1000990,Aethusa cynapium L.,6,1982,2018
1001010,Agrimonia eupatoria L.,6,1982,2022
1001050,Agrostemma githago L.,4,1982,2021
1001070,Agrostis canina L.,3,1892,2013
1001080,Agrostis capillaris L.,1,1982,2015
1001090,Agrostis gigantea Roth,5,1982,2022
1001130,Agrostis stolonifera L.,8,1971,2017
1001160,Aira caryophyllea L.,0,1966,1966
1001200,Ajuga chamaepitys (L.) Schreb.,1,1920,1966
1001210,Ajuga genevensis L.,1,1951,1982
1001230,Ajuga reptans L.,17,1982,2022
1001740,Alchemilla glabra aggr.,1,1979,1982
1002440,Alchemilla vulgaris aggr.,4,2013,2015
1002470,Alchemilla xanthochlora Rothm.,1,2015,2015
1002510,Alisma plantago-aquatica L.,9,1892,2022
1002520,Alliaria petiolata (M. Bieb.) Cavara & Grande,6,1982,2017
1002560,Allium carinatum L.,1,2022,2022
1002570,Allium carinatum L. subsp. carinatum,1,2022,2022
1002640,Allium lusitanicum Lam.,0,1966,1966
1002680,Allium oleraceum L.,1,1982,2013
1002740,Allium schoenoprasum L.,9,1982,2022
1002790,Allium ursinum L.,2,1982,2017
1002810,Allium vineale L.,2,1982,2013
1002840,Alnus glutinosa (L.) Gaertn.,9,1982,2022
1002850,Alnus incana (L.) Moench,5,1982,2015
1002900,Alopecurus geniculatus L.,3,1966,2022
1002920,Alopecurus pratensis L.,11,1982,2022
1003085,Amaranthus blitum aggr.,5,1982,2020
1003150,Amaranthus emarginatus Uline & W. L. Bray,3,2014,2020
1003170,Amaranthus hybridus aggr.,5,1982,2020
1003210,Amaranthus powellii S. Watson,3,2014,2020
1003220,Amaranthus retroflexus L.,6,1982,2017
1003230,Ambrosia artemisiifolia L.,10,2005,2006
1003300,Ammi majus L.,4,2014,2021
1003350,Anacamptis pyramidalis (L.) Rich.,6,1880,2021
1003380,Anagallis arvensis L.,7,1982,2015
1003770,Anemone nemorosa L.,8,1982,2022
1003780,Anemone ranunculoides L.,2,1982,2020
1003820,Angelica sylvestris L.,6,1892,2022
1003850,Antennaria dioica (L.) Gaertn.,1,1922,1966
1003900,Anthemis tinctoria L.,5,1982,2022
1003970,Anthoxanthum odoratum L.,20,1982,2022
1003960,Anthoxanthum odoratum aggr.,23,1892,2022
1004010,Anthriscus sylvestris (L.) Hoffm.,4,1982,2017
1004070,Anthyllis vulneraria L.,5,2006,2022
1004100,Anthyllis vulneraria subsp. carpatica (Pant.) Nyman,2,2006,2017
1004200,Apera spica-venti (L.) P. Beauv.,2,1982,2013
1004310,Aquilegia atrata W. D. J. Koch,1,1982,2005
1004330,Aquilegia vulgaris L.,5,1920,2015
1004340,Arabidopsis thaliana (L.) Heynh.,1,1982,2015
1004460,Arabis hirsuta (L.) Scop.,3,1939,2006
1004470,Arabis hirsuta aggr.,4,1939,2017
1004610,Arctium lappa L.,1,1966,2012
1004620,Arctium minus Bernh.,0,1982,1982
1004690,Arctostaphylos uva-ursi (L.) Spreng.,1,1922,1966
1004810,Arenaria serpyllifolia L.,2,1982,2013
1004800,Arenaria serpyllifolia aggr.,5,1892,2017
1004900,Armoracia rusticana G. Gaertn. & al.,1,2015,2015
1004930,Arrhenatherum elatius (L.) J. Presl & C. Presl,26,1982,2022
1005150,Artemisia verlotiorum Lamotte,2,1982,2017
1005160,Artemisia vulgaris L.,7,1982,2021
1005180,Arum maculatum L.,7,1982,2022
1005200,Arundo donax L.,1,2017,2017
1005260,Asparagus officinalis L.,3,2015,2017
1005650,Aster amellus L.,1,1973,1982
1005710,Aster novi-belgii aggr.,1,1982,2015
1005750,Aster ×salignus Willd.,1,2015,2015
1005880,Astragalus glycyphyllos L.,1,1982,2013
1006090,Athyrium filix-femina (L.) Roth,4,1982,2017
1006140,Atriplex patula L.,6,1982,2015
1006190,Atropa bella-donna L.,1,1982,2013
1006260,Avena sativa L.,1,1982,1991
1006450,Barbarea vulgaris R. Br.,2,1982,2017
1006490,Bellis perennis L.,8,1982,2022
1006530,Berberis vulgaris L.,6,1982,2021
1006550,Berteroa incana (L.) DC.,0,1966,1966
1006560,Berula erecta (Huds.) Coville,11,1973,2017
1006600,Betula pendula Roth,7,1982,2021
1006595,Betula pendula aggr.,8,1982,2021
1006610,Betula pubescens Ehrh.,1,1992,1992
1006710,Bidens tripartita L.,1,2020,2020
1006720,Bidens tripartita L. subsp. tripartita,1,2020,2020
1006970,Bothriochloa ischaemum (L.) Keng,1,1920,1982
1006990,Botrychium lunaria (L.) Sw.,0,1966,1966
1007070,Brachypodium pinnatum aggr.,7,1982,2017
1007090,Brachypodium sylvaticum (Huds.) P. Beauv.,7,1982,2017
1007120,Brassica napus L.,1,2010,2010
1007200,Briza media L.,16,1972,2022
1007230,Bromus benekenii (Lange) Trimen,2,1982,2015
1007260,Bromus commutatus Schrad.,1,1982,2006
1007290,Bromus erectus Huds.,17,1892,2022
1007300,Bromus erectus Huds. subsp. erectus,7,1982,2021
1007330,Bromus hordeaceus L.,9,1982,2022
1007360,Bromus inermis Leyss.,6,1982,2017
1007355,Bromus inermis aggr.,6,1982,2017
1007460,Bromus racemosus L.,0,1966,1966
1007450,Bromus racemosus aggr.,2,1966,2006
1007540,Bromus sterilis L.,9,1982,2022
1007590,Bryonia dioica Jacq.,0,1966,1966
1007600,Buddleja davidii Franch.,4,1982,2018
1007660,Bunias orientalis L.,0,1966,1966
1007830,Bupleurum rotundifolium L.,0,1966,1966
1007860,Buxus sempervirens L.,1,1992,1992
1007880,Calamagrostis arundinacea (L.) Roth,0,1982,1982
1007890,Calamagrostis canescens (F. H. Wigg.) Roth,2,1892,1982
1007900,Calamagrostis epigejos (L.) Roth,6,1982,2017
1007940,Calamagrostis varia (Schrad.) Host,0,1966,1966
1008180,Caltha palustris L.,4,1973,2013
1008200,Calystegia sepium (L.) R. Br.,12,1982,2022
1008220,Camelina alyssum (Mill.) Thell.,0,1966,1966
1008390,Campanula cochleariifolia Lam.,0,1966,1966
1008440,Campanula glomerata L.,1,1948,1982
1008510,Campanula patula L.,3,1892,2021
1008520,Campanula patula L. subsp. patula,1,2013,2013
1008620,Campanula rapunculus L.,2,1982,2022
1008640,Campanula rotundifolia L.,2,1982,2015
1008690,Campanula trachelium L.,4,1982,2015
1008720,Capsella bursa-pastoris (L.) Medik.,8,1982,2022
1008790,Cardamine amara L.,1,1982,2017
1008855,Cardamine flexuosa aggr.,3,1982,2017
1008890,Cardamine hirsuta L.,10,1982,2022
1008950,Cardamine pentaphyllos (L.) Crantz,0,1966,1966
1008990,Cardamine pratensis L.,3,2022,2022
1008970,Cardamine pratensis aggr.,9,1982,2022
1009120,Cardaria draba (L.) Desv.,1,1966,2013
1009170,Carduus defloratus L.,0,1966,1966
1009180,Carduus defloratus L. subsp. defloratus,0,1966,1966
1009280,Carex acuta L.,2,1977,2022
