Taxon,Koordx,Koordy,Jahr,Ordnung,Familie,
Arabis hirsuta (L.) Scop.,2584692,1197087,2005,,Brassicaceae,BERD
Festuca ovina aggr.,2584692,1197087,2005,,Poaceae,
Spergula arvensis L.,2583500,1197500,2019,,Caryophyllaceae,
Pimpinella saxifraga L.,2584476,1197625,2018,,Apiaceae,
Rhinanthus minor L.,2584476,1197625,2018,,Orobanchaceae,
Rhinanthus minor L.,2584476,1197625,2018,,Orobanchaceae,
Rhinanthus minor L.,2584476,1197625,2018,,Orobanchaceae,
Tragopogon pratensis L.,2584692,1197087,2005,,Asteraceae,
Tragopogon pratensis L.,2584476,1197625,2018,,Asteraceae,
Tragopogon pratensis L.,2584476,1197625,2018,,Asteraceae,
Tragopogon pratensis L.,2584476,1197625,2018,,Asteraceae,
Acer pseudoplatanus L.,2584850,1197010,1996,,Sapindaceae,
Adoxa moschatellina L.,2584850,1197010,1996,,Adoxaceae,
Aegopodium podagraria L.,2584850,1197010,1996,,Apiaceae,
Aegopodium podagraria L.,2584850,1197010,1996,,Apiaceae,
Agrimonia eupatoria L.,2584476,1197625,2018,,Rosaceae,
Agrimonia eupatoria L.,2584476,1197625,2018,,Rosaceae,
Agrimonia eupatoria L.,2584476,1197625,2018,,Rosaceae,
Agrimonia eupatoria L.,2584476,1197625,2018,,Rosaceae,
Agrostis stolonifera L.,2584820,1197270,1996,,Poaceae,
Ajuga reptans L.,2584692,1197087,2005,,Lamiaceae,
Ajuga reptans L.,2584476,1197625,2018,,Lamiaceae,
Ajuga reptans L.,2584476,1197625,2018,,Lamiaceae,
Allium ursinum L.,2584850,1197010,1996,,Amaryllidaceae,
Allium ursinum L.,2584500,1197500,2015,,Amaryllidaceae,
Alnus incana (L.) Moench,2584850,1197010,1996,,Betulaceae,
Anemone nemorosa L.,2584692,1197087,2005,,Ranunculaceae,
Angelica sylvestris L.,2583500,1197500,2020,,Apiaceae,
Anthoxanthum odoratum aggr.,2584692,1197087,2005,,Poaceae,
Anthoxanthum odoratum L.,2584476,1197625,2018,,Poaceae,
Anthoxanthum odoratum L.,2584476,1197625,2018,,Poaceae,
Anthoxanthum odoratum L.,2584476,1197625,2018,,Poaceae,
Aphanes arvensis L.,2583500,1197500,2019,,Rosaceae,
Arenaria serpyllifolia L.,2584692,1197087,2005,,Caryophyllaceae,
Arrhenatherum elatius (L.) J. Presl & C. Presl,2584692,1197087,2005,,Poaceae,
Arrhenatherum elatius (L.) J. Presl & C. Presl,2584476,1197625,2018,,Poaceae,
Arrhenatherum elatius (L.) J. Presl & C. Presl,2584476,1197625,2018,,Poaceae,
Arrhenatherum elatius (L.) J. Presl & C. Presl,2584476,1197625,2018,,Poaceae,
Arrhenatherum elatius (L.) J. Presl & C. Presl,2584476,1197625,2018,,Poaceae,
Arrhenatherum elatius (L.) J. Presl & C. Presl,2584476,1197625,2018,,Poaceae,
Arum maculatum L.,2584850,1197010,1996,,Araceae,
Arum maculatum L.,2584452,1197503,2020,,Araceae,
Arum maculatum L.,2584098,1198010,2020,,Araceae,
Arum maculatum L.,2583449,1197359,2021,,Araceae,
Arum maculatum L.,2584096,1197997,2021,,Araceae,
Barbarea vulgaris R. Br.,2584820,1197270,1996,,Brassicaceae,
Bellis perennis L.,2584476,1197625,2018,,Asteraceae,
Bellis perennis L.,2583999,1197950,2021,,Asteraceae,
Bellis perennis L.,2583867,1197791,2021,,Asteraceae,
Brachypodium pinnatum aggr.,2584692,1197087,2005,,Poaceae,
Briza media L.,2584692,1197087,2005,,Poaceae,
Bromus erectus Huds. subsp. erectus,2584692,1197087,2005,,Poaceae,
Bromus hordeaceus L.,2584692,1197087,2005,,Poaceae,
Bromus hordeaceus L.,2584476,1197625,2018,,Poaceae,
Bromus hordeaceus L.,2584476,1197625,2018,,Poaceae,
Bromus hordeaceus L.,2584476,1197625,2018,,Poaceae,
Buddleja davidii Franch.,2583591,1197436,2021,,Scrophulariaceae,
Calamagrostis varia (Schrad.) Host,2584876,1197271,2020,,Poaceae,
Campanula patula L.,2584476,1197625,2018,,Campanulaceae,
Campanula patula L.,2584476,1197625,2018,,Campanulaceae,
Campanula patula L.,2584476,1197625,2018,,Campanulaceae,
Campanula rapunculoides L.,2584817,1197009,2020,,Campanulaceae,
Capsella bursa-pastoris (L.) Medik.,2583554,1197423,2021,,Brassicaceae,
Cardamine amara L. subsp. amara,2584820,1197270,1996,,Brassicaceae,
Cardamine hirsuta L.,2583891,1197815,2021,,Brassicaceae,
Cardamine hirsuta L.,2583721,1197513,2021,,Brassicaceae,
Cardamine pratensis aggr.,2584476,1197625,2018,,Brassicaceae,
Carex caryophyllea Latourr.,2584692,1197087,2005,,Cyperaceae,
Carex flacca Schreb.,2584692,1197087,2005,,Cyperaceae,
Carex flacca Schreb.,2584876,1197271,2020,,Cyperaceae,
Carex pendula Huds.,2584847,1197218,2020,,Cyperaceae,
Carex pilulifera L.,2583500,1197500,2020,,Cyperaceae,
Centaurea jacea L. subsp. jacea,2584692,1197087,2005,,Asteraceae,
Cerastium fontanum Baumg.,2584692,1197087,2005,,Caryophyllaceae,
Cerastium fontanum Baumg.,2584476,1197625,2018,,Caryophyllaceae,
Cerastium fontanum Baumg.,2584476,1197625,2018,,Caryophyllaceae,
Cerastium fontanum Baumg.,2584476,1197625,2018,,Caryophyllaceae,
Cerastium fontanum Baumg.,2584476,1197625,2018,,Caryophyllaceae,
Cerastium fontanum Baumg.,2584476,1197625,2018,,Caryophyllaceae,
Chrysosplenium alternifolium L.,2584853,1197206,2020,,Saxifragaceae,
Circaea lutetiana L.,2584850,1197010,1996,,Onagraceae,
Cirsium oleraceum (L.) Scop.,2583500,1197500,2020,,Asteraceae,
Clematis vitalba L.,2584056,1197782,2021,,Ranunculaceae,
Clinopodium vulgare L.,2584692,1197087,2005,,Lamiaceae,
Convolvulus arvensis L.,2584692,1197087,2005,,Convolvulaceae,
Conyza canadensis (L.) Cronquist,2584023,1197979,2021,,Asteraceae,
Cornus sanguinea L.,2584088,1198034,2021,,Cornaceae,
Corylus avellana L.,2584850,1197010,1996,,Betulaceae,
Crataegus monogyna aggr.,2584850,1197010,1996,,Rosaceae,
Crepis biennis L.,2584692,1197087,2005,,Asteraceae,
Crepis biennis L.,2584476,1197625,2018,,Asteraceae,
Crepis biennis L.,2584476,1197625,2018,,Asteraceae,
Crepis biennis L.,2584476,1197625,2018,,Asteraceae,
Crepis biennis L.,2584476,1197625,2018,,Asteraceae,
Crepis biennis L.,2584476,1197625,2018,,Asteraceae,
Dactylis glomerata L.,2584476,1197625,2018,,Poaceae,
Dactylis glomerata L.,2584476,1197625,2018,,Poaceae,
Daucus carota L.,2584692,1197087,2005,,Apiaceae,
Daucus carota L.,2584006,1197778,2021,,Apiaceae,
Dianthus armeria L.,2584500,1197500,2018,,Caryophyllaceae,
Dryopteris carthusiana (Vill.) H. P. Fuchs,2583500,1197500,2020,,Dryopteridaceae,
Equisetum hyemale L.,2584850,1197010,1996,,Equisetaceae,
Equisetum hyemale L.,2584850,1197010,1996,,Equisetaceae,
Equisetum hyemale L.,2584853,1197212,2020,,Equisetaceae,
Erigeron annuus (L.) Desf.,2584476,1197625,2018,,Asteraceae,
Eupatorium cannabinum L.,2584877,1197272,2020,,Asteraceae,
Euphorbia cyparissias L.,2584692,1197087,2005,,Euphorbiaceae,
Euphorbia helioscopia L.,2583971,1197982,2021,,Euphorbiaceae,
Euphorbia lathyris L.,2583612,1197450,2021,,Euphorbiaceae,
Fagus sylvatica L.,2584850,1197010,1996,,Fagaceae,
Fagus sylvatica L.,2584101,1197919,2021,,Fagaceae,
Festuca gigantea (L.) Vill.,2584820,1197270,1996,,Poaceae,
Festuca pratensis Huds.,2584476,1197625,2018,,Poaceae,
Festuca pratensis Huds.,2584476,1197625,2018,,Poaceae,
Festuca rubra aggr.,2584692,1197087,2005,,Poaceae,
Festuca rubra aggr.,2584476,1197625,2018,,Poaceae,
Fraxinus excelsior L.,2584850,1197010,1996,,Oleaceae,
Fraxinus excelsior L.,2584850,1197010,1996,,Oleaceae,
Fraxinus excelsior L.,2584066,1197818,2021,,Oleaceae,
Galeopsis tetrahit L.,2584850,1197010,1996,,Lamiaceae,
Galium album Mill.,2584692,1197087,2005,,Rubiaceae,
Galium aparine L.,2584850,1197010,1996,,Rubiaceae,
Galium aparine L.,2583346,1197299,2021,,Rubiaceae,
Galium mollugo aggr.,2584476,1197625,2018,,Rubiaceae,
