Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:8500,Gefässpflanzen,Sumpf-Straussgras,Agrostis canina L.,www.infoflora.ch/flora/1001070,Bern,BE,,508-509,2600102,1199067,9,A,,,2021,5,27,,"Info Flora, Dunja Al Jabaji",Al Jabaji Dunja,10285385,NT,K,,,,,,,,NT,,,,,Poaceae,,INN,,
infoflora:22400,Gefässpflanzen,Gewöhnlicher Gekielter Lauch,Allium carinatum L. subsp. carinatum,www.infoflora.ch/flora/1002570,Bern,BE,,529,2600882,1198954,7,A,,,2012,6,15,,Floreninventar Stadt Bern,Müller Willy,3804196,NT,K,,,,,,,,VU,,,,,Amaryllidaceae,,INN,,
infoflora:22400,Gefässpflanzen,Gewöhnlicher Gekielter Lauch,Allium carinatum L. subsp. carinatum,www.infoflora.ch/flora/1002570,Bern,BE,,506-542,2600500,1198500,707,A,,,2013,,,,Floreninventar Stadt Bern,Müller Willy,3794849,NT,K,,,,,,,,VU,,,,,Amaryllidaceae,,INN,,
infoflora:25500,Gefässpflanzen,Kurzgranniger Fuchsschwanz,Alopecurus aequalis Sobol.,www.infoflora.ch/flora/1002880,Bern,BE,,508-509,2600496,1198474,7,A,,,2012,5,29,,Floreninventar Stadt Bern,Müller Willy,3804198,VU,4,,,1,1,,,,VU,,,,,Poaceae,,INN,,
infoflora:25500,Gefässpflanzen,Kurzgranniger Fuchsschwanz,Alopecurus aequalis Sobol.,www.infoflora.ch/flora/1002880,Bern,BE,,506-542,2600500,1198500,707,A,,,2013,,,,Floreninventar Stadt Bern,Müller Willy,3794854,VU,4,,,1,1,,,,VU,,,,,Poaceae,,INN,,
infoflora:25500,Gefässpflanzen,Kurzgranniger Fuchsschwanz,Alopecurus aequalis Sobol.,www.infoflora.ch/flora/1002880,Bern,BE,"am Dalmaziquai, halb flutend am Schönau-Bächlein nördlich der kleinen Brücke, die das Bächlein überquert",509,2600496,1198474,7,A,"1–10 (Horste, Polster, Büschel)",,2015,6,23,,Floreninventar Stadt Bern,Müller Willy,5160837,VU,4,,,1,1,,,,VU,,,,,Poaceae,,INN,,
infoflora:25700,Gefässpflanzen,Geknieter Fuchsschwanz,Alopecurus geniculatus L.,www.infoflora.ch/flora/1002900,Bern,BE,,509,2600040,1198970,7,A,,,2012,5,18,,Floreninventar Stadt Bern,Müller Willy,3804199,VU,4,Z,,1,0,,,,VU,,,,,Poaceae,,INN,,
infoflora:25700,Gefässpflanzen,Geknieter Fuchsschwanz,Alopecurus geniculatus L.,www.infoflora.ch/flora/1002900,Bern,BE,,506-542,2600500,1198500,707,A,,,2013,,,,Floreninventar Stadt Bern,Müller Willy,3794855,VU,4,Z,,1,0,,,,VU,,,,,Poaceae,,INN,,
infoflora:25700,Gefässpflanzen,Geknieter Fuchsschwanz,Alopecurus geniculatus L.,www.infoflora.ch/flora/1002900,Bern,BE,Ufer Teich,507,2600348,1198484,8,A,,,2014,5,21,,"Info Flora, Steffen Boch",Boch Steffen,4308224,VU,4,Z,,1,0,,,,VU,,,,,Poaceae,,INN,,
infoflora:25700,Gefässpflanzen,Geknieter Fuchsschwanz,Alopecurus geniculatus L.,www.infoflora.ch/flora/1002900,Bern,BE,"Marzili, in Tümpel",508,2600348,1198475,5,A,11–25 (Fläche [m²]),,2016,7,4,,"Info Flora, Michael Jutzi",Jutzi Michael,5347555,VU,4,Z,,1,0,,,,VU,,,,,Poaceae,,INN,,
