Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:40600,Gefässpflanzen,Gewöhnliche Rauhaar-Gänsekresse,Arabis hirsuta (L.) Scop.,www.infoflora.ch/flora/1004460,Neunforn,TG,Neunforn. Niederneunforn. Böschung,"490","2700750","1272825","25",A,,,"2006","5","10",,Naturmuseum Thurgau,Grädel,"6488728",LC,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:130400,Gefässpflanzen,Frauenschuh,Cypripedium calceolus L.,www.infoflora.ch/flora/1014460,Neunforn,TG,,,"2701500","1273500","707",B,11 bis 100,,"2021","7","14",,AGEO Einheimische Orchideen Schweiz,Wollenberg Doris,"11360769",VU,"4",,Z,"2","1",451.1/2,Y,,VU,,,,,Orchidaceae,,INN,,
infoflora:190900,Gefässpflanzen,Gemeine Kugelblume,Globularia bisnagarica L.,www.infoflora.ch/flora/1021730,Neunforn,TG,Neunforn. Niederneunforn. Wiesenbord südexp.,"490","2700825","1272825","20",A,,,"1996","4","27",,Naturmuseum Thurgau,Grädel,"6488863",LC,K,L,,,,,,,VU,,,,,Plantaginaceae,,INN,,
infoflora:206300,Gefässpflanzen,Schopfiger Hufeisenklee,Hippocrepis comosa L.,www.infoflora.ch/flora/1023580,Neunforn,TG,Neunforn. Niederneunforn. Waldrand,"490","2700640","1272925","25",A,,,"2006","5","10",,Naturmuseum Thurgau,Grädel,"6488802",LC,K,L,,,,,,,NT,,,,,Fabaceae,,INN,,
infoflora:312800,Gefässpflanzen,Schopfige Kreuzblume,Polygala comosa Schkuhr,www.infoflora.ch/flora/1034840,Neunforn,TG,Neunforn. Niederneunforn. sonnige Wegböschung,"490","2700950","1272800","50",A,,,"2006","5","10",,Naturmuseum Thurgau,Grädel,"6492167",NT,K,L,,,,,,,VU,,,,,Polygalaceae,,INN,,
infoflora:383100,Gefässpflanzen,Scharfer Mauerpfeffer,Sedum acre L.,www.infoflora.ch/flora/1042730,Neunforn,TG,"Neunforn. Oberneunforn, Hoochbärg-Sangi. Trockenbord","500","2700550","1273000","50",A,,,"1998","6","4",,Naturmuseum Thurgau,Schläfli,"6491850",LC,K,,,,,,,Vollständig geschützt,LC,,,,,Crassulaceae,,INN,,
infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Neunforn,TG,Winterhalden,490-512,"2701349","1272877","169",A,11–25 / 12 Ex.,,"1995",,,,ETH Zürich,Koch Paul,"1438752",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Neunforn,TG,"100m N vom Eichhof, am Waldrand. Ackerrandstreifen neben Wald.","495","2701109","1273513","7",A,"101–250 / Ausdehnung = 24 * 3m; Dichte (Braun-Blanquet) = 4",,"2004","7","14",,"Info Flora, Daniel Schlaepfer",Schlaepfer Daniel,"200278",LC,K,,,,,,,,LC,TypoCH 7.1 : Trittrasen und Ruderalfluren,,,,Apiaceae,,INN,,
infoflora:34900,Gefässpflanzen,Färber-Hundskamille,Anthemis tinctoria L.,www.infoflora.ch/flora/1003900,Indéterminé (ZH),ZH,,488-489,"2700790","1274080","10",A,,,"2014","6","15",,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"5143640",LC,K,,,,,,,,NE,"TypoCH 8 : Pflanzungen, Äcker und Kulturen",,,,Asteraceae,,INN,"1",
infoflora:37000,Gefässpflanzen,Karpaten-Wundklee,Anthyllis vulneraria subsp. carpatica (Pant.) Nyman,www.infoflora.ch/flora/1004100,Neunforn,TG,"Neunforn. Niederneunforn. Böschung, Wiese","490","2700500","1272950","50",A,,,"2006","5","10",,Naturmuseum Thurgau,Grädel,"6493284",LC,K,,,,,,,,LC,,,,,Fabaceae,,INN,,
