Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:96600,Gefässpflanzen,Golddistel,Carlina vulgaris aggr.,www.infoflora.ch/flora/1010550,Uesslingen-Buch,TG,Uesslingen-Buch. Iselisberg. Böschung S-exp,"500","2705000","1271000","1000",A,,,"1997","2","9",,Naturmuseum Thurgau,Grädel,"6483425",LC,K,,,,,,,Vollständig geschützt,NT,,,,,Asteraceae,,INN,,
infoflora:101800,Gefässpflanzen,Weisses Waldvögelein,Cephalanthera damasonium (Mill.) Druce,www.infoflora.ch/flora/1011190,Uesslingen-Buch,TG,,,"2705500","1271500","707",B,1 bis 10,,"2010","10","21",,AGEO Einheimische Orchideen Schweiz,Buchecker Kurt,"3328975",LC,K,,,,,451.1/2,,,LC,,,,,Orchidaceae,,INN,,
infoflora:230800,Gefässpflanzen,Wald-Platterbse,Lathyrus sylvestris L.,www.infoflora.ch/flora/1026090,Uesslingen-Buch,TG,Uesslingen-Buch. Bärlingerhof. Hecke,"474","2705350","1271630","50",A,,,"2002","7","1",,Naturmuseum Thurgau,Schläfli,"6484448",LC,K,L,,,,,,,NT,,,,,Fabaceae,,INN,,
infoflora:322800,Gefässpflanzen,Siebenblättriges Fingerkraut,Potentilla heptaphylla L.,www.infoflora.ch/flora/1035860,Uesslingen-Buch,TG,Uesslingen-Buch. Trüttlikon. Böschung S-exp,"509","2705000","1271000","1000",A,,,"1998","4","5",,Naturmuseum Thurgau,Grädel,"6494625",VU,"4",,Z,"1","1",,,Vollständig geschützt,VU,,,,,Rosaceae,,INN,,
infoflora:341500,Gefässpflanzen,Gift-Hahnenfuss,Ranunculus sceleratus L.,www.infoflora.ch/flora/1037890,Uesslingen-Buch,TG,beim Iselisberg. Riedwiese.,"387","2704500","1271500","707",A,sehr viele,,"1982","7","2",,Kanton Zürich,Bosshard Andreas,"3173520",VU,"4",,,"1","1",,,Vollständig geschützt,VU,,,,,Ranunculaceae,,INN,,
infoflora:443300,Gefässpflanzen,Schild-Ehrenpreis,Veronica scutellata L.,www.infoflora.ch/flora/1049450,Uesslingen-Buch,TG,beim Iselisberg. Riedwiese.,"387","2704500","1271500","707",A,,,"1982","7","2",,Kanton Zürich,Bosshard Andreas,"3109881",VU,"4",,,"1","1",,,Vollständig geschützt,VU,,,,,Plantaginaceae,,INN,,
infoflora:331200,Gefässpflanzen,Grosses Flohkraut,Pulicaria dysenterica (L.) Bernh.,www.infoflora.ch/flora/1036840,Uesslingen-Buch,TG,Uesslingen-Buch. Bärlingerhof. Feuchtgebiet,"474","2705300","1271580","50",A,,,"2002","7","1",,Naturmuseum Thurgau,Schläfli,"6484449",NT,K,L,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:402700,Gefässpflanzen,Elsbeerbaum,Sorbus torminalis (L.) Crantz,www.infoflora.ch/flora/1044820,Uesslingen-Buch,TG,"Bärlingerhof, WR",460-491,"2705673","1271528","100",A,1–10 / 1 Ex.,,"1995",,,,ETH Zürich,Huber Roland,"1436788",LC,K,,,,,,,,NT,,,,,Rosaceae,,INN,,
infoflora:73900,Gefässpflanzen,Echte Zaunwinde,Calystegia sepium (L.) R. Br.,www.infoflora.ch/flora/1008200,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker","495","2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5184312",LC,K,,,,,,,,LC,,,,,Convolvulaceae,,INN,,
infoflora:77900,Gefässpflanzen,Gemeines Hirtentäschel,Capsella bursa-pastoris (L.) Medik.,www.infoflora.ch/flora/1008720,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",489-508,"2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5189048",LC,K,,,,,,,,LC,,,,,Brassicaceae,,INN,,
infoflora:109600,Gefässpflanzen,Vielsamiger Gänsefuss,Chenopodium polyspermum L.,www.infoflora.ch/flora/1011970,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker","495","2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5184313",LC,K,,,,,,,,LC,,,,,Amaranthaceae,,INN,,
infoflora:131800,Gefässpflanzen,Wiesen-Knäuelgras,Dactylis glomerata L.,www.infoflora.ch/flora/1014610,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",489-508,"2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5189049",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
infoflora:143100,Gefässpflanzen,Dorniger Wurmfarn,Dryopteris carthusiana (Vill.) H. P. Fuchs,www.infoflora.ch/flora/1015910,Uesslingen-Buch,TG,"Uesslingen-Buch. Buch, Tannholz. Torfmoor","488","2705000","1271000","1000",A,,,"1984","11","10",,Naturmuseum Thurgau,Huber,"6485037",LC,K,,,,,,,,LC,,,,,Dryopteridaceae,,INN,,
infoflora:146560,Gefässpflanzen,Kriechende Quecke,Elymus repens (L.) Gould,www.infoflora.ch/flora/1016450,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",489-508,"2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5189047",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
infoflora:146560,Gefässpflanzen,Kriechende Quecke,Elymus repens (L.) Gould,www.infoflora.ch/flora/1016450,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker","495","2705442","1271705","4",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5184318",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
infoflora:150600,Gefässpflanzen,Acker-Schachtelhalm,Equisetum arvense L.,www.infoflora.ch/flora/1016920,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",489-508,"2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5189050",LC,K,,,,,,,,LC,,,,,Equisetaceae,,INN,,
infoflora:177350,Gefässpflanzen,Bewimpertes Knopfkraut,Galinsoga quadriradiata Ruiz & Pav.,www.infoflora.ch/flora/1020360,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker","495","2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5184314",,,,,,,,,,,,,,,Asteraceae,,NEO,"1",
infoflora:242700,Gefässpflanzen,Italienisches Raygras,Lolium multiflorum Lam.,www.infoflora.ch/flora/1027300,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker","495","2705442","1271705","4",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5184319",,,,,,,,,,,,,,,Poaceae,,NEO,"1",
infoflora:265900,Gefässpflanzen,Acker-Vergissmeinnicht,Myosotis arvensis Hill,www.infoflora.ch/flora/1029700,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker","495","2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5184315",LC,K,L,,,,,,,LC,,,,,Boraginaceae,,INN,,
infoflora:307900,Gefässpflanzen,Gewöhnlicher Breit-Wegerich,Plantago major L. subsp. major,www.infoflora.ch/flora/1034360,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",489-508,"2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5189051",LC,K,,,,,,,,LC,,,,,Plantaginaceae,,INN,,
infoflora:314300,Gefässpflanzen,Vogel-Knöterich,Polygonum aviculare aggr.,www.infoflora.ch/flora/1034980,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker","495","2705442","1271705","4",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5184947",LC,K,,,,,,,,LC,,,,,Polygonaceae,,INN,,
infoflora:320900,Gefässpflanzen,Gänse-Fingerkraut,Potentilla anserina L.,www.infoflora.ch/flora/1035700,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",489-508,"2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5189052",LC,K,,,,,,,,LC,,,,,Rosaceae,,INN,,
infoflora:324500,Gefässpflanzen,Kriechendes Fingerkraut,Potentilla reptans L.,www.infoflora.ch/flora/1036040,Uesslingen-Buch,TG,"Uesslingen, Weizen-Acker",489-508,"2705442","1271705","100",A,,,"2012","7","10",,"Agroscope, Nina Richner",Richner Nina,"5189053",LC,K,,,,,,,,LC,,,,,Rosaceae,,INN,,
