gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960351331,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10541485517,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Pulmonaria,Pulmonaria obscura,,SPECIES,Pulmonaria obscura Dumort.,Pulmonaria obscura Dumort.,Dumort.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.930907,7.230769,16,,510.29,0,,,2022-03-24T15:08:45.77,24,3,2022,5439925,5439925,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:21.364Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959898557,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10658654017,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,Sambucus ebulus,,SPECIES,Sambucus ebulus L.,Sambucus ebulus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.924493,7.233338,5,,481.65,0,,,2022-07-26T15:23:19.657,26,7,2022,2888722,2888722,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:30.404Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959831929,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10336760674,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Mercurialis,Mercurialis perennis,,SPECIES,Mercurialis perennis L.,Mercurialis perennis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.927178,7.23044,12,,532.56,0,,,2021-04-28T12:25:56.008,28,4,2021,3063016,3063016,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:01.261Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959300233,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10346782259,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Paris,Paris quadrifolia,,SPECIES,Paris quadrifolia L.,Paris quadrifolia L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.922481,7.23866,27,,502.02,0,,,2021-05-09T06:59:05.703,9,5,2021,5295911,5295911,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:03.003Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958946186,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10355144994,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Matricaria,Matricaria discoidea,,SPECIES,Matricaria discoidea DC.,Matricaria discoidea DC.,DC.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.930142,7.232955,83,,475.53,0,,,2021-05-16T10:59:24.213,16,5,2021,3103791,3103791,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:09.440Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958190593,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10234208408,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,Angelica sylvestris,,SPECIES,Angelica sylvestris L.,Angelica sylvestris L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.926667,7.2275,,,,,,,2020-08-09T14:17:20.395,9,8,2020,5371818,5371818,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:07.538Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958003223,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10450175610,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia cyparissias,,SPECIES,Euphorbia cyparissias L.,Euphorbia cyparissias L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.930741,7.229197,19,,590.22,0,,,2021-08-11T07:27:05.085,11,8,2021,3070106,3070106,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:09.526Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956838816,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10102476456,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Agrimonia,Agrimonia eupatoria,,SPECIES,Agrimonia eupatoria L.,Agrimonia eupatoria L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.9225,7.229722,,,561,0,,,2019-08-13T17:05:59.616,13,8,2019,3001956,3001956,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:50.895Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956776840,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10157486104,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Paris,Paris quadrifolia,,SPECIES,Paris quadrifolia L.,Paris quadrifolia L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.925909,7.239292,,,,,,,2020-05-03T12:48:13.645,3,5,2020,5295911,5295911,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:48:42.392Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956143554,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10645044880,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Triticum,Triticum aestivum,,SPECIES,Triticum aestivum L.,Triticum aestivum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.928834,7.224831,52,,528.29,0,,,2022-07-09T13:45:55.319,9,7,2022,7795888,7795888,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:34.648Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3955640778,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10543139102,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Mercurialis,Mercurialis perennis,,SPECIES,Mercurialis perennis L.,Mercurialis perennis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.925741,7.238907,32,,486.57,0,,,2022-03-27T11:01:52.265,27,3,2022,3063016,3063016,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:23.517Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3953576883,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10449080114,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica dioica,,SPECIES,Urtica dioica L.,Urtica dioica L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.930277,7.229467,19,,603.34,0,,,2021-08-09T16:13:21.593,9,8,2021,7960979,7960979,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:29.694Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3889176480,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/127095333,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,Campanula glomerata,,SPECIES,Campanula glomerata L.,Campanula glomerata,,CH,,Bern,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,46.92371,7.222422,1452,,,,,,2022-07-20T16:42:23,20,7,2022,5409933,5409933,HUMAN_OBSERVATION,iNaturalist,Observations,127095333,,asil16,2022-07-20T14:46:06,CC_BY_NC_4_0,asil16,asil16,,,2022-11-17T17:01:56.736Z,StillImage,COORDINATE_ROUNDED
3112193512,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-10054958,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus armeniacus,,SPECIES,Rubus armeniacus Focke,Rubus armeniacus Focke,Focke,CH,,Fr,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,46.92738,7.22196,4,,525,,,,2021-02-28T00:00:00,28,2,2021,2996525,2996525,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-10054958,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:42:40.156Z,,
3112113859,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-10054962,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Buddleja,Buddleja davidii,,SPECIES,Buddleja davidii Franch.,Buddleja davidii Franch.,Franch.,CH,,Fr,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,46.92781,7.22318,4,,524,,,,2021-02-28T00:00:00,28,2,2021,3173338,3173338,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-10054962,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:42:43.836Z,,
2976322977,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10140491990,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium ursinum,,SPECIES,Allium ursinum L.,Allium ursinum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.932639,7.230824,13,,565.2,0,,,2020-04-03T13:36:20.275,3,4,2020,2857601,2857601,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:59.817Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
