gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960203164,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10416582284,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,,SPECIES,Fagus sylvatica L.,Fagus sylvatica L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.937778,7.4475,,,566,0,,,2021-07-04T11:30:58.341,4,7,2021,2882316,2882316,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:13.137Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960196907,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10626429988,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex aquifolium,,SPECIES,Ilex aquifolium L.,Ilex aquifolium L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.941234,7.447744,4,,531.39,0,,,2022-06-18T17:41:52.539,18,6,2022,5414222,5414222,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:39.013Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960155100,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10429557503,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum esculentum,,SPECIES,Fagopyrum esculentum Moench,Fagopyrum esculentum Moench,Moench,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.944628,7.446607,32,,571.41,0,,,2021-07-17T10:10:25.253,17,7,2021,2889373,2889373,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:08.523Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960131778,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10584616929,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Carpinus,Carpinus betulus,,SPECIES,Carpinus betulus L.,Carpinus betulus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.936031,7.440677,21,,554.26,0,,,2022-05-13T18:23:58.18,13,5,2022,2875818,2875818,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:34.570Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960100601,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10364752209,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lapsana,Lapsana communis,,SPECIES,Lapsana communis L.,Lapsana communis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.936056,7.435326,16,,578.47,0,,,2021-05-24T14:04:18.385,24,5,2021,3134857,3134857,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:09.613Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960098254,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10653917410,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus cerasifera,,SPECIES,Prunus cerasifera Ehrh.,Prunus cerasifera Ehrh.,Ehrh.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.944739,7.435078,32,,573.52,0,,,2022-07-20T09:50:30.378,20,7,2022,3021730,3021730,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:55.361Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960051638,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10552918785,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,Alliaria petiolata,,SPECIES,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,(M.Bieb.) Cavara & Grande,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.936627,7.442812,84,,503.01,0,,,2022-04-13T14:38:52.722,13,4,2022,5376075,5376075,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:37.071Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959906030,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10361673910,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,,SPECIES,Fagus sylvatica L.,Fagus sylvatica L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.946792,7.445152,29,,541.86,0,,,2021-05-22T13:58:52.507,22,5,2021,2882316,2882316,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:21.221Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959868577,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10368566738,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Symphytum,Symphytum officinale,,SPECIES,Symphytum officinale L.,Symphytum officinale L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.942512,7.448531,12,,566,0,,,2021-05-28T11:08:27.686,28,5,2021,7558421,7558421,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:05.983Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959834132,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10344660245,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,Alliaria petiolata,,SPECIES,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,(M.Bieb.) Cavara & Grande,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.937535,7.438913,192,,644.75,0,,,2021-05-07T07:34:56.77,7,5,2021,5376075,5376075,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:03.353Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
