gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960368801,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10656075283,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Origanum,Origanum majorana,,SPECIES,Origanum majorana L.,Origanum majorana L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.953276,7.445034,65,,523.55,0,,,2022-07-23T11:49:31.417,23,7,2022,2926615,2926615,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:30.103Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960360608,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10552072698,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine pratensis,,SPECIES,Cardamine pratensis L.,Cardamine pratensis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.959638,7.448055,34,,611.74,0,,,2022-04-12T11:23:03.049,12,4,2022,7972010,7972010,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:46.626Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960279248,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10661899074,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Eranthis,Eranthis hyemalis,,SPECIES,Eranthis hyemalis (L.) Salisb.,Eranthis hyemalis (L.) Salisb.,(L.) Salisb.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.952489,7.460019,24,,600.26,0,,,2022-07-30T20:42:17.42,30,7,2022,3033227,3033227,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:36.321Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960173460,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10447883831,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens parviflora,,SPECIES,Impatiens parviflora DC.,Impatiens parviflora DC.,DC.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.953035,7.445241,9,,550,0,,,2021-08-08T12:25:00.853,8,8,2021,2891782,2891782,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:36.686Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960162326,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10587484541,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum aquilegifolium,,SPECIES,Thalictrum aquilegifolium L.,Thalictrum aquilegiifolium L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.953405,7.444771,14,,594,0,,,2022-05-15T16:47:27.994,15,5,2022,3033131,3033131,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:34.869Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY
3960082187,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10363594305,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Cymbalaria,Cymbalaria muralis,,SPECIES,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.","Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.","P.Gaertn., B.Mey. & Scherb.",CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.960487,7.455803,8,,439.2,0,,,2021-05-23T16:35:16.681,23,5,2021,8200663,8200663,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:06.087Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960066846,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10592695623,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Melittis,Melittis melissophyllum,,SPECIES,Melittis melissophyllum L.,Melittis melissophyllum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.952871,7.445142,11,,562,0,,,2022-05-20T14:07:06.98,20,5,2022,8105693,8105693,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:28.075Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960032274,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10575541852,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Chelidonium,Chelidonium majus,,SPECIES,Chelidonium majus L.,Chelidonium majus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.954022,7.44549,4,,587.9,0,,,2022-05-06T10:38:41.172,6,5,2022,5334186,5334186,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:40.150Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960010777,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10572674636,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Glechoma,Glechoma hederacea,,SPECIES,Glechoma hederacea L.,Glechoma hederacea L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.952694,7.456448,35,,564.14,0,,,2022-05-03T12:32:18.839,3,5,2022,2926557,2926557,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:26.300Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960008121,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10559563336,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,Geranium sanguineum,,SPECIES,Geranium sanguineum L.,Geranium sanguineum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,46.951693,7.455525,9,,600,0,,,2022-04-20T15:56:08.066,20,4,2022,2890920,2890920,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:44.155Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
