gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3959182393,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10543200661,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,Primula veris,,SPECIES,Primula veris L.,Primula veris L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.511298,7.978598,27,,553.29,0,,,2022-03-27T11:55:06.517,27,3,2022,8377689,8377689,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:36.666Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958913168,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10322671387,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine pratensis,,SPECIES,Cardamine pratensis L.,Cardamine pratensis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.506389,7.985278,,,587,0,,,2021-04-10T10:31:11.882,10,4,2021,7972010,7972010,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:04.702Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958239706,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10249418017,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,Angelica sylvestris,,SPECIES,Angelica sylvestris L.,Angelica sylvestris L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.502112,7.974078,4,,626.15,0,,,2020-09-06T06:49:11.35,6,9,2020,5371818,5371818,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:48:55.814Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3957826439,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10629658907,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,Verbascum nigrum,,SPECIES,Verbascum nigrum L.,Verbascum nigrum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.511995,7.977017,30,,549.15,0,,,2022-06-21T23:45:04.048,21,6,2022,3171945,3171945,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:50.203Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956050973,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10363107537,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophularia,Scrophularia nodosa,,SPECIES,Scrophularia nodosa L.,Scrophularia nodosa L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.504468,7.981806,13,,552,0,,,2021-05-23T13:22:04.494,23,5,2021,3170886,3170886,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:00.695Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956019182,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10555470223,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus padus,,SPECIES,Prunus padus L.,Prunus padus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.503384,7.978463,9,,577,0,,,2022-04-16T15:01:12.143,16,4,2022,3021037,3021037,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:46.648Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3955906138,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10555469101,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus padus,,SPECIES,Prunus padus L.,Prunus padus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.503395,7.97849,13,,561,0,,,2022-04-16T15:00:26.735,16,4,2022,3021037,3021037,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:22.314Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3953864420,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10564529711,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus vernus,,SPECIES,Lathyrus vernus (L.) Bernh.,Lathyrus vernus (L.) Bernh.,(L.) Bernh.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.513056,7.975556,,,605,0,,,2022-04-25T21:33:17.422,25,4,2022,5356704,5356704,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:47.135Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3953559099,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10329755755,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine heptaphylla,,SPECIES,Cardamine heptaphylla (L.) O.E.Schulz,Cardamine heptaphylla (Vill.) O.E.Schulz,(Vill.) O.E.Schulz,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.502604,7.97603,65,,571.14,0,,,2021-04-20T11:32:50.717,20,4,2021,3045634,3045634,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:15.629Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3952868465,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10341527285,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Helleborus,Helleborus foetidus,,SPECIES,Helleborus foetidus L.,Helleborus foetidus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.502584,7.976078,94,,565.02,0,,,2021-05-03T10:02:19.241,3,5,2021,6375040,6375040,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:03.177Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
