gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960296201,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10554270115,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus vernus,,SPECIES,Lathyrus vernus (L.) Bernh.,Lathyrus vernus (L.) Bernh.,(L.) Bernh.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.497753,7.973711,16,,647.43,0,,,15.04.22 11:39,15,4,2022,5356704,5356704,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960265734,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10536496755,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tussilago,Tussilago farfara,,SPECIES,Tussilago farfara L.,Tussilago farfara L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.494747,7.966596,21,,591.92,0,,,13.03.22 13:24,13,3,2022,3149879,3149879,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:05,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960265731,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10536491387,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Helleborus,Helleborus foetidus,,SPECIES,Helleborus foetidus L.,Helleborus foetidus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.492669,7.968902,5,,608.87,0,,,13.03.22 13:16,13,3,2022,6375040,6375040,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:47,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959890983,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10643188981,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Inula,Inula helenium,,SPECIES,Inula helenium L.,Inula helenium L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.496087,7.986947,13,,476,0,,,07.07.22 09:20,7,7,2022,3148340,3148340,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:03,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959836157,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10355328966,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Melittis,Melittis melissophyllum,,SPECIES,Melittis melissophyllum L.,Melittis melissophyllum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.492271,7.95594,9,,756.59,0,,,16.05.21 12:43,16,5,2021,8105693,8105693,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:57,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959821037,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10461523481,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia glutinosa,,SPECIES,Salvia glutinosa L.,Salvia glutinosa L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.49916,7.974355,15,,665,0,,,25.08.21 15:26,25,8,2021,2927026,2927026,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:04,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959783511,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10355350469,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,Viburnum lantana,,SPECIES,Viburnum lantana L.,Viburnum lantana L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.491637,7.965849,10,,732.77,0,,,16.05.21 12:53,16,5,2021,2888615,2888615,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:02,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959773548,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10568522135,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cydonia,Cydonia oblonga,,SPECIES,Cydonia oblonga Mill.,Cydonia oblonga Mill.,Mill.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.506984,7.990012,30,,457.78,0,,,30.04.22 09:28,30,4,2022,5362215,5362215,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:06,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959736097,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10570009284,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus vernus,,SPECIES,Lathyrus vernus (L.) Bernh.,Lathyrus vernus (L.) Bernh.,(L.) Bernh.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.497734,7.95759,5,,747.16,0,,,01.05.22 10:56,1,5,2022,5356704,5356704,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959678580,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10586459885,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia pratensis,,SPECIES,Salvia pratensis L.,Salvia pratensis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.510981,7.950316,5,,585.16,0,,,15.05.22 08:34,15,5,2022,2927007,2927007,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:03,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
