gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960285486,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10642311579,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,Convolvulus arvensis,,SPECIES,Convolvulus arvensis L.,Convolvulus arvensis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.584801,8.823815,28,,501.76,0,,,06.07.22 07:57,6,7,2022,2928390,2928390,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:49,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960246499,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10447565427,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,Verbascum nigrum,,SPECIES,Verbascum nigrum L.,Verbascum nigrum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.578088,8.824553,17,,425.28,0,,,08.08.21 06:45,8,8,2021,3171945,3171945,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:46,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960194508,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10593783317,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea scabiosa,,SPECIES,Centaurea scabiosa L.,Centaurea scabiosa L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.583968,8.799098,10,,433,0,,,21.05.22 13:32,21,5,2022,8087525,8087525,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960092932,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10363298886,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia cyparissias,,SPECIES,Euphorbia cyparissias L.,Euphorbia cyparissias L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.587191,8.817521,64,,521.01,0,,,23.05.21 14:37,23,5,2021,3070106,3070106,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:44,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960090365,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10436607929,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans regia,,SPECIES,Juglans regia L.,Juglans regia L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.588866,8.81423,,,,,,,25.07.21 13:25,25,7,2021,3054368,3054368,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:03,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959866650,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10602450516,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus alectorolophus,,SPECIES,Rhinanthus alectorolophus (Scop.) Pollich,Rhinanthus alectorolophus (Scop.) Pollich,(Scop.) Pollich,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.577705,8.798768,6,,428,0,,,28.05.22 12:25,28,5,2022,3172045,3172045,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959863703,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10602449589,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Filipendula,Filipendula vulgaris,,SPECIES,Filipendula vulgaris Moench,Filipendula vulgaris Moench,Moench,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.577506,8.798886,16,,401,0,,,28.05.22 12:24,28,5,2022,2988069,2988069,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:50,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959700052,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10639551886,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Saponaria,Saponaria officinalis,,SPECIES,Saponaria officinalis L.,Saponaria officinalis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.583519,8.800908,8,,430,0,,,03.07.22 07:27,3,7,2022,3085360,3085360,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:03,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959666680,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10593774607,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea scabiosa,,SPECIES,Centaurea scabiosa L.,Centaurea scabiosa L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.583824,8.800256,10,,448,0,,,21.05.22 13:27,21,5,2022,8087525,8087525,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:03,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959612034,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10583744205,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon,,SPECIES,Lamium galeobdolon (L.) L.,Lamium galeobdolon (L.) L.,(L.) L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.557512,8.829983,10,,407.02,0,,,13.05.22 04:31,13,5,2022,2927324,2927324,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:01,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959598998,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10588010046,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Hordeum,Hordeum vulgare,,SPECIES,Hordeum vulgare L.,Hordeum vulgare L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.560301,8.833829,5,,415.37,0,,,16.05.22 07:21,16,5,2022,2706056,2706056,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959554614,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10451266481,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus avellana,,SPECIES,Corylus avellana L.,Corylus avellana L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.561062,8.792178,16,,534.12,0,,,12.08.21 13:59,12,8,2021,2875979,2875979,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:00,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959526517,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10619689615,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago sativa,,SPECIES,Medicago sativa L.,Medicago sativa L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.582557,8.805455,10,,425,0,,,12.06.22 06:30,12,6,2022,9151957,9151957,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:50,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959422489,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10370933454,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,Euonymus europaeus,,SPECIES,Euonymus europaeus L.,Euonymus europaeus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.58064,8.820418,17,,427.77,0,,,30.05.21 07:48,30,5,2021,3169131,3169131,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:44,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959405093,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10552687008,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,Alliaria petiolata,,SPECIES,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,(M.Bieb.) Cavara & Grande,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.570836,8.823763,24,,450.12,0,,,13.04.22 10:05,13,4,2022,5376075,5376075,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:49,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959153974,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10369578285,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica dioica,,SPECIES,Urtica dioica L.,Urtica dioica L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.57262,8.780068,6,,452.06,0,,,29.05.21 09:28,29,5,2021,7960979,7960979,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:45,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959149863,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10551035588,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus spinosa,,SPECIES,Prunus spinosa L.,Prunus spinosa L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.582923,8.802186,8,,421,0,,,10.04.22 16:54,10,4,2022,3023221,3023221,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:47,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959128931,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10351149967,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tragopogon,Tragopogon pratensis,,SPECIES,Tragopogon pratensis L.,Tragopogon pratensis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.572557,8.779957,,,453.01,0,,,13.05.21 08:45,13,5,2021,5386897,5386897,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:45,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959087221,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10349555495,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus padus,,SPECIES,Prunus padus L.,Prunus padus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.562126,8.818775,,,,,,,11.05.21 12:59,11,5,2021,3021037,3021037,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:45,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959067318,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10257921956,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Origanum,Origanum vulgare,,SPECIES,Origanum vulgare L.,Origanum vulgare L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.581121,8.827826,50,,396.9,0,,,21.09.20 13:07,21,9,2020,2926612,2926612,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:59,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959018637,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10407153579,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans regia,,SPECIES,Juglans regia L.,Juglans regia L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.560489,8.826553,65,,400.51,0,,,26.06.21 18:08,26,6,2021,3054368,3054368,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:58,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958991045,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10625018505,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium eriophorum,,SPECIES,Cirsium eriophorum (L.) Scop.,Cirsium eriophorum (L.) Scop.,(L.) Scop.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.56224,8.821929,4,,442,0,,,17.06.22 08:41,17,6,2022,3112620,3112620,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:02,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958968964,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10227885028,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Filipendula,Filipendula ulmaria,,SPECIES,Filipendula ulmaria (L.) Maxim.,Filipendula ulmaria (L.) Maxim.,(L.) Maxim.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.562116,8.82068,18,,407.3,0,,,30.07.20 10:55,30,7,2020,2987999,2987999,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:42,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
