gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960261620,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10481144053,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens glandulifera,,SPECIES,Impatiens glandulifera Royle,Impatiens glandulifera Royle,Royle,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.586126,8.842941,5,,488.46,0,,,2021-09-24T10:48:41.796,24,9,2021,2891770,2891770,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:16.375Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959206272,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10307569468,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Pulmonaria,Pulmonaria obscura,,SPECIES,Pulmonaria obscura Dumort.,Pulmonaria obscura Dumort.,Dumort.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.586292,8.842642,5,,486.96,0,,,2021-03-10T12:05:13.96,10,3,2021,5439925,5439925,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:12.478Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958650965,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10200354228,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Agrostemma,Agrostemma githago,,SPECIES,Agrostemma githago L.,Agrostemma githago L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.58681,8.840941,5,,491.7,0,,,2020-06-22T10:27:49.505,22,6,2020,3085368,3085368,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:48:48.637Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3957513224,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10646378298,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Hyssopus,Hyssopus officinalis,,SPECIES,Hyssopus officinalis L.,Hyssopus officinalis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.583145,8.832292,19,,468.67,0,,,2022-07-10T16:52:00.4,10,7,2022,5341387,5341387,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:57.813Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956967390,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10179442020,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine impatiens,,SPECIES,Cardamine impatiens L.,Cardamine impatiens L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.586906,8.840604,11,,493.11,0,,,2020-05-29T10:41:01.454,29,5,2020,3046187,3046187,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:48:45.576Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956778186,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10182647373,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Beta,Beta vulgaris,,SPECIES,Beta vulgaris L.,Beta vulgaris L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.588465,8.82825,16,,555.92,0,,,2020-06-01T09:47:26.934,1,6,2020,8971274,8971274,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:52.527Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956608275,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10103491938,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Agrimonia,Agrimonia eupatoria,,SPECIES,Agrimonia eupatoria L.,Agrimonia eupatoria L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.586389,8.831111,,,535,0,,,2019-08-17T15:29:51.886,17,8,2019,3001956,3001956,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:51.477Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3955642538,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10379607935,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Melittis,Melittis melissophyllum,,SPECIES,Melittis melissophyllum L.,Melittis melissophyllum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.58833,8.836312,5,,506.2,0,,,2021-06-05T21:34:59.74,5,6,2021,8105693,8105693,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:15.324Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3955317144,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10481147523,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Borago,Borago officinalis,,SPECIES,Borago officinalis L.,Borago officinalis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.586105,8.84346,10,,491.21,0,,,2021-09-24T10:54:51.087,24,9,2021,2926110,2926110,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:17.095Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3955203118,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10406409196,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia tanacetifolia,,SPECIES,Phacelia tanacetifolia Benth.,Phacelia tanacetifolia Benth.,Benth.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.5859,8.843107,40,,480.07,0,,,2021-06-26T10:16:52.156,26,6,2021,2928226,2928226,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:29.315Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
