gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3961285664,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/140763213,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea jacea,,SPECIES,Centaurea jacea L.,Centaurea jacea,,CH,,Zürich,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,47.385956,8.521111,35,,,,,,2022-11-01T12:31:48,1,11,2022,3128547,3128547,HUMAN_OBSERVATION,iNaturalist,Observations,140763213,,biodiversityrocks,2022-11-01T11:32:09,CC_BY_NC_4_0,biodiversityrocks,biodiversityrocks,,,2022-11-17T17:01:10.475Z,StillImage,COORDINATE_ROUNDED
3961076706,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/140858937,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,Viburnum rhytidophyllum,,SPECIES,Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.,Viburnum rhytidophyllum,,CH,,Zürich,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,47.380381,8.536755,699,,,,,,2022-11-02T09:58:35,2,11,2022,2888625,2888625,HUMAN_OBSERVATION,iNaturalist,Observations,140858937,,dietera,2022-11-02T08:59:04,CC_BY_NC_4_0,dietera,dietera,,,2022-11-17T17:02:02.971Z,StillImage,COORDINATE_ROUNDED
3960286227,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10643587733,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa spinosissima,,SPECIES,Rosa spinosissima L.,Rosa spinosissima L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.390512,8.535028,16,,436,0,,,2022-07-07T17:12:09.228,7,7,2022,3002333,3002333,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:57.358Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960239370,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10405147894,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea scabiosa,,SPECIES,Centaurea scabiosa L.,Centaurea scabiosa L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.392394,8.535217,10,,508,0,,,2021-06-25T09:18:26.917,25,6,2021,8087525,8087525,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:28.428Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960148995,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10586991224,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,Geranium sanguineum,,SPECIES,Geranium sanguineum L.,Geranium sanguineum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.389834,8.523576,18,,480,0,,,2022-05-15T13:10:38.264,15,5,2022,2890920,2890920,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:34.833Z,,COUNTRY_DERIVED_FROM_COORDINATES
3960138146,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10372991726,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium aparine,,SPECIES,Galium aparine L.,Galium aparine L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.386088,8.53703,16,,379.29,0,,,2021-05-31T12:59:29.536,31,5,2021,2913548,2913548,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:01.755Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960087234,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10597640455,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Epilobium,Epilobium montanum,,SPECIES,Epilobium montanum L.,Epilobium montanum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.384381,8.541084,8,,510,0,,,2022-05-24T11:35:52.127,24,5,2022,3664083,3664083,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:23.934Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960080940,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10447851913,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium tomentosum,,SPECIES,Cerastium tomentosum L.,Cerastium tomentosum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.390826,8.526143,,,,,,,2021-08-08T11:58:12.356,8,8,2021,3085438,3085438,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:12.145Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960023384,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10586990330,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,Geranium nodosum,,SPECIES,Geranium nodosum L.,Geranium nodosum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.389913,8.523617,16,,503.54,0,,,2022-05-15T13:10:14.016,15,5,2022,2890287,2890287,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:35.806Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960016187,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10355345699,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Onopordum,Onopordum acanthium,,SPECIES,Onopordum acanthium L.,Onopordum acanthium L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.381687,8.535626,65,,406.46,0,,,2021-05-16T12:51:18.66,16,5,2021,3094900,3094900,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:05.147Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
