Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:40600,Gefässpflanzen,Gewöhnliche Rauhaar-Gänsekresse,Arabis hirsuta (L.) Scop.,www.infoflora.ch/flora/1004460,Laupen,BE,Laupenau. Exposition: W; Hauptvegetation: Halbtrockenrasen mit Fettzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,478,2584692,1197087,5,A,,,2005,5,13,,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,480113,LC,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:168590,Gefässpflanzen,Schaf-Schwingel,Festuca ovina aggr.,www.infoflora.ch/flora/1019310,Laupen,BE,Laupenau. Exposition: W; Hauptvegetation: Halbtrockenrasen mit Fettzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,478,2584692,1197087,5,A,,,2005,5,13,,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,480114,LC,K,,,,,,,,NT,,,,,Poaceae,,INN,,
infoflora:404300,Gefässpflanzen,Acker-Spark,Spergula arvensis L.,www.infoflora.ch/flora/1044970,Gurmels,FR,,,2583500,1197500,707,B,,,2019,6,15,,"Info Flora, Andreas Gygax",Gygax Andreas,7814965,VU,4,Z,,1,0,,,,VU,,,,,Caryophyllaceae,,INN,,
infoflora:304000,Gefässpflanzen,Gewöhnliche Kleine Bibernelle,Pimpinella saxifraga L.,www.infoflora.ch/flora/1033970,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,,2018,6,7,,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12447798,LC,K,,,,,,,,NT,,,,,Apiaceae,,INN,,
infoflora:344800,Gefässpflanzen,Kleiner Klappertopf,Rhinanthus minor L.,www.infoflora.ch/flora/1038290,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,,2018,6,7,,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12448989,LC,K,L,,,,,,,NT,,,,,Orobanchaceae,,INN,,
infoflora:344800,Gefässpflanzen,Kleiner Klappertopf,Rhinanthus minor L.,www.infoflora.ch/flora/1038290,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,,2018,6,7,,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12448991,LC,K,L,,,,,,,NT,,,,,Orobanchaceae,,INN,,
infoflora:344800,Gefässpflanzen,Kleiner Klappertopf,Rhinanthus minor L.,www.infoflora.ch/flora/1038290,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,,2018,6,7,,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12448990,LC,K,L,,,,,,,NT,,,,,Orobanchaceae,,INN,,
infoflora:422950,Gefässpflanzen,Wiesen-Bocksbart,Tragopogon pratensis L.,www.infoflora.ch/flora/1047180,Laupen,BE,Laupenau. Exposition: W; Hauptvegetation: Halbtrockenrasen mit Fettzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,478,2584692,1197087,5,A,,,2005,5,13,,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,480093,LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:422950,Gefässpflanzen,Wiesen-Bocksbart,Tragopogon pratensis L.,www.infoflora.ch/flora/1047180,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,,2018,6,7,,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12449762,LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:422950,Gefässpflanzen,Wiesen-Bocksbart,Tragopogon pratensis L.,www.infoflora.ch/flora/1047180,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,,2018,6,7,,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12449763,LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:422950,Gefässpflanzen,Wiesen-Bocksbart,Tragopogon pratensis L.,www.infoflora.ch/flora/1047180,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,,2018,6,7,,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12449764,LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Mühleberg,BE,"Saane, Laupenau",480,2584850,1197010,50,A,,,1996,,,,Université de Neuchâtel,Roulier Christian,1570822,LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
infoflora:6300,Gefässpflanzen,Bisamkraut,Adoxa moschatellina L.,www.infoflora.ch/flora/1000880,Mühleberg,BE,"Saane, Laupenau",480,2584850,1197010,50,A,,,1996,,,,Université de Neuchâtel,Roulier Christian,1606609,LC,K,,,,,,,,LC,,,,,Adoxaceae,,INN,,
infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau",480,2584850,1197010,50,A,,,1996,,,,Université de Neuchâtel,Roulier Christian,1600342,LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau",480,2584850,1197010,50,A,,,1996,,,,Université de Neuchâtel,Roulier Christian,1606602,LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
infoflora:7400,Gefässpflanzen,Kleiner Odermennig,Agrimonia eupatoria L.,www.infoflora.ch/flora/1001010,Laupen,BE,Muehleberg,478,2584476,1197625,5,A,,,2018,6,7,,"Info Flora, Daniel Slodowicz",Kurtogullari Yasemin,12443607,LC,K,L,,,,,,,LC,,,,,Rosaceae,,INN,,
