Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:600,Gefässpflanzen,Schneeballblättriger Ahorn,Acer opalus Mill.,www.infoflora.ch/flora/1000110,Bern,BE,,498-515,2600407,1200216,10,A,,,2018,7,31,,Universität Bern,Eggenberg Stefan,6824327,LC,K,,,,,,,,NT,,,,,Sapindaceae,,INN,2,C
infoflora:600,Gefässpflanzen,Schneeballblättriger Ahorn,Acer opalus Mill.,www.infoflora.ch/flora/1000110,Bern,BE,,500,2600407,1200204,4,A,,,2019,8,28,,Universität Bern,Magnin Olivier,8245126,LC,K,,,,,,,,NT,,,,,Sapindaceae,,INN,2,C
infoflora:600,Gefässpflanzen,Schneeballblättriger Ahorn,Acer opalus Mill.,www.infoflora.ch/flora/1000110,Bern,BE,Jardin botanique de Berne,500,2600413,1200214,4,A,1–10 (Individuen),,2020,8,11,,"Info Flora, Ralph Bolliger",Bolliger Ralph,9698216,LC,K,,,,,,,,NT,,,,,Sapindaceae,,INN,2,C
infoflora:3540,Gefässpflanzen,Blauer Eisenhut,Aconitum napellus L.,www.infoflora.ch/flora/1000563,Bern,BE,,518,2600482,1200232,6,A,,,2019,2,27,,Universität Bern,Magnin Olivier,7507945,LC,,,,,,,,,NT,,,,,Ranunculaceae,,INN,2,C
infoflora:5700,Gefässpflanzen,Venushaar,Adiantum capillus-veneris L.,www.infoflora.ch/flora/1000810,Bern,BE,Botanischer Garten,515,2600480,1200210,50,A,,,2015,3,13,,"Info Flora, Christoph Hochstrasser",Hochstrasser Christoph,5321646,VU,4,,,1,1,451.1/2,,,CR(PE),,,,,Pteridaceae,,INN,2,C
infoflora:7600,Gefässpflanzen,Grosser Odermennig,Agrimonia procera Wallr.,www.infoflora.ch/flora/1001020,Bern,BE,,530-532,2600521,1200299,10,A,,,2019,5,15,,Universität Bern,Eggenberg Stefan,7734962,VU,4,Z,Z,1,1,,,,EN,,,,,Rosaceae,,INN,2,S
infoflora:7600,Gefässpflanzen,Grosser Odermennig,Agrimonia procera Wallr.,www.infoflora.ch/flora/1001020,Bern,BE,,531-532,2600522,1200311,4,A,,,2021,6,9,,"Info Flora, Adrian Möhl",Möhl Adrian,12152152,VU,4,Z,Z,1,1,,,,EN,,,,,Rosaceae,,INN,,
infoflora:7600,Gefässpflanzen,Grosser Odermennig,Agrimonia procera Wallr.,www.infoflora.ch/flora/1001020,Bern,BE,,531-532,2600522,1200311,4,A,,,2021,6,9,,"Info Flora, Adrian Möhl",Bornand Christophe,10355804,VU,4,Z,Z,1,1,,,,EN,,,,,Rosaceae,,INN,,
infoflora:7600,Gefässpflanzen,Grosser Odermennig,Agrimonia procera Wallr.,www.infoflora.ch/flora/1001020,Bern,BE,Mit Eidechsenburg,531,2600520,1200316,4,A,,,2021,6,9,,Universität Bern,Möhl Adrian,10347137,VU,4,Z,Z,1,1,,,,EN,,,,,Rosaceae,,INN,,
infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Bern,BE,,496-562,2600500,1200500,707,A,,,2012,,,,Floreninventar Stadt Bern,Möhl Adrian,4091488,EN,3,Z,,2,0,,,,DD,,,,,Caryophyllaceae,,INN,,
infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Bern,BE,,536,2600546,1200677,7,A,,,2012,6,27,,Floreninventar Stadt Bern,Möhl Adrian,4091589,EN,3,Z,,2,0,,,,DD,,,,,Caryophyllaceae,,INN,2,C
infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Bern,BE,,559,2601184,1200809,7,A,,,2016,6,14,,Floreninventar Stadt Bern,Moser Ursula,5313651,EN,3,Z,,2,0,,,,DD,,,,,Caryophyllaceae,,INN,2,C
infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Bern,BE,,507-586,2601500,1200500,707,A,,,2016,,,,Floreninventar Stadt Bern,Moser Ursula,5313597,EN,3,Z,,2,0,,,,DD,,,,,Caryophyllaceae,,INN,2,I
infoflora:10100,Gefässpflanzen,Gelber Günsel,Ajuga chamaepitys (L.) Schreb.,www.infoflora.ch/flora/1001200,Bern,BE,,525-530,2600475,1200256,6,A,1–10 (Individuen),,2022,8,23,,"Info Flora, Konrad Egli",Egli Konrad,12564637,VU,4,L,,1,0,,,,EN,,,,,Lamiaceae,,INN,2,C
infoflora:21800,Gefässpflanzen,Lanzettblättriger Froschlöffel,Alisma lanceolatum With.,www.infoflora.ch/flora/1002500,Bern,BE,,498-523,2600499,1200172,39,A,,,2022,9,5,,"COMECO project, WSL & Info Flora",de Witte Lucienne,12627446,EN,3,,,2,2,,,,EN,,,,,Alismataceae,,INN,2,C
infoflora:21800,Gefässpflanzen,Lanzettblättriger Froschlöffel,Alisma lanceolatum With.,www.infoflora.ch/flora/1002500,Bern,BE,,528-530,2600509,1200273,2,A,,,2022,8,19,,"COMECO project, WSL & Info Flora",de Witte Lucienne,12591701,EN,3,,,2,2,,,,EN,,,,,Alismataceae,,INN,2,C
