Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:36790,Gefässpflanzen,Echter Wundklee,Anthyllis vulneraria L.,www.infoflora.ch/flora/1004070,Hellikon,AG,"Walledal. Exposition: SW; Hauptvegetation: echter Halbtrockenrasen; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.",407-409,"2636110","1262850","5",A,,,"1998","5","15",,BAFU / OFEV / UFAM (TWW - PPS),Mayer Cornelia,"447677",LC,K,L*,,,,,,Vollständig geschützt,LC,,,,,Fabaceae,,INN,,
infoflora:36790,Gefässpflanzen,Echter Wundklee,Anthyllis vulneraria L.,www.infoflora.ch/flora/1004070,Zuzgen,AG,"Walledal. Exposition: SW; Hauptvegetation: echter Halbtrockenrasen; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.",448-451,"2636149","1263216","5",A,,,"1998","5","15",,BAFU / OFEV / UFAM (TWW - PPS),Mayer Cornelia,"447770",LC,K,L*,,,,,,Vollständig geschützt,LC,,,,,Fabaceae,,INN,,
infoflora:206300,Gefässpflanzen,Schopfiger Hufeisenklee,Hippocrepis comosa L.,www.infoflora.ch/flora/1023580,Zuzgen,AG,"Walledal. Exposition: SW; Hauptvegetation: echter Halbtrockenrasen; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.",448-451,"2636149","1263216","5",A,,,"1998","5","15",,BAFU / OFEV / UFAM (TWW - PPS),Mayer Cornelia,"447769",LC,K,L,,,,,,Vollständig geschützt,LC,,,,,Fabaceae,,INN,,
infoflora:350550,Gefässpflanzen,Stumpfblättrige Rose,Rosa tomentella Léman,www.infoflora.ch/flora/1038960,Zuzgen,AG,Hecke 2018 nicht gefunden bv,454-457,"2635530","1263763","10",A,"1",,"2016","10","4",,"Kanton Aargau, Jurapark Aargau",Brogle Amandus,"5533684",VU,"4",,Z,"1","1",,,,NE,,,,,Rosaceae,,INN,,
infoflora:325100,Gefässpflanzen,Frühlings-Fingerkraut,Potentilla verna L.,www.infoflora.ch/flora/1036090,Zuzgen,AG,"Walledal. Exposition: SW; Hauptvegetation: echter Halbtrockenrasen; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.",448-451,"2636149","1263216","5",A,,,"1998","5","15",,BAFU / OFEV / UFAM (TWW - PPS),Mayer Cornelia,"447767",LC,K,L,,,,,,Vollständig geschützt,LC,,,,,Rosaceae,,INN,,
infoflora:325100,Gefässpflanzen,Frühlings-Fingerkraut,Potentilla verna L.,www.infoflora.ch/flora/1036090,Zuzgen,AG,Walledal. Halbtrockenrasen.,"460","2636200","1263175","177",A,mässig (z.B. 10-50 Ex.),,"2008","4","13",,"Flora AG (Botanikgruppe Aargau), Hansjakob Belser",Belser Hansjakob,"3067111",LC,K,L,,,,,,Vollständig geschützt,LC,TypoCH 4.2.4 : Mitteleuropäischer Halbtrockenrasen,,,,Rosaceae,,INN,,
infoflora:349900,Gefässpflanzen,Wein-Rose,Rosa rubiginosa L.,www.infoflora.ch/flora/1038880,Zuzgen,AG,Waldrand nicht gefunden 2018 BV,422-432,"2635644","1263021","10",A,"1",,"2016","10","4",,"Kanton Aargau, Jurapark Aargau",Brogle Amandus,"5533667",NT,K,L,,,,,,,NT,,,,,Rosaceae,,INN,,
infoflora:349900,Gefässpflanzen,Wein-Rose,Rosa rubiginosa L.,www.infoflora.ch/flora/1038880,Zuzgen,AG,Weide,485-490,"2635508","1263929","10",A,"1",,"2016","10","4",,"Kanton Aargau, Jurapark Aargau",Brogle Amandus,"5533680",NT,K,L,,,,,,,NT,,,,,Rosaceae,,INN,"2",C
infoflora:349900,Gefässpflanzen,Wein-Rose,Rosa rubiginosa L.,www.infoflora.ch/flora/1038880,Zuzgen,AG,Hecke,"440","2636014","1263238","5",A,"1",,"2016","9","25",,"Kanton Aargau, Jurapark Aargau",Brogle Amandus,"5533695",NT,K,L,,,,,,,NT,,,,,Rosaceae,,INN,"2",C
infoflora:349900,Gefässpflanzen,Wein-Rose,Rosa rubiginosa L.,www.infoflora.ch/flora/1038880,Zuzgen,AG,Hecke,423-432,"2635893","1263306","10",A,"1",,"2016","10","4",,"Kanton Aargau, Jurapark Aargau",Brogle Amandus,"5533689",NT,K,L,,,,,,,NT,,,,,Rosaceae,,INN,"2",C
infoflora:403100,Gefässpflanzen,Ästiger Igelkolben,Sparganium erectum L.,www.infoflora.ch/flora/1044890,Zuzgen,AG,,398-400,"2635833","1263004","8",A,,,"2019","5","27",,"Info Flora, Alexander Indermaur",Indermaur Alexander,"7757116",NT,K,,,,,,,,NT,,,,,Typhaceae,,INN,,
infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Hellikon,AG,"Walledal. Exposition: SW; Hauptvegetation: echter Halbtrockenrasen; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.",407-409,"2636110","1262850","5",A,,,"1998","5","15",,BAFU / OFEV / UFAM (TWW - PPS),Mayer Cornelia,"447676",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Hellikon,AG,"Walledal. Exposition: SW; Hauptvegetation: echter Halbtrockenrasen; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.",407-409,"2636110","1262850","5",A,,,"1998","5","15",,BAFU / OFEV / UFAM (TWW - PPS),Mayer Cornelia,"447665",LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
infoflora:28900,Gefässpflanzen,Zurückgekrümmter Amarant,Amaranthus retroflexus L.,www.infoflora.ch/flora/1003220,Hellikon,AG,,,"2636500","1263500","707",B,,,"2002","8","13",,Kanton Aargau,Kradolfer Ursula,"7282757",,,,,,,,,,,,,,,Amaranthaceae,,NEO,"1",
