Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:101800,Gefässpflanzen,Weisses Waldvögelein,Cephalanthera damasonium (Mill.) Druce,www.infoflora.ch/flora/1011190,Hellikon,AG,,,"2635500","1261500","707",B,1 bis 10,,"2020","5","20",,AGEO Einheimische Orchideen Schweiz,Buchecker Kurt,"10749596",LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Orchidaceae,,INN,,
infoflora:270100,Gefässpflanzen,Nestwurz,Neottia nidus-avis (L.) Rich.,www.infoflora.ch/flora/1030140,Hellikon,AG,,,"2635500","1260500","707",B,1–10 / 1 Ex.,,"1993","5","27",,AGEO Einheimische Orchideen Schweiz,Kurz Albert,"1164399",LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Orchidaceae,,INN,,
infoflora:270100,Gefässpflanzen,Nestwurz,Neottia nidus-avis (L.) Rich.,www.infoflora.ch/flora/1030140,Hellikon,AG,,,"2635500","1261500","707",B,1 bis 10,,"2020","5","20",,AGEO Einheimische Orchideen Schweiz,Buchecker Kurt,"10749597",LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Orchidaceae,,INN,,
infoflora:277950,Gefässpflanzen,Bienen-Ragwurz,Ophrys apifera Huds.,www.infoflora.ch/flora/1031070,Hellikon,AG,,550-553,"2635774","1261160","3",A,,,"2019","6","16",,"Info Flora, Claudia Schaub",Schaub Claudia,"8118458",VU,"4",Z*,,"1","1",451.1/2,,Vollständig geschützt,VU,,,,,Orchidaceae,,INN,,
infoflora:440200,Gefässpflanzen,Acker-Ehrenpreis,Veronica agrestis L.,www.infoflora.ch/flora/1049100,Hellikon,AG,,,"2636500","1261500","707",B,,,"2006","5","3",,Kanton Aargau,Kradolfer Ursula,"7262883",LC,K,L,,,,,,,VU,,,,,Plantaginaceae,,INN,,
infoflora:440200,Gefässpflanzen,Acker-Ehrenpreis,Veronica agrestis L.,www.infoflora.ch/flora/1049100,Hellikon,AG,,,"2636500","1261500","707",B,,,"2011","4","26",,Kanton Aargau,Kradolfer Ursula,"7268023",LC,K,L,,,,,,,VU,,,,,Plantaginaceae,,INN,,
infoflora:29600,Gefässpflanzen,Spitzorchis,Anacamptis pyramidalis (L.) Rich.,www.infoflora.ch/flora/1003350,Wegenstetten,AG,,,"2635500","1260500","707",B,1–10 /  1 Ex.,,"1988","7","1",,AGEO Einheimische Orchideen Schweiz,Schnyder Gaston,"1158833",NT,K,L,,,,451.1/2,,Vollständig geschützt,NT,,,,,Orchidaceae,,INN,,
infoflora:29600,Gefässpflanzen,Spitzorchis,Anacamptis pyramidalis (L.) Rich.,www.infoflora.ch/flora/1003350,Wegenstetten,AG,,,"2635500","1260500","707",B,1 bis 10,,"2000","6","15",,AGEO Einheimische Orchideen Schweiz,Lüssi Walter,"4346829",NT,K,L,,,,451.1/2,,Vollständig geschützt,NT,,,,,Orchidaceae,,INN,,
infoflora:29600,Gefässpflanzen,Spitzorchis,Anacamptis pyramidalis (L.) Rich.,www.infoflora.ch/flora/1003350,Wegenstetten,AG,,,"2635500","1260500","707",B,1–10 / 1 bis 10,,"2003","6","8",,AGEO Einheimische Orchideen Schweiz,Blattner Peter,"1158834",NT,K,L,,,,451.1/2,,Vollständig geschützt,NT,,,,,Orchidaceae,,INN,,
infoflora:36790,Gefässpflanzen,Echter Wundklee,Anthyllis vulneraria L.,www.infoflora.ch/flora/1004070,Wegenstetten,AG,"Aerfematt / Buechmatt. Exposition: SE; Hauptvegetation: Halbtrockenrasen mit Fettzeigern; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.",525-569,"2635423","1260080","180",A,,,"1998","6","8",,BAFU / OFEV / UFAM (TWW - PPS),Martin Monika,"440809",LC,K,L*,,,,,,Vollständig geschützt,LC,,,,,Fabaceae,,INN,,
