Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:135500,Gefässpflanzen,Kartäuser-Nelke,Dianthus carthusianorum L.,www.infoflora.ch/flora/1015120,Frick,AG,,554-556,"2640701","1262427","2",A,,,"2022","4","29",,"Info Flora, Werner Hecker",Hecker Werner,"11777314",LC,K,,,,,,,Vollständig geschützt,NT,,,,,Caryophyllaceae,,INN,,
infoflora:396000,Gefässpflanzen,Acker-Waldnelke,Silene noctiflora L.,www.infoflora.ch/flora/1044010,Frick,AG,,,"2641500","1262500","707",B,,,"2017","8","9",,BAFU / OFEV / UFAM,Stalling Thomas,"7235422",VU,"4",,,"1","0",,,,VU,,,,,Caryophyllaceae,,INN,,
infoflora:396000,Gefässpflanzen,Acker-Waldnelke,Silene noctiflora L.,www.infoflora.ch/flora/1044010,Frick,AG,Am Strassenrand neben Wiese,532-536,"2641111","1262174","3",A,11–25 (Individuen),,"2017","8","9",,"Info Flora, Thomas Stalling",Stalling Thomas,"6188248",VU,"4",,,"1","0",,,,VU,,,,,Caryophyllaceae,,INN,,
infoflora:99200,Gefässpflanzen,Berg-Flockenblume,Centaurea montana L.,www.infoflora.ch/flora/1010890,Gipf-Oberfrick,AG,Tiersteinberg-Ambleije,612-662,"2640237","1261387","50",A,,,"1998","6","10",,"Flora AG (Botanikgruppe Aargau), Theophil Schläpfer",Schläpfer Theophil,"3062729",LC,K,L,,,,,,Vollständig geschützt,LC,,,,,Asteraceae,,INN,,
infoflora:99200,Gefässpflanzen,Berg-Flockenblume,Centaurea montana L.,www.infoflora.ch/flora/1010890,Gipf-Oberfrick,AG,Tiersteinberg-Ambleije,612-662,"2640237","1261387","50",A,,,"1999","5","26",,"Flora AG (Botanikgruppe Aargau), Theophil Schläpfer",Schläpfer Theophil,"3062730",LC,K,L,,,,,,Vollständig geschützt,LC,,,,,Asteraceae,,INN,,
infoflora:99200,Gefässpflanzen,Berg-Flockenblume,Centaurea montana L.,www.infoflora.ch/flora/1010890,Gipf-Oberfrick,AG,Tiersteinberg-Ambleije,612-662,"2640237","1261387","50",A,,,"2000","6","5",,"Flora AG (Botanikgruppe Aargau), Theophil Schläpfer",Schläpfer Theophil,"3062731",LC,K,L,,,,,,Vollständig geschützt,LC,,,,,Asteraceae,,INN,,
infoflora:99200,Gefässpflanzen,Berg-Flockenblume,Centaurea montana L.,www.infoflora.ch/flora/1010890,Gipf-Oberfrick,AG,Tiersteinberg-Ambleije,607-671,"2640237","1261387","71",A,häufig (z.B. 50-250 Ex.),,"2006","5","24",,"Flora AG (Botanikgruppe Aargau), Theophil Schläpfer",Schläpfer Theophil,"3066194",LC,K,L,,,,,,Vollständig geschützt,LC,,,,,Asteraceae,,INN,,
infoflora:99200,Gefässpflanzen,Berg-Flockenblume,Centaurea montana L.,www.infoflora.ch/flora/1010890,Gipf-Oberfrick,AG,Tiersteinberg. Tannen-Buchenwald mit Fichte angereichert,"618","2640293","1261376","18",A,mässig (z.B. 10-50 Ex.),,"2013","6","18",,"Flora AG (Botanikgruppe Aargau), Theophil Schläpfer",Schläpfer Theophil,"4769183",LC,K,L,,,,,,Vollständig geschützt,LC,,,,,Asteraceae,,INN,,
infoflora:102000,Gefässpflanzen,Rotes Waldvögelein,Cephalanthera rubra (L.) Rich.,www.infoflora.ch/flora/1011210,Gipf-Oberfrick,AG,,,"2640500","1261500","707",B,1–10 / 1 bis 10,,"2003","7","15",,AGEO Einheimische Orchideen Schweiz,"Stierli Josef, Stierli Elisabeth","1210924",LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Orchidaceae,,INN,,
infoflora:149600,Gefässpflanzen,Braunrote Stendelwurz,Epipactis atrorubens Besser,www.infoflora.ch/flora/1016740,Gipf-Oberfrick,AG,,,"2640500","1261500","707",B,11–25 / 11 bis 100,,"2003","7","15",,AGEO Einheimische Orchideen Schweiz,"Stierli Josef, Stierli Elisabeth","1210925",LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Orchidaceae,,INN,,
infoflora:149660,Gefässpflanzen,Gewöhnliche Breitblättrige Stendelwurz,Epipactis helleborine (L.) Crantz,www.infoflora.ch/flora/1016770,Gipf-Oberfrick,AG,,,"2640500","1261500","707",B,1–10 / 1 bis 10,,"2003","7","15",,AGEO Einheimische Orchideen Schweiz,"Stierli Josef, Stierli Elisabeth","1210926",LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Orchidaceae,,INN,,
infoflora:149660,Gefässpflanzen,Gewöhnliche Breitblättrige Stendelwurz,Epipactis helleborine (L.) Crantz,www.infoflora.ch/flora/1016770,Gipf-Oberfrick,AG,,,"2640500","1261500","707",B,11–25 / 11 bis 100,,"2003","7","15",,AGEO Einheimische Orchideen Schweiz,"Stierli Josef, Stierli Elisabeth","1210939",LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Orchidaceae,,INN,,
infoflora:193200,Gefässpflanzen,Langspornige Handwurz,Gymnadenia conopsea (L.) R. Br.,www.infoflora.ch/flora/1021950,Gipf-Oberfrick,AG,,,"2640500","1261500","707",B,1–10 / 1 bis 10,,"2003","7","15",,AGEO Einheimische Orchideen Schweiz,"Stierli Josef, Stierli Elisabeth","1210940",LC,K,L,,,,451.1/2,,Vollständig geschützt,LC,,,,,Orchidaceae,,INN,,
infoflora:242000,Gefässpflanzen,Grosses Zweiblatt,Listera ovata (L.) R. Br.,www.infoflora.ch/flora/1027220,Gipf-Oberfrick,AG,,,"2640500","1261500","707",B,1–10 / 1 bis 10,,"2003","7","15",,AGEO Einheimische Orchideen Schweiz,"Stierli Josef, Stierli Elisabeth","1210941",LC,K,L,,,,451.1/2,,Vollständig geschützt,LC,,,,,Orchidaceae,,INN,,
