Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:39100,Gefässpflanzen,Gemeine Akelei,Aquilegia vulgaris L.,www.infoflora.ch/flora/1004330,Basel,BS,"Bundesplatz. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: Strassenraum.","278","2610269","1266727","52",A,Bestandesklasse: klein,,"2008","6","6",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4159761",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Ranunculaceae,,INN,,
infoflora:39100,Gefässpflanzen,Gemeine Akelei,Aquilegia vulgaris L.,www.infoflora.ch/flora/1004330,Basel,BS,"Elsässerbahn bis Gottfriedk. E. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.","278","2609626","1266966","94",A,Bestandesklasse: gross,,"2008","5","28",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4153603",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Ranunculaceae,,INN,,
infoflora:39100,Gefässpflanzen,Gemeine Akelei,Aquilegia vulgaris L.,www.infoflora.ch/flora/1004330,Basel,BS,"Verkehrsgarten Wasgenring. Hecken, Gebuesche, Feldgehoelze. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",277-278,"2609445","1267454","81",A,Bestandesklasse: mittel,,"2009","5","1",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4160279",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Ranunculaceae,,INN,,
infoflora:44600,Gefässpflanzen,Echte Osterluzei,Aristolochia clematitis L.,www.infoflora.ch/flora/1004830,Basel,BS,"Rabatte mit Ruderalarten (Hordeum murinum, Cichorium, Amaranthus...) Natürlich?!","279","2609369","1266487","4",A,1–10 (Fläche [m²]),,"2019","7","4",,"Info Flora, Nico Heer",Heer Nico,"8053754",EN,"3",Z,,"1","0",,,Vollständig geschützt,NE,,,,,Aristolochiaceae,,INN,"2",Ix
infoflora:67900,Gefässpflanzen,Acker-Steinsame,Buglossoides arvensis (L.) I. M. Johnst.,www.infoflora.ch/flora/1007620,Basel,BS,,"280","2609941","1266294","4",A,26–50 (Individuen),,"2022","5","2",,"Flora beider Basel, Thomas Stalling",Stalling Thomas,"11793242",NT,K,L,,,,,,,EN,,,,,Boraginaceae,,INN,,
infoflora:76500,Gefässpflanzen,Pfirsichblättrige Glockenblume,Campanula persicifolia L.,www.infoflora.ch/flora/1008550,Basel,BS,"Elsässerbahn bis Allschwilerstr. W. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.",277-278,"2609595","1267220","168",A,Bestandesklasse: klein,,"2008","5","28",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4153649",LC,K,,,,,,,,NT,,,,,Campanulaceae,,INN,,
infoflora:76500,Gefässpflanzen,Pfirsichblättrige Glockenblume,Campanula persicifolia L.,www.infoflora.ch/flora/1008550,Basel,BS,"Elsässerbahn bis Gottfriedk. W. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.","278","2609604","1266964","95",A,Bestandesklasse: klein,,"2008","5","28",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4153616",LC,K,,,,,,,,NT,,,,,Campanulaceae,,INN,,
infoflora:76500,Gefässpflanzen,Pfirsichblättrige Glockenblume,Campanula persicifolia L.,www.infoflora.ch/flora/1008550,Basel,BS,"Elsässerbahn bis Gottfriedk. E. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.","278","2609626","1266966","94",A,Bestandesklasse: mittel,,"2008","5","28",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4153604",LC,K,,,,,,,,NT,,,,,Campanulaceae,,INN,,
infoflora:99995,Gefässpflanzen,Skabiosen-Flockenblume,Centaurea scabiosa L.,www.infoflora.ch/flora/1010980,Basel,BS,"Verkehrsgarten Wasgenring. Hecken, Gebuesche, Feldgehoelze. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",277-278,"2609445","1267454","81",A,Bestandesklasse: mittel,,"2009","5","1",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4160275",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:101800,Gefässpflanzen,Weisses Waldvögelein,Cephalanthera damasonium (Mill.) Druce,www.infoflora.ch/flora/1011190,Basel,BS,"Bundesplatz. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: Strassenraum.","278","2610269","1266727","52",A,Bestandesklasse: gross,,"2008","6","6",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4150683",LC,K,,,,,451.1/2,,,LC,,,,,Orchidaceae,,INN,,
infoflora:101800,Gefässpflanzen,Weisses Waldvögelein,Cephalanthera damasonium (Mill.) Druce,www.infoflora.ch/flora/1011190,Basel,BS,"Basel, Bundesplatz, Rabatte","278","2610277","1266716","20",A,,,"2016","5","17",,"Info Flora, Edi Füllemann",Füllemann Edi,"5284800",LC,K,,,,,451.1/2,,,LC,,,,,Orchidaceae,,INN,,
infoflora:121500,Gefässpflanzen,Festknolliger Lerchensporn,Corydalis solida (L.) Clairv.,www.infoflora.ch/flora/1013310,Basel,BS,"Paulusstrasse, Rabatte","255","2610488","1266833","50",A,,,"2015","4","17",,"Info Flora, Lucas Förderer",Förderer Lucas,"5212983",LC,K,,,,,,,,VU,"TypoCH 9 : Bauten, Anlagen",,,,Papaveraceae,,INN,,
infoflora:121500,Gefässpflanzen,Festknolliger Lerchensporn,Corydalis solida (L.) Clairv.,www.infoflora.ch/flora/1013310,Basel,BS,"Basel, Pauluskirche, Baumscheibe",275-278,"2610386","1266759","20",A,,,"2015","3","24",,"Info Flora, Edi Füllemann",Füllemann Edi,"4574815",LC,K,,,,,,,,VU,,,,,Papaveraceae,,INN,,
infoflora:121500,Gefässpflanzen,Festknolliger Lerchensporn,Corydalis solida (L.) Clairv.,www.infoflora.ch/flora/1013310,Basel,BS,,"278","2610356","1266987","3",A,,,"2021","3","25",,"Flora beider Basel, Michael Ryf",Ryf Michael,"10123788",LC,K,,,,,,,,VU,,,,,Papaveraceae,,INN,,
infoflora:132000,Gefässpflanzen,Aschersons Knäuelgras,Dactylis polygama Horv.,www.infoflora.ch/flora/1014650,Basel,BS,"Schützenmattpark. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",276-278,"2610227","1266938","191",A,Bestandesklasse: gross,,"2009","4","30",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4160181",NT,K,,,,,,,,NT,,,,,Poaceae,,INN,,
infoflora:132630,Gefässpflanzen,Fuchs' Gefleckte Fingerwurz,Dactylorhiza maculata subsp. fuchsii (Druce) Hyl.,www.infoflora.ch/flora/1014775,Basel,BS,,,"2610500","1267500","707",B,11 bis 100,,"2015","5","27",,AGEO Einheimische Orchideen Schweiz,Fischer Walter,"5461265",LC,,,,,,451.1/2,,,LC,,,,,Orchidaceae,,INN,,
infoflora:132630,Gefässpflanzen,Fuchs' Gefleckte Fingerwurz,Dactylorhiza maculata subsp. fuchsii (Druce) Hyl.,www.infoflora.ch/flora/1014775,Basel,BS,,,"2610500","1267500","707",B,11 bis 100,,"2016","5","25",,AGEO Einheimische Orchideen Schweiz,Fischer Walter,"6415628",LC,,,,,,451.1/2,,,LC,,,,,Orchidaceae,,INN,,
infoflora:135500,Gefässpflanzen,Kartäuser-Nelke,Dianthus carthusianorum L.,www.infoflora.ch/flora/1015120,Basel,BS,"Elsässerbahn Böschung Marschalkenstr. (nordexp.). Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.",279-280,"2609862","1266333","100",A,Bestandesklasse: klein,,"2008","5","21",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4154003",LC,K,,,,,,,,VU,,,,,Caryophyllaceae,,INN,,
infoflora:141200,Gefässpflanzen,Mauer-Felsenblümchen,Draba muralis L.,www.infoflora.ch/flora/1015730,Basel,BS,"Elsässer Bahn. Exposition: E; Hauptvegetation: pionierhafter artenarmer Halbtrockenrasen; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.",277-278,"2609639","1267128","400",A,,,"1995","5","11",,BAFU / OFEV / UFAM (TWW - PPS),Eggenberg Stefan,"530186",NT,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:141200,Gefässpflanzen,Mauer-Felsenblümchen,Draba muralis L.,www.infoflora.ch/flora/1015730,Basel,BS,"Elsässerbahn bis Gottfriedk. E. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.","278","2609626","1266966","94",A,Bestandesklasse: gross,,"2008","5","28",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4153601",NT,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:141200,Gefässpflanzen,Mauer-Felsenblümchen,Draba muralis L.,www.infoflora.ch/flora/1015730,Basel,BS,"Elsässerbahn bis Allschwilerstr. E. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.",277-278,"2609619","1267219","172",A,Bestandesklasse: gross,,"2008","5","28",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4153620",NT,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:141200,Gefässpflanzen,Mauer-Felsenblümchen,Draba muralis L.,www.infoflora.ch/flora/1015730,Basel,BS,"Elsässerbahn, Bündnerstr. E. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.",276-277,"2609627","1267464","70",A,Bestandesklasse: klein,,"2008","5","28",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4153661",NT,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:141200,Gefässpflanzen,Mauer-Felsenblümchen,Draba muralis L.,www.infoflora.ch/flora/1015730,Basel,BS,"Elsässerbahn bis Bündnerstr. W. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.",276-277,"2609606","1267466","73",A,Bestandesklasse: mittel,,"2008","5","8",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4153677",NT,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:141200,Gefässpflanzen,Mauer-Felsenblümchen,Draba muralis L.,www.infoflora.ch/flora/1015730,Basel,BS,"Elsässerbahn bis Wanderstr. E. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.","278","2609657","1266760","106",A,Bestandesklasse: mittel,,"2008","5","26",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4153565",NT,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:141200,Gefässpflanzen,Mauer-Felsenblümchen,Draba muralis L.,www.infoflora.ch/flora/1015730,Basel,BS,"Elsässerbahn bis Neubadbrücke. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.",279-280,"2609879","1266348","98",A,Bestandesklasse: mittel,,"2008","5","21",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4153991",NT,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:141200,Gefässpflanzen,Mauer-Felsenblümchen,Draba muralis L.,www.infoflora.ch/flora/1015730,Basel,BS,"St. Gallerring, Wanderstrasse-Buchenstrasse. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: Strassenraum.","278","2609693","1267077","194",A,Bestandesklasse: klein,,"2008","4","19",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4158576",NT,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:168590,Gefässpflanzen,Schaf-Schwingel,Festuca ovina aggr.,www.infoflora.ch/flora/1019310,Basel,BS,"General Guisan-Promenade. Wiesen, Weiden, Scherrasen. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",278-279,"2609740","1266541","121",A,Bestandesklasse: mittel,,"2008","8","29",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4158894",LC,K,,,,,,,,NT,,,,,Poaceae,,INN,,
