Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:24300,Gefässpflanzen,Schlangen-Lauch,Allium scorodoprasum L.,www.infoflora.ch/flora/1002750,Basel,BS,,271-272,"2610719","1267546","16",A,,,"2021","6","8",,"Flora beider Basel, Ramon Müller",Müller Ramon,"10339336",NT,K,,,,,,,,NT,,,,,Amaryllidaceae,,INN,,
infoflora:29610,Gefässpflanzen,Gewöhnliche Spitzorchis,Anacamptis pyramidalis (L.) Rich. subsp. pyramidalis,www.infoflora.ch/flora/1003351,Basel,BS,,263-264,"2610768","1267864","14",A,1–10 (Individuen),,"2022","5","21",,"Flora beider Basel, Bigna Steiner",Steiner Bigna,"12077878",NT,K,,,,,451.1/2,,,VU,,,,,Orchidaceae,,INN,,
infoflora:39100,Gefässpflanzen,Gemeine Akelei,Aquilegia vulgaris L.,www.infoflora.ch/flora/1004330,Basel,BS,"St. Johannstoranlage. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",253-257,"2610831","1268439","55",A,Bestandesklasse: mittel,,"2008","5","3",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4155692",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Ranunculaceae,,INN,,
infoflora:44600,Gefässpflanzen,Echte Osterluzei,Aristolochia clematitis L.,www.infoflora.ch/flora/1004830,Basel,BS,"Parietaria Kolllegiengebäude. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: Strassenraum.",270-271,"2610828","1267504","56",A,Bestandesklasse: mittel,,"2008","8","28",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4151694",EN,"3",Z,,"1","0",,,Vollständig geschützt,NE,,,,,Aristolochiaceae,,INN,,
infoflora:44600,Gefässpflanzen,Echte Osterluzei,Aristolochia clematitis L.,www.infoflora.ch/flora/1004830,Basel,BS,,250-251,"2611359","1268235","24",A,,,"2019","10","7",,"Info Flora, Ramon Müller",Müller Ramon,"8461560",EN,"3",Z,,"1","0",,,Vollständig geschützt,NE,,,,,Aristolochiaceae,,INN,"2",S
infoflora:48700,Gefässpflanzen,Europäische Haselwurz,Asarum europaeum L.,www.infoflora.ch/flora/1005220,Basel,BS,"Petersgraben, schattiger Garten","255","2611067","1267828","5",A,,,"2015","5","17",,"Info Flora, Lucas Förderer",Förderer Lucas,"5212872",LC,K,,,,,,,,NT,"TypoCH 8 : Pflanzungen, Äcker und Kulturen",,,,Aristolochiaceae,,INN,"2",Ix
infoflora:48700,Gefässpflanzen,Europäische Haselwurz,Asarum europaeum L.,www.infoflora.ch/flora/1005220,Basel,BS,Petersgraben. schattiger Garten.,"255","2611067","1267828","5",A,,,"2015","5","17",,"Info Flora, Lucas Förderer",Förderer Lucas,"4602460",LC,K,,,,,,,,NT,"TypoCH 8 : Pflanzungen, Äcker und Kulturen",,,,Aristolochiaceae,,INN,"2",Ix
infoflora:58150,Gefässpflanzen,Südliche Schwarznessel,Ballota nigra subsp. meridionalis (Bég.) Bég.,www.infoflora.ch/flora/1006380,Basel,BS,"Kleinbasel, Jungstrasse. Verwilderter Vorgarten.","260","2610595","1268537","7",A,,,"2007","10","27",,"Info Flora, Lucas Förderer",Förderer Lucas,"1261888",NT,K,L,,,,,,,NT,"TypoCH 9 : Bauten, Anlagen",,,,Lamiaceae,,INN,,
infoflora:58150,Gefässpflanzen,Südliche Schwarznessel,Ballota nigra subsp. meridionalis (Bég.) Bég.,www.infoflora.ch/flora/1006380,Basel,BS,"Gepflästerte Bermen zw. Johanniterbrücke und Dreirosenbrücke. Ruderalstandorte, Trittfluren, Pflaesterungen. Hauptnutzung: Fliessgewaesser.",250-255,"2610927","1268549","345",A,Bestandesklasse: klein,,"2008","7","9",,Kanton Basel Stadt (Naturinventar),Lüthi Roland,"4151472",NT,K,L,,,,,,,NT,,,,,Lamiaceae,,INN,,
infoflora:58150,Gefässpflanzen,Südliche Schwarznessel,Ballota nigra subsp. meridionalis (Bég.) Bég.,www.infoflora.ch/flora/1006380,Basel,BS,"Erdbock-Rasen St. Johann. Wiesen, Weiden, Scherrasen. Hauptnutzung: Fliessgewaesser.",250-255,"2610898","1268527","224",A,Bestandesklasse: klein,,"2008","6","5",,Kanton Basel Stadt (Naturinventar),Lüthi Roland,"4151193",NT,K,L,,,,,,,NT,,,,,Lamiaceae,,INN,,
infoflora:70500,Gefässpflanzen,Buchs,Buxus sempervirens L.,www.infoflora.ch/flora/1007860,Basel,BS,"Parietaria Kolllegiengebäude. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: Strassenraum.",270-271,"2610828","1267504","56",A,Bestandesklasse: klein,,"2008","8","28",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4159773",NT,K,,,,,,,Teilweise geschützt,VU,,,,,Buxaceae,,INN,"1",
infoflora:72000,Gefässpflanzen,Bergminze,Calamintha nepeta aggr.,www.infoflora.ch/flora/1008000,Basel,BS,,249-250,"2611593","1267620","6",A,,,"2020","7","7",,"Info Flora, Edwin Leisibach",Leisibach Edwin,"9166898",LC,K,,,,,,,,NT,,,,,Lamiaceae,,INN,,
infoflora:76500,Gefässpflanzen,Pfirsichblättrige Glockenblume,Campanula persicifolia L.,www.infoflora.ch/flora/1008550,Basel,BS,"Sankt Johanns-Rheinweg, Böschung an Rhein","265","2611023","1268091","5",A,,,"2015","5","29",,"Info Flora, Lucas Förderer",Förderer Lucas,"5212946",LC,K,,,,,,,,NT,"TypoCH 9 : Bauten, Anlagen",,,,Campanulaceae,,INN,,
infoflora:96600,Gefässpflanzen,Golddistel,Carlina vulgaris aggr.,www.infoflora.ch/flora/1010550,Basel,BS,"Grossbasler Rheinberme zw. Hotel Drei König und Johanniterbrücke. Ruderalstandorte, Trittfluren, Pflaesterungen. Hauptnutzung: Fliessgewaesser.",250-256,"2611054","1268042","183",A,Bestandesklasse: klein,,"2008","7","9",,Kanton Basel Stadt (Naturinventar),Lüthi Roland,"4151160",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:96600,Gefässpflanzen,Golddistel,Carlina vulgaris aggr.,www.infoflora.ch/flora/1010550,Basel,BS,,250-256,"2611080","1267994","7",A,,,"2020","7","7",,"Info Flora, Edwin Leisibach",Leisibach Edwin,"9166904",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:96500,Gefässpflanzen,Gewöhnliche Golddistel,Carlina vulgaris L.,www.infoflora.ch/flora/1010560,Basel,BS,Rheinbord,"254","2611112","1267943","4",A,,,"2022","9","17",,"Flora beider Basel, Frieda Suda",Suda Frieda,"12639064",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:96500,Gefässpflanzen,Gewöhnliche Golddistel,Carlina vulgaris L.,www.infoflora.ch/flora/1010560,Basel,BS,,"254","2611105","1267943","2",A,,,"2022","3","3",,"Info Flora, Werner Hecker",Hecker Werner,"11371644",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:99995,Gefässpflanzen,Skabiosen-Flockenblume,Centaurea scabiosa L.,www.infoflora.ch/flora/1010980,Basel,BS,"Erdbock-Rasen St. Johann. Wiesen, Weiden, Scherrasen. Hauptnutzung: Fliessgewaesser.",250-255,"2610898","1268527","224",A,Bestandesklasse: mittel,,"2008","6","5",,Kanton Basel Stadt (Naturinventar),Lüthi Roland,"4151178",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:99995,Gefässpflanzen,Skabiosen-Flockenblume,Centaurea scabiosa L.,www.infoflora.ch/flora/1010980,Basel,BS,"St. Johannspark Wiese/Ruderal. Wiesen, Weiden, Scherrasen. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",255-257,"2610793","1268575","105",A,Bestandesklasse: gross,,"2008","6","13",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4155706",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:99995,Gefässpflanzen,Skabiosen-Flockenblume,Centaurea scabiosa L.,www.infoflora.ch/flora/1010980,Basel,BS,"Gepflästerte Bermen zw. Johanniterbrücke und Dreirosenbrücke. Ruderalstandorte, Trittfluren, Pflaesterungen. Hauptnutzung: Fliessgewaesser.",250-255,"2610927","1268549","345",A,Bestandesklasse: klein,,"2008","7","9",,Kanton Basel Stadt (Naturinventar),Lüthi Roland,"4151229",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:99995,Gefässpflanzen,Skabiosen-Flockenblume,Centaurea scabiosa L.,www.infoflora.ch/flora/1010980,Basel,BS,,"254","2610894","1268413","2",A,,,"2022","5","10",,"Flora beider Basel, Werner Hecker",Hecker Werner,"11807408",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:99995,Gefässpflanzen,Skabiosen-Flockenblume,Centaurea scabiosa L.,www.infoflora.ch/flora/1010980,Basel,BS,,"250","2610934","1268304","2",A,,,"2022","5","10",,"Flora beider Basel, Werner Hecker",Hecker Werner,"11807417",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:99995,Gefässpflanzen,Skabiosen-Flockenblume,Centaurea scabiosa L.,www.infoflora.ch/flora/1010980,Basel,BS,,"255","2610897","1268380","2",A,,,"2022","5","10",,"Flora beider Basel, Werner Hecker",Hecker Werner,"11807414",LC,K,,,,,,,,NT,,,,,Asteraceae,,INN,,
infoflora:100000,Gefässpflanzen,Gewöhnliche Skabiosen-Flockenblume,Centaurea scabiosa L. subsp. scabiosa,www.infoflora.ch/flora/1010990,Basel,BS,Bei St. Johanns-Park. Uferböschung an Rhein.,"255","2610888","1268559","20",A,,,"2013","10","4",,"Info Flora, Lucas Förderer",Förderer Lucas,"4195369",LC,K,L,,,,,,,NT,"TypoCH 4 : Grünland (Naturrasen, Wiesen und Weiden)",,,,Asteraceae,,INN,,
infoflora:100650,Gefässpflanzen,Stoebe-Flockenblume,Centaurea stoebe L.,www.infoflora.ch/flora/1011060,Basel,BS,"Gepflästerte Bermen zw. Johanniterbrücke und Dreirosenbrücke. Ruderalstandorte, Trittfluren, Pflaesterungen. Hauptnutzung: Fliessgewaesser.",250-255,"2610927","1268549","345",A,Bestandesklasse: klein,,"2008","7","9",,Kanton Basel Stadt (Naturinventar),Lüthi Roland,"4151455",VU,"4",,,"1","0",,,,,,,,,Asteraceae,,INN,,
infoflora:100650,Gefässpflanzen,Stoebe-Flockenblume,Centaurea stoebe L.,www.infoflora.ch/flora/1011060,Basel,BS,"Grossbasler Rheinberme zw. Hotel Drei König und Johanniterbrücke. Ruderalstandorte, Trittfluren, Pflaesterungen. Hauptnutzung: Fliessgewaesser.",250-256,"2611054","1268042","183",A,Bestandesklasse: klein,,"2008","7","9",,Kanton Basel Stadt (Naturinventar),Lüthi Roland,"4151140",VU,"4",,,"1","0",,,,,,,,,Asteraceae,,INN,,
infoflora:100650,Gefässpflanzen,Stoebe-Flockenblume,Centaurea stoebe L.,www.infoflora.ch/flora/1011060,Basel,BS,"St. Johannspark Wiese/Ruderal. Wiesen, Weiden, Scherrasen. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",255-257,"2610793","1268575","105",A,Bestandesklasse: gross,,"2008","6","13",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4155722",VU,"4",,,"1","0",,,,,,,,,Asteraceae,,INN,,
infoflora:110400,Gefässpflanzen,Ruten-Knorpelsalat,Chondrilla juncea L.,www.infoflora.ch/flora/1012090,Basel,BS,Oberer Rheinweg,"245","2611525","1267675","50",A,,,"2015","10","5",,"Info Flora, Christoph Hochstrasser",Hochstrasser Christoph,"5323083",NT,K,L,,,,,,,VU,,,,,Asteraceae,,INN,,
infoflora:110400,Gefässpflanzen,Ruten-Knorpelsalat,Chondrilla juncea L.,www.infoflora.ch/flora/1012090,Basel,BS,,"249","2611568","1267628","5",A,,,"2015","7","8",,Cercle Vaudois de Botanique,Bornand Christophe,"4669348",NT,K,L,,,,,,,VU,,,,,Asteraceae,,INN,,
infoflora:110400,Gefässpflanzen,Ruten-Knorpelsalat,Chondrilla juncea L.,www.infoflora.ch/flora/1012090,Basel,BS,,250-250,"2611558","1267652","6",A,,,"2020","7","7",,"Info Flora, Edwin Leisibach",Leisibach Edwin,"9166900",NT,K,L,,,,,,,VU,,,,,Asteraceae,,INN,,
infoflora:110400,Gefässpflanzen,Ruten-Knorpelsalat,Chondrilla juncea L.,www.infoflora.ch/flora/1012090,Basel,BS,Rheinbord,249-250,"2611602","1267608","2",A,11–25 (Individuen),,"2021","7","30",,"Flora beider Basel, Susanne Kaufmann",Kaufmann Susanne,"10836501",NT,K,L,,,,,,,VU,,,,,Asteraceae,,INN,,
infoflora:110400,Gefässpflanzen,Ruten-Knorpelsalat,Chondrilla juncea L.,www.infoflora.ch/flora/1012090,Basel,BS,,249-250,"2611602","1267613","4",A,,,"2021","7","30",,"Info Flora, Jürgen Dengler",Dengler Jürgen,"10623378",NT,K,L,,,,,,,VU,,,,,Asteraceae,,INN,,
infoflora:110400,Gefässpflanzen,Ruten-Knorpelsalat,Chondrilla juncea L.,www.infoflora.ch/flora/1012090,Basel,BS,,249-250,"2611602","1267612","10",A,,,"2021","7","30",,"Info Flora, Daniel Hepenstrick",Hepenstrick Daniel,"10821846",NT,K,L,,,,,,,VU,,,,,Asteraceae,,INN,,
infoflora:110400,Gefässpflanzen,Ruten-Knorpelsalat,Chondrilla juncea L.,www.infoflora.ch/flora/1012090,Basel,BS,,"249","2611593","1267609","5",A,,,"2022","5","11",,"Info Flora, Adrian Möhl","Möhl Adrian, Juillerat Philippe","11812971",NT,K,L,,,,,,,VU,,,,,Asteraceae,,INN,,
infoflora:119600,Gefässpflanzen,Kornelkirsche,Cornus mas L.,www.infoflora.ch/flora/1013140,Basel,BS,,256-266,"2611377","1267549","4",A,,,"2022","9","4",,Flora beider Basel,Anonym.,"12604902",LC,K,,,,,,,,NT,,,,,Cornaceae,,INN,"1",C
infoflora:121300,Gefässpflanzen,Gelber Lerchensporn,Corydalis lutea (L.) DC.,www.infoflora.ch/flora/1013300,Basel,BS,"Grossbasel, Rheinsprung. Hausmauer, Exp. NE.","275","2611315","1267615","7",A,,,"2004","11","15",,"Info Flora, Lucas Förderer",Förderer Lucas,"313431",LC,"4",,,"0","0",,,Teilweise geschützt,NA,"TypoCH 9 : Bauten, Anlagen",,,,Papaveraceae,,IEP,"1",
