Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Basel,BS,"Rheinbord Schaffhauser Rheinweg, Basel",250-251,"2612126","1267365","10",A,1–10 (Individuen),,"2020","5","24",,"Info Flora, Dominik Keller",Keller Dominik,"8966755",EN,"3",Z,,"2","0",,,,DD,,,,,Caryophyllaceae,,INN,,
infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Basel,BS,,"250","2612134","1267363","4",A,1–10 (Individuen),,"2021","6","11",,"Flora beider Basel, Ursina Studer",Studer Ursina,"10354114",EN,"3",Z,,"2","0",,,,DD,,,,,Caryophyllaceae,,INN,,
infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Basel,BS,,"250","2612039","1267368","3",A,,,"2022","5","15",,"Flora beider Basel, Michael Ryf",Ryf Michael,"11831152",EN,"3",Z,,"2","0",,,,DD,,,,,Caryophyllaceae,,INN,"2",Ix
infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Basel,BS,,250-250,"2612038","1267370","6",A,,,"2022","5","15",,"Flora beider Basel, Lucienne de Witte",de Witte Lucienne,"11831666",EN,"3",Z,,"2","0",,,,DD,,,,,Caryophyllaceae,,INN,,
infoflora:24300,Gefässpflanzen,Schlangen-Lauch,Allium scorodoprasum L.,www.infoflora.ch/flora/1002750,Basel,BS,"Gellertpark, Gehölze. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",259-269,"2613125","1266870","145",A,Bestandesklasse: mittel,,"2008","4","25",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4149960",NT,K,,,,,,,,NT,,,,,Amaryllidaceae,,INN,,
infoflora:24300,Gefässpflanzen,Schlangen-Lauch,Allium scorodoprasum L.,www.infoflora.ch/flora/1002750,Basel,BS,"Schaffhauser Rheinweg, Büschung an Rhein (befestigtes Ufer)","255","2612285","1267368","5",A,,,"2015","7","11",,"Info Flora, Lucas Förderer",Förderer Lucas,"5213016",NT,K,,,,,,,,NT,"TypoCH 9 : Bauten, Anlagen",,,,Amaryllidaceae,,INN,,
infoflora:24300,Gefässpflanzen,Schlangen-Lauch,Allium scorodoprasum L.,www.infoflora.ch/flora/1002750,Basel,BS,"Solitude, Uferböschung","255","2613036","1267551","5",A,,,"2015","6","7",,"Info Flora, Lucas Förderer",Förderer Lucas,"5212973",NT,K,,,,,,,,NT,"TypoCH 5 : Krautsäume, Hochstaudenfluren und Gebüsche",,,,Amaryllidaceae,,INN,,
infoflora:24300,Gefässpflanzen,Schlangen-Lauch,Allium scorodoprasum L.,www.infoflora.ch/flora/1002750,Basel,BS,"Schaffhauser Rheinweg, Büschung an Rhein (befestigtes Ufer)","255","2612476","1267386","5",A,,,"2015","7","3",,"Info Flora, Lucas Förderer",Förderer Lucas,"5213004",NT,K,,,,,,,,NT,"TypoCH 9 : Bauten, Anlagen",,,,Amaryllidaceae,,INN,,
infoflora:24300,Gefässpflanzen,Schlangen-Lauch,Allium scorodoprasum L.,www.infoflora.ch/flora/1002750,Basel,BS,"Am Rhein bei Schaffhauser Rheinweg; Befestigte Böschung am Rhein",255-260,"2612247","1267364","5",A,26–50 (Individuen),,"2017","5","29",,"Info Flora, Lucas Förderer",Förderer Lucas,"6426665",NT,K,,,,,,,,NT,"TypoCH 5 : Krautsäume, Hochstaudenfluren und Gebüsche",,,,Amaryllidaceae,,INN,,
infoflora:24300,Gefässpflanzen,Schlangen-Lauch,Allium scorodoprasum L.,www.infoflora.ch/flora/1002750,Basel,BS,,"250","2612031","1267370","2",A,1–10 (Individuen),,"2020","5","21",,"Info Flora, Nico Heer",Heer Nico,"8964331",NT,K,,,,,,,,NT,,,,,Amaryllidaceae,,INN,,
