Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:215500,Gefässpflanzen,Gelbe Schwertlilie,Iris pseudacorus L.,www.infoflora.ch/flora/1024650,Uesslingen-Buch,TG,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube",376,2703100,1269950,50,A,,,1991,9,29,,Naturmuseum Thurgau,Grädel,6496922,LC,K,L,,,,451.1/2,,,LC,,,,,Iridaceae,,INN,,
infoflora:267900,Gefässpflanzen,Quirlblütiges Tausendblatt,Myriophyllum verticillatum L.,www.infoflora.ch/flora/1029910,Uesslingen-Buch,TG,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube",376,2703100,1269950,50,A,,,1991,9,29,,Naturmuseum Thurgau,Grädel,6496496,NT,K,,,,,,,,NT,,,,,Haloragaceae,,INN,,
infoflora:319300,Gefässpflanzen,Flutendes Laichkraut,Potamogeton nodosus Poir.,www.infoflora.ch/flora/1035560,Uesslingen-Buch,TG,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube",376,2703100,1269950,50,A,,,1991,9,29,,Naturmuseum Thurgau,Grädel,6492624,VU,4,,,1,1,,,Vollständig geschützt,VU,,,,,Potamogetonaceae,,INN,,
infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Aue",380,2703000,1270000,1000,A,,,1991,10,16,,Naturmuseum Thurgau,Grädel,6480099,LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Altikon,ZH,"Uesslingen-Buch. Uesslingen, Mittelwiide, Älikerbach. Wald",377,2703000,1270000,1000,A,,,1991,10,16,,Naturmuseum Thurgau,Grädel,6493888,LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Flussdamm",380,2703000,1270000,1000,A,,,1991,6,30,,Naturmuseum Thurgau,Grädel,6482517,LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
infoflora:135500,Gefässpflanzen,Kartäuser-Nelke,Dianthus carthusianorum L.,www.infoflora.ch/flora/1015120,Altikon,ZH,"Unterherten, Unterherten, im Garten angesät (Herkunft der Samen: Coop)",400,2702494,1269582,25,A,40,,2014,7,12,,"Universität Zürich, Rebecca Kurz",Kurz Rebecca,4899670,LC,K,,,,,,,Vollständig geschützt,VU,,,,,Caryophyllaceae,,INN,,R
infoflora:157400,Gefässpflanzen,Acker-Schöterich,Erysimum cheiranthoides L.,www.infoflora.ch/flora/1017890,Altikon,ZH,"Uesslingen-Buch. Uesslingen, Mittelwiide, Älikerbach. Waldrand",377,2703000,1270000,1000,A,,,1991,6,30,,Naturmuseum Thurgau,Grädel,6481535,NT,K,L,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:215500,Gefässpflanzen,Gelbe Schwertlilie,Iris pseudacorus L.,www.infoflora.ch/flora/1024650,Altikon,ZH,Bachufer,379-380,2702515,1269978,10,A,,,2017,6,14,,"Info Flora, Jasmin Ducry",Ducry Jasmin,8511173,LC,K,L,,,,451.1/2,,Vollständig geschützt,LC,,,,,Iridaceae,,INN,,
infoflora:255100,Gefässpflanzen,Gelbe Luzerne,Medicago falcata L.,www.infoflora.ch/flora/1028510,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Flussdamm",380,2703000,1270000,1000,A,,,1991,6,30,,Naturmuseum Thurgau,Grädel,6490914,NT,K,L,,,,,,,VU,,,,,Fabaceae,,INN,,
