Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:30800,Gefässpflanzen,Echte Ochsenzunge,Anchusa officinalis L.,www.infoflora.ch/flora/1003480,Indéterminé (ZH),ZH,,"410","2682006","1247974","7",A,,,"2015","6","5",,Flora des Kantons Zürich,Nobis Michael,"5555917",NT,K,L,,,,,,,NA,,,,,Boraginaceae,,INN,,
infoflora:234700,Gefässpflanzen,Löwenschwanz,Leonurus cardiaca L.,www.infoflora.ch/flora/1026480,Indéterminé (ZH),ZH,,"410","2682059","1247971","7",A,,,"2015","6","5",,Flora des Kantons Zürich,Nobis Michael,"5555918",EN,"3",Z,,"2","1",,,,EN,,,,,Lamiaceae,,INN,"2",Ix
infoflora:276900,Gefässpflanzen,Eselsdistel,Onopordum acanthium L.,www.infoflora.ch/flora/1030990,Indéterminé (ZH),ZH,,"412","2682052","1247450","7",A,,,"2016","7","29",,Flora des Kantons Zürich,Nobis Michael,"5535009",VU,"4",Z,,"1","0",,,,VU,,,,,Asteraceae,,INN,"2",Ix
infoflora:433500,Gefässpflanzen,Kleine Brennnessel,Urtica urens L.,www.infoflora.ch/flora/1048370,Indéterminé (ZH),ZH,,"412","2682063","1247433","7",A,,,"2016","5","5",,Flora des Kantons Zürich,Nobis Michael,"5558444",VU,"4",L,,"1","0",,,,VU,,,,,Urticaceae,,INN,,
infoflora:7600,Gefässpflanzen,Grosser Odermennig,Agrimonia procera Wallr.,www.infoflora.ch/flora/1001020,Zürich,ZH,,410-410,"2681814","1247916","15",A,1–10 (Individuen),,"2020","7","14",,"Info Flora, Jonas Frei",Frei Jonas,"9187835",VU,"4",Z,Z,"1","1",,,,EN,,,,,Rosaceae,,INN,,
infoflora:25700,Gefässpflanzen,Geknieter Fuchsschwanz,Alopecurus geniculatus L.,www.infoflora.ch/flora/1002900,Zürich,ZH,Quadrant F8,410-431,"2681500","1247500","707",A,sehr selten: die Art kommt im Quadrat mit weniger als 20 Individuen oder auf einer Fläche von insgesamt weniger als 1 Are vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"204894",VU,"4",Z,,"1","0",,,,VU,,,,,Poaceae,,INN,,
infoflora:39100,Gefässpflanzen,Gemeine Akelei,Aquilegia vulgaris L.,www.infoflora.ch/flora/1004330,Zürich,ZH,Quadrant F8,410-431,"2681500","1247500","707",A,selten: die Art kommt im Quadrat mit über 20 Individuen und insgesamt auf 1-100 Aren vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"221324",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Ranunculaceae,,INN,,
infoflora:39100,Gefässpflanzen,Gemeine Akelei,Aquilegia vulgaris L.,www.infoflora.ch/flora/1004330,Zürich,ZH,,410-412,"2681636","1247589","27",A,,,"2020","7","26",,"Info Flora, Jonas Frei",Frei Jonas,"9239464",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Ranunculaceae,,INN,,
infoflora:44600,Gefässpflanzen,Echte Osterluzei,Aristolochia clematitis L.,www.infoflora.ch/flora/1004830,Zürich,ZH,Schulareal. Vermutlich vor langem angepflanzt. Zweiter Bestand separat gemeldet.,409-410,"2681869","1248089","15",A,,,"2020","7","13",,"Info Flora, Jonas Frei",Frei Jonas,"9186496",EN,"3",Z,,"1","0",,,,NE,,,,,Aristolochiaceae,,INN,,
infoflora:44600,Gefässpflanzen,Echte Osterluzei,Aristolochia clematitis L.,www.infoflora.ch/flora/1004830,Zürich,ZH,,410-410,"2681794","1248061","28",A,,,"2020","7","2",,"Info Flora, Ramon Müller",Müller Ramon,"9149558",EN,"3",Z,,"1","0",,,,NE,,,,,Aristolochiaceae,,INN,,
