Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Indéterminé (ZH),ZH,,408-426,"2682500","1247500","707",A,,,"2015",,,,Flora des Kantons Zürich,Nobis Michael,"4616695",EN,"3",Z,,"2","0",,,,DD,,,,,Caryophyllaceae,,INN,"2",Ix
infoflora:22400,Gefässpflanzen,Gewöhnlicher Gekielter Lauch,Allium carinatum L. subsp. carinatum,www.infoflora.ch/flora/1002570,Indéterminé (ZH),ZH,,"410","2682599","1247577","7",A,,,"2016","7","29",,Flora des Kantons Zürich,Nobis Michael,"5534969",NT,K,,,,,,,,VU,,,,,Amaryllidaceae,,INN,,
infoflora:22400,Gefässpflanzen,Gewöhnlicher Gekielter Lauch,Allium carinatum L. subsp. carinatum,www.infoflora.ch/flora/1002570,Indéterminé (ZH),ZH,,408-426,"2682500","1247500","707",A,,,"2016",,,,Flora des Kantons Zürich,Nobis Michael,"5371812",NT,K,,,,,,,,VU,,,,,Amaryllidaceae,,INN,,
infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Indéterminé (ZH),ZH,,408-426,"2682500","1247500","707",A,,,"2015",,,,Flora des Kantons Zürich,Nobis Michael,"4613989",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
infoflora:30800,Gefässpflanzen,Echte Ochsenzunge,Anchusa officinalis L.,www.infoflora.ch/flora/1003480,Indéterminé (ZH),ZH,,408-426,"2682500","1247500","707",A,,,"2015",,,,Flora des Kantons Zürich,Nobis Michael,"4616696",NT,K,L,,,,,,,NA,,,,,Boraginaceae,,INN,,
infoflora:35600,Gefässpflanzen,Hunds-Kerbel,Anthriscus caucalis M. Bieb.,www.infoflora.ch/flora/1003980,Indéterminé (ZH),ZH,,408-426,"2682500","1247500","707",A,,,"2014",,,,Flora des Kantons Zürich,Nobis Michael,"4491835",VU,"4",Z,,"1","1",,,,EN,,,,,Apiaceae,,INN,,
infoflora:35600,Gefässpflanzen,Hunds-Kerbel,Anthriscus caucalis M. Bieb.,www.infoflora.ch/flora/1003980,Indéterminé (ZH),ZH,,"410","2682436","1247267","7",A,,,"2016","5","18",,Flora des Kantons Zürich,Nobis Michael,"5563343",VU,"4",Z,,"1","1",,,,EN,,,,,Apiaceae,,INN,,
infoflora:39100,Gefässpflanzen,Gemeine Akelei,Aquilegia vulgaris L.,www.infoflora.ch/flora/1004330,Indéterminé (ZH),ZH,,408-426,"2682500","1247500","707",A,,,"2015",,,,Flora des Kantons Zürich,Nobis Michael,"4610575",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Ranunculaceae,,INN,,
infoflora:40600,Gefässpflanzen,Gewöhnliche Rauhaar-Gänsekresse,Arabis hirsuta (L.) Scop.,www.infoflora.ch/flora/1004460,Indéterminé (ZH),ZH,,408-426,"2682500","1247500","707",A,,,"2015",,,,Flora des Kantons Zürich,Nobis Michael,"4610576",LC,K,,,,,,,,NT,,,,,Brassicaceae,,INN,,
infoflora:48100,Gefässpflanzen,Italienischer Aronstab,Arum italicum Mill.,www.infoflora.ch/flora/1005170,Indéterminé (ZH),ZH,,"410","2682500","1247500","99",A,,,"2015","5","31",,Flora des Kantons Zürich,Nobis Michael,"5565302",NT,K,,,,,,,,NA,,,,,Araceae,,INN,"1",I
infoflora:48100,Gefässpflanzen,Italienischer Aronstab,Arum italicum Mill.,www.infoflora.ch/flora/1005170,Indéterminé (ZH),ZH,,408-426,"2682500","1247500","707",A,,,"2015",,,,Flora des Kantons Zürich,Nobis Michael,"4610844",NT,K,,,,,,,,NA,,,,,Araceae,,INN,"1",
