Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:7150,Gefässpflanzen,Wald-Hundspetersilie,Aethusa cynapioides M. Bieb.,www.infoflora.ch/flora/1000980,Zürich,ZH,Quadrant G6,404-474,"2682500","1249500","707",A,selten: die Art kommt im Quadrat mit über 20 Individuen und insgesamt auf 1-100 Aren vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"262515",NT,K,,,,,,,,NT,,,,,Apiaceae,,INN,,
infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Zürich,ZH,Quadrant G6,404-474,"2682500","1249500","707",A,sehr selten: die Art kommt im Quadrat mit weniger als 20 Individuen oder auf einer Fläche von insgesamt weniger als 1 Are vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"216368",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Zürich,ZH,Quadrant G7,403-431,"2682500","1248500","707",A,sehr selten: die Art kommt im Quadrat mit weniger als 20 Individuen oder auf einer Fläche von insgesamt weniger als 1 Are vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"216369",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Zürich,ZH,Quadrant G7,403-431,"2682500","1248500","707",A,selten: die Art kommt im Quadrat mit über 20 Individuen und insgesamt auf 1-100 Aren vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"216470",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
infoflora:26800,Gefässpflanzen,Kelch-Steinkraut,Alyssum alyssoides (L.) L.,www.infoflora.ch/flora/1003010,Zürich,ZH,Rabatte Hönggerstrasse,405-412,"2682067","1249534","25",A,,,"2020","4","12",,"Info Flora, Michèle Büttner","Büttner Michèle, Holderegger Rolf","8814085",LC,K,,,,,,,,VU,,,,,Brassicaceae,,INN,,
infoflora:27200,Gefässpflanzen,Berg-Steinkraut,Alyssum montanum L.,www.infoflora.ch/flora/1003040,Zürich,ZH,,"404","2682307","1249166","7",A,,,"2018","5","26",,"Info Flora, David Frey",Frey David,"6622000",NT,K,,,,,,,,EN,,,,,Brassicaceae,,INN,,
infoflora:30800,Gefässpflanzen,Echte Ochsenzunge,Anchusa officinalis L.,www.infoflora.ch/flora/1003480,Zürich,ZH,,404-407,"2682184","1249289","12",A,,,"2019","8","29",,"Info Flora, Ursula Burri",Burri Ursula,"8927228",NT,K,L,,,,,,,NA,,,,,Boraginaceae,,INN,,
infoflora:30800,Gefässpflanzen,Echte Ochsenzunge,Anchusa officinalis L.,www.infoflora.ch/flora/1003480,Zürich,ZH,,406-408,"2682199","1249304","15",A,,,"2022","8","2",,"Info Flora, Daniel Schefer",Schefer Daniel,"12490999",NT,K,L,,,,,,,NA,,,,,Boraginaceae,,INN,,
infoflora:30800,Gefässpflanzen,Echte Ochsenzunge,Anchusa officinalis L.,www.infoflora.ch/flora/1003480,Zürich,ZH,,"405","2681829","1248945","4",A,,,"2022","8","27",,"Info Flora, Nina Richner",Richner Nina,"12581520",NT,K,L,,,,,,,NA,,,,,Boraginaceae,,INN,,
infoflora:35600,Gefässpflanzen,Hunds-Kerbel,Anthriscus caucalis M. Bieb.,www.infoflora.ch/flora/1003980,Zürich,ZH,Quadrant G7,403-431,"2682500","1248500","707",A,sehr selten: die Art kommt im Quadrat mit weniger als 20 Individuen oder auf einer Fläche von insgesamt weniger als 1 Are vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"239869",VU,"4",Z,,"1","1",,,,EN,,,,,Apiaceae,,INN,,
