In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Ferenbalm,BE,,510-510,"2583595","1198324","4",A,,,"2021","1","10",,"Info Flora, Adrian Möhl",Möhl Adrian,"10026973",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Ferenbalm,BE,,"535","2584354","1198743","4",A,,,"2021","2","28",,"Info Flora, Adrian Möhl",Möhl Adrian,"10054992",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Ferenbalm,BE,,"508","2583259","1199181","4",A,,,"2022","1","28",,"Info Flora, Annemarie Masswadeh",Masswadeh Annemarie,"11337841",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:150,Gefässpflanzen,Chinesische Samtpappel,Abutilon theophrasti Medik.,www.infoflora.ch/flora/1000020,Ferenbalm,BE,,473-474,"2584690","1199472","22",A,,,"2020","6","27",,"Info Flora, Adrian Möhl",Möhl Adrian,"9115601",,,,,,,,,,,,,,,Malvaceae,,NLI,"1",
,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Ferenbalm,BE,,"484","2584507","1199086","4",A,,,"2020","6","21",,"Info Flora, Adrian Möhl",Möhl Adrian,"9093467",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Mühleberg,BE,,"478","2585293","1198555","4",A,,,"2020","6","21",,"Info Flora, Adrian Möhl",Möhl Adrian,"9093362",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Mühleberg,BE,"Saane, Laupenau","480","2584850","1197010","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1570822",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Mühleberg,BE,"Saane, Laupenau","480","2584830","1196960","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1570832",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Mühleberg,BE,"Saane, Laupenau","480","2584830","1196960","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1606591",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Mühleberg,BE,"Saane, Laupenau","480","2584930","1196620","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1570868",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Mühleberg,BE,"Saane, Laupenau","480","2584930","1196620","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1570860",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Mühleberg,BE,,"474","2585319","1199069","4",A,,,"2020","6","21",,"Info Flora, Adrian Möhl",Möhl Adrian,"9093396",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:1706,Gefässpflanzen,Wiesen-Schafgarbe,Achillea millefolium aggr.,www.infoflora.ch/flora/1000320,Gurmels,FR,,508-541,"2581878","1196591","140",A,,,"2018","5","25",,Canton de Fribourg,Purro Christian,"7418232",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
x,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Laupen,BE,"Laupenau. Exposition: SE; Hauptvegetation: Halbtrockenrasen mit Fettzeigern; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.","484","2584613","1196098","5",A,,,"2005","5","13",,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,"480162",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
x,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Ferenbalm,BE,"Gümmenenau. Exposition: SW; Hauptvegetation: Halbtrockenrasen mit Fettzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Dauerweide.",479-493,"2584812","1198517","20",A,,,"2006","5","19",,BAFU / OFEV / UFAM (TWW - PPS),Huber Claudia,"2990206",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Ferenbalm,BE,"Gümmenenau. Exposition: NE; Hauptvegetation: Halbtrockenrasen mit Fettzeigern; Verbuschung: 0 - 3 %; Hauptnutzung: Dauerweide.",479-493,"2584815","1198563","20",A,,,"2006","5","19",,BAFU / OFEV / UFAM (TWW - PPS),Huber Claudia,"2990147",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Mühleberg,BE,Muehleberg,"585","2586117","1197059","5",A,,,"2018","6","7",,"Info Flora, Daniel Slodowicz",Slodowicz Daniel,"12443572",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Ulmiz,FR,Bord de champ.,546-547,"2581933","1197053","9",A,26–50 (Individuen),,"2019","6","26",,Jardin botanique de l'Université de Fribourg,Bétrisey Sébastien,"8661487",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Ferenbalm,BE,,"475","2584717","1199182","4",A,,,"2020","6","21",,"Info Flora, Adrian Möhl",Möhl Adrian,"9093447",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Ferenbalm,BE,,473-474,"2585065","1199196","4",A,,,"2020","6","21",,"Info Flora, Adrian Möhl",Möhl Adrian,"9093429",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
x,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Ferenbalm,BE,,"521","2583060","1197504","4",A,,,"2020","3","19",,"Info Flora, Adrian Möhl",Möhl Adrian,"8778580",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
x,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Ferenbalm,BE,,"519","2583042","1197571","4",A,,,"2021","2","28",,"Info Flora, Adrian Möhl",Möhl Adrian,"10054945",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Ferenbalm,BE,,496-498,"2584562","1198890","10",A,,,"2021","2","28",,"Info Flora, Adrian Möhl",Möhl Adrian,"10054898",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Mühleberg,BE,Trockenstandort neben Mergelstrasse,520-528,"2586349","1197871","6",A,,,"2022","6","6",,"Info Flora, Hallie Seiler",Seiler Hallie,"12362700",LC,K,,,,,,,,LC,TypoCH 4.2.4 : Mitteleuropäischer Halbtrockenrasen,,,,Asteraceae,,INN,,
,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Mühleberg,BE,Kiesweg,520-521,"2586272","1197854","6",A,,,"2022","6","6",,"Info Flora, Hallie Seiler",Seiler Hallie,"12362698",LC,K,,,,,,,,LC,TypoCH 7.1.6 : Mesophile Ruderalflur (Steinkleeflur),,,,Asteraceae,,INN,,
,infoflora:1700,Gefässpflanzen,Gewöhnliche Wiesen-Schafgarbe,Achillea millefolium L.,www.infoflora.ch/flora/1000330,Mühleberg,BE,,499-500,"2585709","1197997","6",A,,,"2022","6","6",,"Info Flora, Hallie Seiler",Seiler Hallie,"12362701",LC,K,,,,,,,,LC,TypoCH 4.2.4 : Mitteleuropäischer Halbtrockenrasen,,,,Asteraceae,,INN,,
,infoflora:2900,Gefässpflanzen,Feld-Steinquendel,Acinos arvensis (Lam.) Dandy,www.infoflora.ch/flora/1000470,Mühleberg,BE,Trockenstandort neben Mergelstrasse,520-528,"2586349","1197871","6",A,,,"2022","6","6",,"Info Flora, Hallie Seiler",Seiler Hallie,"12362708",LC,K,L,,,,,,,LC,TypoCH 4.2.4 : Mitteleuropäischer Halbtrockenrasen,,,,Lamiaceae,,INN,,
,infoflora:2900,Gefässpflanzen,Feld-Steinquendel,Acinos arvensis (Lam.) Dandy,www.infoflora.ch/flora/1000470,Mühleberg,BE,,499-500,"2585709","1197997","6",A,,,"2022","6","6",,"Info Flora, Hallie Seiler",Seiler Hallie,"12362709",LC,K,L,,,,,,,LC,TypoCH 4.2.4 : Mitteleuropäischer Halbtrockenrasen,,,,Lamiaceae,,INN,,
x,infoflora:6300,Gefässpflanzen,Bisamkraut,Adoxa moschatellina L.,www.infoflora.ch/flora/1000880,Mühleberg,BE,"Saane, Laupenau","480","2584850","1197010","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1606609",LC,K,,,,,,,,LC,,,,,Adoxaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau","480","2584930","1196620","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1600428",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau","480","2584850","1197010","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1606602",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau","480","2584920","1196720","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1600393",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau","480","2584920","1196720","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1606543",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau","480","2584930","1196620","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1606624",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau","480","2584830","1196960","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1606573",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau","480","2584840","1196910","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1600368",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau","480","2584850","1197010","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1600342",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Mühleberg,BE,"Saane, Laupenau","480","2584830","1196960","50",A,,,"1996",,,,Université de Neuchâtel,Roulier Christian,"1600362",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Laupen,BE,"Oberi Gümmenenau. Exposition: NW; Hauptvegetation: artenreiche Fettwiese mit Magerzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.","478","2584878","1197826","5",A,,,"2005","5","13",,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,"480062",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Laupen,BE,"Laupenau. Exposition: SE; Hauptvegetation: Halbtrockenrasen mit Fettzeigern; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.","484","2584644","1196155","127",A,,,"2005","5","13",,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,"480157",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Ferenbalm,BE,"Oberi Gümmenenau. Exposition: NW; Hauptvegetation: artenreiche Fettwiese mit Magerzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.",477-479,"2584939","1197985","161",A,,,"2005","5","20",,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,"481020",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
