In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Frick,AG,,,"2642500","1263500","707",B,,,"2000","8","1",,Kanton Aargau,Kradolfer Ursula,"7282099",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Frick,AG,,,"2642500","1263500","707",B,,,"2000","5","17",,Kanton Aargau,Kradolfer Ursula,"7258848",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Frick,AG,,,"2641500","1262500","707",B,,,"2002","5","14",,BAFU / OFEV / UFAM,Kradolfer Ursula,"1008843",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Frick,AG,,,"2642500","1263500","707",B,,,"2005","8","4",,Kanton Aargau,Kradolfer Ursula,"7284558",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Frick,AG,,,"2641500","1262500","707",B,,,"2007","5","16",,BAFU / OFEV / UFAM,Danner Elisabeth,"3475385",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Frick,AG,,,"2642500","1263500","707",B,,,"2010","7","22",,Kanton Aargau,Kradolfer Ursula,"7290035",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Frick,AG,,,"2642500","1263500","707",B,,,"2010","4","20",,Kanton Aargau,Kradolfer Ursula,"7266697",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Frick,AG,,,"2641500","1262500","707",B,,,"2012","5","10",,BAFU / OFEV / UFAM,Berner-Schläpfer Barbara,"4098316",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Frick,AG,Schlaue. stillgelegter Steinbruch,"350","2642400","1263600","71",A,1–10 / rar (z.B. < 10 Ex.),,"2013",,,,"Flora AG (Botanikgruppe Aargau), Birdlife Aargau","Althaus Hans, Fäs Adolf","4782308",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Frick,AG,,,"2641500","1262500","707",B,,,"2017","5","9",,BAFU / OFEV / UFAM,Stalling Thomas,"7235164",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
