In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Basel,BS,,250-260,"2611587","1267395","6",A,,,"2021","7","28",,"Flora beider Basel, Ramon Müller",Müller Ramon,"10590854",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
x,infoflora:150,Gefässpflanzen,Chinesische Samtpappel,Abutilon theophrasti Medik.,www.infoflora.ch/flora/1000020,Basel,BS,Baustelle Park South,256-257,"2610768","1268978","25",A,1–10 (Individuen),,"2015","9",,,"Info Flora, Martin Frei",Frei Martin,"4913101",,,,,,,,,,,,,,,Malvaceae,,NLI,"1",
,infoflora:150,Gefässpflanzen,Chinesische Samtpappel,Abutilon theophrasti Medik.,www.infoflora.ch/flora/1000020,Basel,BS,,279-280,"2611346","1266031","65",A,,,"2019","11","11",,"Info Flora, Dominik Hügli",Hügli Dominik,"8484366",,,,,,,,,,,,,,,Malvaceae,,NLI,"1",
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Auberg, nordostexp. Böschung. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: Strassenraum.",271-276,"2611033","1266834","73",A,Bestandesklasse: klein,,"2008","5","30",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4158720",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Birsig Dorenbachviadukt- Elsässerbahn. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",268-270,"2610509","1266034","87",A,Bestandesklasse: mittel,,"2008","5","2",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4150040",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Castellio-Weglein. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",256-270,"2612160","1267093","61",A,Bestandesklasse: klein,,"2008","5","10",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4150291",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Antilopenweg. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: Strassenraum.",274-276,"2610801","1266631","60",A,Bestandesklasse: mittel,,"2008","5","13",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4158682",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Nachtigallenwäldchen West. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",268-269,"2610862","1266522","52",A,Bestandesklasse: klein,,"2008","5","13",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4150613",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"PUK NW. Wiesen, Weiden, Scherrasen. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.","268","2609308","1269059","41",A,Bestandesklasse: mittel,,"2008","8","27",,Kanton Basel Stadt (Naturinventar),Knecht Daniel,"4154222",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Nachtigallenwäldchen Ost. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",268-270,"2610990","1266638","135",A,Bestandesklasse: klein,,"2008","5","13",,Kanton Basel Stadt (Naturinventar),Frei Martin,"4150586",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
