In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Rickenbach (ZH),ZH,702000/269000,"455","2702000","1269000","50",A,,,"1994","5","17",,Kanton Zürich,?,"3102571",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958861",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Ellikon an der Thur,ZH,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube","376","2703000","1269000","1000",A,,,"1991","9","29",,Naturmuseum Thurgau,Grädel,"6492515",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958862",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Uesslingen-Buch,TG,Uesslingen-Buch. Uesslingen. Wegrand,"400","2705000","1270000","1000",A,,,"1991","6","30",,Naturmuseum Thurgau,Grädel,"6489001",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Rickenbach (ZH),ZH,702000/269000,"455","2702000","1269000","50",A,,,"1994","5","17",,Kanton Zürich,?,"3166536",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2016",,,,Flora des Kantons Zürich,Baumann Sophie,"3958863",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Flussdamm","380","2703000","1270000","1000",A,,,"1991","10","16",,Naturmuseum Thurgau,Grädel,"6480096",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Rickenbach (ZH),ZH,702000/269000,"455","2702000","1269000","50",A,,,"1994","5","17",,Kanton Zürich,?,"3127653",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Altikon,ZH,"Altikon / Höh-Wald, 5180101",375-377,"2701793","1271331","100",A,,,"2009","8","18",,Kanton Zürich,Bertiller René,"8717527",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Gachnang,TG,,"414","2704754","1268100","7",A,,,"2012","7","5",,Agroscope,Eggenschwiler Lisa,"3724938",LC,K,,,,,,,,LC,TypoCH 8.2 : Feldkulturen (Äcker),,,,Sapindaceae,,INN,"2",C
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Altikon,ZH,"Altikon / Höh-Wald, 5180101",375-377,"2701793","1271331","100",A,,,"2013","6","17",,Kanton Zürich,"Bertiller René, de Micheli René, de Micheli Andrea","8717503",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958864",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354454",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:1706,Gefässpflanzen,Wiesen-Schafgarbe,Achillea millefolium aggr.,www.infoflora.ch/flora/1000320,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958865",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
,infoflora:1706,Gefässpflanzen,Wiesen-Schafgarbe,Achillea millefolium aggr.,www.infoflora.ch/flora/1000320,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354455",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
x,infoflora:3530,Gefässpflanzen,Gewöhnlicher Gelb-Eisenhut,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,www.infoflora.ch/flora/1000545,Indéterminé (ZH),ZH,,"410","2703300","1268890","10",A,,,"2011","6","16",,Flora des Kantons Zürich,?,"3997800",LC,,,,,,,,Teilweise geschützt,NT,TypoCH 6 : Wälder,,,,Ranunculaceae,,INN,,
x,infoflora:3530,Gefässpflanzen,Gewöhnlicher Gelb-Eisenhut,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,www.infoflora.ch/flora/1000545,Indéterminé (ZH),ZH,,410-411,"2703325","1268850","10",A,,,"2011","6","14",,Flora des Kantons Zürich,?,"4000525",LC,,,,,,,,Teilweise geschützt,NT,TypoCH 6 : Wälder,,,,Ranunculaceae,,INN,,
,infoflora:3530,Gefässpflanzen,Gewöhnlicher Gelb-Eisenhut,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,www.infoflora.ch/flora/1000545,Indéterminé (ZH),ZH,,"425","2700980","1268250","7",A,,,"2011","6","13",,Flora des Kantons Zürich,?,"3954502",LC,,,,,,,,Teilweise geschützt,NT,,,,,Ranunculaceae,,INN,,
,infoflora:3530,Gefässpflanzen,Gewöhnlicher Gelb-Eisenhut,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,www.infoflora.ch/flora/1000545,Dinhard,ZH,,424-425,"2700997","1268242","50",A,,,"2011","6","13",,"Info Flora, Kim Lotterman",Lotterman Kim,"4177419",LC,,,,,,,,Teilweise geschützt,NT,,,,,Ranunculaceae,,INN,,
x,infoflora:3530,Gefässpflanzen,Gewöhnlicher Gelb-Eisenhut,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,www.infoflora.ch/flora/1000545,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958866",LC,,,,,,,,Teilweise geschützt,NT,,,,,Ranunculaceae,,INN,,
,infoflora:3530,Gefässpflanzen,Gewöhnlicher Gelb-Eisenhut,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,www.infoflora.ch/flora/1000545,Rickenbach (ZH),ZH,"Rickenbach, Auholz 2. 1",419-420,"2701634","1267781","25",A,,,"2015","7","9",,Kanton Zürich,Sirena Gioia,"8740136",LC,,,,,,,,Teilweise geschützt,NT,,,,,Ranunculaceae,,INN,,
x,infoflora:5200,Gefässpflanzen,Christophskraut,Actaea spicata L.,www.infoflora.ch/flora/1000730,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958867",LC,K,,,,,,,,LC,,,,,Ranunculaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Rickenbach (ZH),ZH,702000/269000,"455","2702000","1269000","50",A,,,"1994","5","17",,Kanton Zürich,?,"3129274",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958868",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
