In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956649",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2013",,,,Flora des Kantons Zürich,Bernowitz Karin,"4204951",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:150,Gefässpflanzen,Chinesische Samtpappel,Abutilon theophrasti Medik.,www.infoflora.ch/flora/1000020,Altikon,ZH,Rübenacker,"374","2700338","1271800","5",A,ca. 10,,"2011","6","16",,"Info Flora, Daniel Hepenstrick",Hepenstrick Daniel,"3189946",,,,,,,,,,,,,,,Malvaceae,,NLI,"1",
,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Stammheim,ZH,702400/274050,"480","2702400","1274050","50",A,,,"1982","6","8",,Kanton Zürich,?,"3096967",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2012",,,,Flora des Kantons Zürich,Bernowitz Karin,"3434025",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2016",,,,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"3956650",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Neunforn,TG,Winterhalden,490-512,"2701349","1272877","169",A,11–25 / 12 Ex.,,"1995",,,,ETH Zürich,Koch Paul,"1438752",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956651",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"4831882",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Altikon,ZH,"Altikon / Höh-Wald, 5180101",375-377,"2701793","1271331","100",A,,,"2009","8","18",,Kanton Zürich,Bertiller René,"8717527",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Altikon,ZH,"Altikon / Höh-Wald, 5180101",375-377,"2701793","1271331","100",A,,,"2013","6","17",,Kanton Zürich,"Bertiller René, de Micheli René, de Micheli Andrea","8717503",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956652",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"3434026",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354454",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:1706,Gefässpflanzen,Wiesen-Schafgarbe,Achillea millefolium aggr.,www.infoflora.ch/flora/1000320,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"3434027",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
x,infoflora:1706,Gefässpflanzen,Wiesen-Schafgarbe,Achillea millefolium aggr.,www.infoflora.ch/flora/1000320,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2016",,,,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"3956653",LC,K,,,,,,,,LC,,,,,Asteraceae,,INN,,
