In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Warth-Weiningen,TG,Warth-Weiningen. Ittinger Wald. Laubwald,"470","2707000","1271000","1000",A,,,"1987",,,,Naturmuseum Thurgau,Schläfli,"6494139",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Uesslingen-Buch,TG,,,"2704500","1272500","707",B,,,"2010","5","3",,Kanton Thurgau,Schach Johannes,"4285275",LC,K,,,,,,,,LC,,,,,Pinaceae,,INN,,
,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Warth-Weiningen,TG,Warth-Weiningen. Ittinger Wald. Laubwald,"470","2707000","1271000","1000",A,,,"1987",,,,Naturmuseum Thurgau,Schläfli,"6479149",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Uesslingen-Buch,TG,,,"2704500","1272500","707",B,,,"2010","5","3",,Kanton Thurgau,Schach Johannes,"4285276",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Uesslingen-Buch,TG,Uesslingen-Buch. Uesslingen. Wegrand,"400","2705000","1270000","1000",A,,,"1991","6","30",,Naturmuseum Thurgau,Grädel,"6489001",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Warth-Weiningen,TG,Warth-Weiningen. Ittinger Wald. Laubwald,"470","2707000","1271000","1000",A,,,"1987",,,,Naturmuseum Thurgau,Schläfli,"6497117",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Uesslingen-Buch,TG,,,"2704500","1272500","707",B,,,"2010","5","3",,Kanton Thurgau,Schach Johannes,"4285277",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Frauenfeld,TG,Wuer,"381","2706242","1270455","1",A,,,"2015","5","19",,BAFU / OFEV / UFAM,Küchler Helen,"7864940",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Frauenfeld,TG,Wuer,"383","2706964","1270423","1",A,,,"2015","5","19",,BAFU / OFEV / UFAM,Hangartner Rolf,"7870435",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Frauenfeld,TG,Wuer,"381","2705917","1270365","1",A,,,"2015","5","18",,BAFU / OFEV / UFAM,Hangartner Rolf,"7864880",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Frauenfeld,TG,Wuer,"381","2705803","1270494","2",A,,,"2015","5","18",,BAFU / OFEV / UFAM,Küchler Helen,"7840600",LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
