gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue,,,,
3966384477	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/126442472	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	Fagus sylvatica		SPECIES	Fagus sylvatica L.	Fagus sylvatica		CH		Basel-Stadt	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.558761	7.581558	5.0						2022-07-15T09:04:00	15	7	2022	2882316	2882316	HUMAN_OBSERVATION	iNaturalist	Observations	126442472		chestnutsrainbowsspringtime	2022-07-16T06:22:24	CC_BY_NC_4_0	chestnutsrainbowsspringtime	chestnutsrainbowsspringtime			2022-11-17T17:01:13.017Z	StillImage	COORDINATE_ROUNDED,,,,
3960315793	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10565646909	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys recta		SPECIES	Stachys recta L.	Stachys recta L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.561232	7.585308	12.0		335.29	0.0			2022-04-27T09:48:04.748	27	4	2022	2927298	2927298	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:50:40.646Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3960294598	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10615844510	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium	Echium vulgare		SPECIES	Echium vulgare L.	Echium vulgare L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.569993	7.580627	32.0		375.54	0.0			2022-06-08T13:54:41.004	8	6	2022	2925892	2925892	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:49:30.343Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3960265495	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10535722729	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus lusitanica		SPECIES	Prunus lusitanica L.	Prunus lusitanica L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.562222	7.579444	14.0		318.0	0.0			2022-03-11T14:02:17.574	11	3	2022	3020871	3020871	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:49:20.272Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3960135804	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10459138826	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Plumbaginaceae	Ceratostigma	Ceratostigma plumbaginoides		SPECIES	Ceratostigma plumbaginoides Bunge	Ceratostigma plumbaginoides Bunge	Bunge	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.561474	7.583434	64.0		263.76	0.0			2021-08-22T12:49:21.85	22	8	2021	3082279	3082279	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:49:08.224Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3960117458	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10454671209	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus alba		SPECIES	Populus alba L.	Populus alba L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.566958	7.581824	40.0		305.51	0.0			2021-08-16T16:10:39.051	16	8	2021	3040233	3040233	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:50:20.285Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3960034914	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10588895950	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Eupatorium	Eupatorium cannabinum		SPECIES	Eupatorium cannabinum L.	Eupatorium cannabinum L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.56297	7.58534							2022-05-16T20:48:48.233	16	5	2022	5402943	5402943	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:49:22.961Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3960002385	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10585406924	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia lathyris		SPECIES	Euphorbia lathyris L.	Euphorbia lathyris L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.558804	7.581321	32.0		269.12	0.0			2022-05-14T13:03:05.589	14	5	2022	3066965	3066965	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:49:26.421Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3959954320	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10364227666	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica Cham.	Cham.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.559224	7.58218							2021-05-24T08:32:44.462	24	5	2021	2888380	2888380	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:50:26.544Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3959941387	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10359462793	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium	Geranium nodosum		SPECIES	Geranium nodosum L.	Geranium nodosum L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.558827	7.582063							2021-05-20T11:22:00.174	20	5	2021	2890287	2890287	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:49:06.881Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
