gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3958802624,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10576530994,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium odoratum,,SPECIES,Galium odoratum (L.) Scop.,Galium odoratum (L.) Scop.,(L.) Scop.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.569722,8.813333,10,,457,0,,,2022-05-07T09:49:20.264,7,5,2022,2914642,2914642,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:26.574Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3957652610,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10155356410,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,Viburnum lantana,,SPECIES,Viburnum lantana L.,Viburnum lantana L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.572613,8.802509,44,,405,0,,,2020-04-30T16:22:13.317,30,4,2020,2888615,2888615,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:58.400Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3957633263,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10155355775,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,Viburnum opulus,,SPECIES,Viburnum opulus L.,Viburnum opulus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.572668,8.802855,23,,435,0,,,2020-04-30T16:21:17.432,30,4,2020,2888605,2888605,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:49:51.300Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3955240413,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10331255047,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus padus,,SPECIES,Prunus padus L.,Prunus padus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.572319,8.798624,20,,446,0,,,2021-04-22T11:54:46.378,22,4,2021,3021037,3021037,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2022-11-09T09:50:07.366Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3409683327,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-10826606,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago gigantea,,SPECIES,Solidago gigantea Aiton,Solidago gigantea Aiton,Aiton,CH,,Zh,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.56609,8.80926,5,,409.5,0.5,,,2021-08-18T00:00:00,18,8,2021,5389017,5389017,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-10826606,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:42:13.107Z,,
2974088351,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-6495386,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,Reynoutria japonica,,SPECIES,Reynoutria japonica Houtt.,Reynoutria japonica Houtt.,Houtt.,CH,,Zh,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.57262,8.80756,1000,,380,,,,1991-06-30T00:00:00,30,6,1991,2889173,2889173,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-6495386,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:42:23.816Z,,
2974056187,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-6483432,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens glandulifera,,SPECIES,Impatiens glandulifera Royle,Impatiens glandulifera Royle,Royle,CH,,Zh,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.57262,8.80756,1000,,380,,,,1991-06-30T00:00:00,30,6,1991,2891770,2891770,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-6483432,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:41:25.190Z,,
2974049169,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-6480959,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens glandulifera,,SPECIES,Impatiens glandulifera Royle,Impatiens glandulifera Royle,Royle,CH,,Zh,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.57262,8.80756,1000,,380,,,,1991-10-16T00:00:00,16,10,1991,2891770,2891770,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-6480959,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:42:23.770Z,,
2973991143,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-6481536,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,Heracleum mantegazzianum,,SPECIES,Heracleum mantegazzianum Sommier & Levier,Heracleum mantegazzianum Sommier & Levier,Sommier & Levier,CH,,Zh,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.57262,8.80756,1000,,377,,,,1991-06-30T00:00:00,30,6,1991,3034825,3034825,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-6481536,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:42:28.400Z,,
2973980271,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-6489290,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,Robinia pseudoacacia,,SPECIES,Robinia pseudoacacia L.,Robinia pseudoacacia L.,L.,CH,,Zh,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.57262,8.80756,1000,,380,,,,1991-10-16T00:00:00,16,10,1991,5352251,5352251,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-6489290,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:41:29.659Z,,
2973976185,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-6483956,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,Reynoutria japonica,,SPECIES,Reynoutria japonica Houtt.,Reynoutria japonica Houtt.,Houtt.,CH,,Tg,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.57216,8.80888,50,,376,,,,1991-09-29T00:00:00,29,9,1991,2889173,2889173,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-6483956,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:41:32.724Z,,
2881663318,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-8595108,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,,SPECIES,Ambrosia artemisiifolia L.,Ambrosia artemisiifolia L.,L.,CH,,Zh,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.56907,8.79987,25,,406.5,0.5,,,2006-07-31T00:00:00,31,7,2006,8002952,8002952,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-8595108,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:41:53.247Z,,
2880871711,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-3401393,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,,SPECIES,Ambrosia artemisiifolia L.,Ambrosia artemisiifolia L.,L.,CH,,Zh,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.56907,8.79985,25,,406.5,0.5,,,2006-07-31T00:00:00,31,7,2006,8002952,8002952,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-3401393,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:42:05.676Z,,
2880489289,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-4717337,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,,SPECIES,Ambrosia artemisiifolia L.,Ambrosia artemisiifolia L.,L.,CH,,Zh,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.569,8.8,25,,406.5,0.5,,,2006-07-31T00:00:00,31,7,2006,8002952,8002952,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-4717337,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:42:37.271Z,,
2880387364,83fdfd3d-3a25-4705-9fbe-3db1d1892b13,INFOFLORA-TRAC-4728745,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,Reynoutria japonica,,SPECIES,Reynoutria japonica Houtt.,Reynoutria japonica Houtt.,Houtt.,CH,,Zh,PRESENT,,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.57119,8.80437,25,,390.5,3.5,,,2004-01-01T00:00:00,1,1,2004,2889173,2889173,HUMAN_OBSERVATION,,,INFOFLORA-TRAC-4728745,,,,CC_BY_4_0,Info Flora,,,,2022-09-09T00:41:21.696Z,,
